audit_id,subsystem,file_path,function_or_type,geometry_operation,current_owner,duplicate_with,risk,proposed_owner,proposed_action,status,notes
DUP-001,Apollo bridgeStructure,frontend/src/apollo/bridgeStructure/geometryFormulas.ts:108,deriveMainGirderOffsets,centered girder offset (index-(count-1)/2)*spacing,geometryFormulas.ts (declared canonical),DUP-002..DUP-006,HIGH,Apollo Geometry Engine,consolidate into single girder-line generator,OPEN,Centered convention declared canonical
DUP-002,Apollo BSDD,frontend/src/apollo/bridgeStructure/generateBsdd.ts:398,buildBridgeSuperstructureDesignDocument girderLines,centered girder offset,generateBsdd (inlined),DUP-001,HIGH,Apollo Geometry Engine,replace with shared generator,OPEN,canonical formula inlined
DUP-003,Apollo solids,frontend/src/apollo/visualization/bridgeStructureSolids.ts:205,girderOffsetsFromDocument fallback,centered girder offset fallback,3D solids fallback,DUP-001,MEDIUM,Apollo Geometry Engine,remove fallback re-inline,OPEN,only when BSDD offset missing
DUP-004,Apollo drawing,frontend/src/apollo/drawing/stationGenerator.ts:63,girderCenterOffsetsY,drawing girder centers,drawing stationGenerator,DUP-001,HIGH,Apollo Geometry Engine,consume GeometrySnapshot instead,OPEN,Drawing set re-derives layout
DUP-005,Apollo drawing,frontend/src/apollo/drawing/drawingModel.ts:105,computeStandardSectionLayout,section-view girder centers,drawing model,DUP-001,MEDIUM,Apollo Geometry Engine,consume GeometrySnapshot,OPEN,section X = transverse
DUP-006,Apollo visualization,frontend/src/apollo/visualization/builder.ts:610,buildSolidGeometryParameters offsets,defaults-based offsets,legacy builder (hardcoded defaults),DUP-001,HIGH,Apollo Geometry Engine,remove legacy defaults path,OPEN,legacy path only when BSDD absent
DUP-007,Apollo report,frontend/src/apollo/report/reportModelContinuous.ts:239,girder offset in report,non-centered offset i*girderSpacing,report builder,DUP-001,CRITICAL,Apollo Geometry Engine,fix to centered single source,OPEN,DIVERGENT vs all others
DUP-008,Backend FEM,backend/engine/bridge_fem_generator.py:160,generate_fem_model node grid,station->X offset->Y Z=0,backend bridge_fem_generator,structuralModelGenerator.ts,HIGH,Apollo Geometry Engine,route both through GeometrySnapshot,OPEN,straight-only flat grid
DUP-009,Frontend FEM,frontend/src/bridgeDefinition/generator/structuralModelGenerator.ts:238,createStructuralModelFromBridgeDefinition node grid,station->X offset->Y Z=0 (sign),frontend structuralModelGenerator,bridge_fem_generator.py,HIGH,Apollo Geometry Engine,consume GeometrySnapshot,OPEN,applies sign override not persisted
DUP-010,Substructure,frontend/src/substructure/SupportPlacementEngine.ts:87,computeLinerPlacement,LINER-based support placement + skew,SupportPlacementEngine (canonical),DUP-011 DUP-012,HIGH,Apollo Geometry Engine,GeometrySnapshot support entity as source,OPEN,skew applied to transverse
DUP-011,Substructure,frontend/src/substructure/planning/useSubstructureRealtimeUpdate.ts:48,makeSnapshots,realtime support snapshot,planning realtime hook,DUP-010,CRITICAL,Apollo Geometry Engine,route UI through canonical placement,OPEN,skew NOT applied; diverges from canonical
DUP-012,Substructure,frontend/src/substructure/planning/SubstructureViewport.tsx:36,makeSnapshots fallback,fallback support snapshot,SubstructureViewport,DUP-010,MEDIUM,Apollo Geometry Engine,use canonical snapshots,OPEN,fallback path
DUP-013,Viewer,frontend/src/viewer/coordinateTransform.ts:66,applySpacerAxisSwap + applyViewerDisplayTransform,Y-up display swap + liner z=-y,viewer coordinateTransform,Apollo solids z-up verbatim,HIGH,3D Connector,define single display transform,OPEN,Axis convention split frame vs apollo
DUP-014,Apollo solids,frontend/src/apollo/visualization/bridgeStructureSolids.ts:77,girderConnectionZs,vertical datum Z=0 top-flange-upper-face,3D solids,drawingModel y=0 bottom flange,MEDIUM,Apollo Geometry Engine,single elevation datum,OPEN,3 independent vertical datums
DUP-015,Apollo drawing,frontend/src/apollo/drawing/drawingModel.ts:112,iSectionPolylines,section outline datum y=0 bottom flange,drawing model,3D solids datum,MEDIUM,Apollo Geometry Engine,align datums,OPEN,vertical origin differs from solids
DUP-016,Export,frontend/src/apollo/export/apolloStlExport.ts:622,toMillimeters,m->mm rounding,STL export,DXF export raw m*1000,MEDIUM,Export Connector,single unit conversion policy,OPEN,STL rounds DXF does not
DUP-017,Apollo drawing,frontend/src/apollo/drawing/drawingExport.ts:81,renderDrawingDxf toMm,m->mm raw,drawing DXF export,STL export rounding,MEDIUM,Export Connector,single unit conversion policy,OPEN,DXF mm
DUP-018,Apollo drawing,frontend/src/apollo/drawing/drawingSetModel.ts:672,buildGeneralArrangementDrawingSet layout,drawing re-derives layout from raw draft,drawing set,generateBsdd+layoutValidation,HIGH,Apollo Geometry Engine,consume GeometrySnapshot,OPEN,simple-span-only drift risk vs BSDD continuous
DUP-019,Apollo quantities,frontend/src/apollo/bridgeStructure/quantities.ts:143,countStiffeners/countSwayBracingStations,secondary member counts,quantities module,stationGenerator+generateBsdd,MEDIUM,Apollo Geometry Engine,use shared station generator,OPEN,independent recomputation
