path,type,sha256
docs/apollo/step10/reference_bridge_001/phase5/08_phase6_handoff.md,markdown,1ea2acb365334e69a68fae534900e42c8f39b86f9e22a0182e88d0d1ad005c17
docs/apollo/step10/reference_bridge_001/phase5/README.md,markdown,91c15658dde5d92e1e3ad89467721ecce4b272b6d9b0b6d8f4151de81da91578
docs/apollo/step10/reference_bridge_001/phase5/artifact_manifest.csv,csv,bda19afcd7c009df94a01dbe072dc9f2da673b7fd56fd7b0f7e53e8c56ec154a
docs/apollo/step10/reference_bridge_001/phase5/audit/existing_model_inventory.md,markdown,5e2eb7f556f3e13a39e32e621bb7059263814bc60cdf97cdbb0231e0cb6ca8ef
docs/apollo/step10/reference_bridge_001/phase5/completion/p5_1_completion_report.md,markdown,1eb684921beb8247195f142f56cb84c9285ce00f76387f6fc3877e154de3a1fa
docs/apollo/step10/reference_bridge_001/phase5/completion/p5_2_completion_report.md,markdown,01271f4914aac15ef4eb6052b29f819b4245246f6a0cb8550139c736a66cd617
docs/apollo/step10/reference_bridge_001/phase5/completion/p5_3_completion_report.md,markdown,36fe82def37842b1954dadfb99189e6d1484ee6311db7a0d8b4c3945eb1ecf5a
docs/apollo/step10/reference_bridge_001/phase5/completion/p5_4_completion_report.md,markdown,a16b7e69181c3fa9f684a34aa4bd9b23b8891309f1d344ec2f7485c5d3cfdc60
docs/apollo/step10/reference_bridge_001/phase5/contracts/common_bridge_model_contract.md,markdown,02cac425f4e2642bda7f97ca9f5df57bb5cf60c76f0e6a10bc803168fd8965b8
docs/apollo/step10/reference_bridge_001/phase5/contracts/coordinate_axis_contract.md,markdown,224bf7b1d91b0b806938dbb4d7f6c81c5d0d1d5e2a4343dfc60b9fc8cdb0cbbe
docs/apollo/step10/reference_bridge_001/phase5/contracts/entity_id_contract.md,markdown,f5d657c875dbcf4b9e6598f756efe4990a5081aa32e2d3ec6a1df9fcf4b51c75
docs/apollo/step10/reference_bridge_001/phase5/contracts/model_ownership_freeze.md,markdown,9fae1f723fada8ca0f8e91fcf4a3c73398fc6de9903285645d216ce939650b25
docs/apollo/step10/reference_bridge_001/phase5/contracts/reference_bridge_mapping_contract.md,markdown,1cb6b0b55368d7d332355e75161a8af8665767e33652fd49d2ce5f9ac4718b30
docs/apollo/step10/reference_bridge_001/phase5/contracts/serialization_contract.md,markdown,970171071fe06353b0a6c7b380d2d2d3d854913d3fc63b89af8f6b8ba11b1f1d
docs/apollo/step10/reference_bridge_001/phase5/contracts/unit_precision_contract.md,markdown,f0608f8cfea7e9047028945ce335d123e09bf6205bc072436be12cbf3b7f643d
docs/apollo/step10/reference_bridge_001/phase5/contracts/value_state_contract.md,markdown,df4bd8a11b588fa0f711de543055a02b205cc881f62889b04f9eebab21a34f6c
docs/apollo/step10/reference_bridge_001/phase5/contracts/versioning_migration_contract.md,markdown,7ec62afb3eb3f3afb38829cc78c1c802c1278899b12711d78a7629028f3e2dad
docs/apollo/step10/reference_bridge_001/phase5/fixtures/reference_bridge_001_common_model.fingerprint.txt,csv,b4c817671f97c47c19bd1a8a01ffdc6b3ca1fabbfc707616a41e9297320843c1
docs/apollo/step10/reference_bridge_001/phase5/fixtures/reference_bridge_001_common_model.json,json,45da513a77844e2f4c06527551792c299df999f7be8d6bd5cf9edee4794fc6ee
docs/apollo/step10/reference_bridge_001/phase5/mapping/phase3_input_to_common_model.csv,csv,96c09e2e565112ca8f39641274bd0361cddf45f527cf11fa5ca333dc721ec603
docs/apollo/step10/reference_bridge_001/phase5/mapping/phase4_golden_to_common_model.csv,csv,0818ead0a1bb554fd3bfdef2df46578efe9ce500e78d2afe801a79933530a9d6
docs/apollo/step10/reference_bridge_001/phase5/phase5_closeout_report.md,markdown,4a1a15e415219f3dadfa98fa0968deef8e794249e404fafbd5c69d03bfc25579
docs/apollo/step10/reference_bridge_001/phase5/phase5_seal.md,markdown,cf8541228de279f67e0622d2ff329b7e61cfb99a788941244bd21085462a86ab
docs/apollo/step10/reference_bridge_001/phase5/tools/build_common_model_fixture.py,python,ce6053aa7b0a6cfc0664529be313fc45c72b16b3edd66efba4f57cb85d5452df
docs/apollo/step10/reference_bridge_001/phase5/tools/build_mapping_registers.py,python,3ff2a8fe5114232e15358d359e56d3334f297d18f33624891954e926e6f73d54
docs/apollo/step10/reference_bridge_001/phase5/tools/cbdm_mapping.py,python,1eed9974abe2ba1e4766772fffdf7c9143777c9af281d0b5a3a3e3b7d16eec8d
docs/apollo/step10/reference_bridge_001/phase5/tools/common_model.py,python,ca2bbc2df0c15f1cb0d208453415ffb3bb81d5cfcb9acaf4e84d2d953ab1ecff
