rule_id,rule_category,title,source_asset_id,source_document,source_page,source_section,source_item,fact_or_inference,condition,input,constraint,formula,output,exception,warning,unit,applicability,liner_mapping,project_mapping,bridge_mapping,confidence,review_status,notes
RO-001,ROAD_CLASSIFICATION,道路の区分（第1種〜第4種・級別）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,138-139,Ⅲ-1-1-2 道路の区分,表1-1 道路種級区分の体系,FACT,高速自動車国道・自動車専用道路以外の道路別、存する地域（都市部/地方部）・地形・計画交通量により区分,道路の種類；存する地域；地形；計画交通量,第1種:地方部自動車専用道路(1〜4級)、第2種:都市部自動車専用道路(1〜2級)、第3種:地方部一般道路(1〜5級)、第4種:都市部一般道路(1〜4級),UNKNOWN,種級区分（例 第1種第1級）,高速自動車国道の第1種第4級等は特例あり,出入制限は種級によりF/P/N,km/h・台/日,普通道路・小型道路,road_class,road_classification,UNKNOWN,HIGH,PENDING,"表1-1に計画交通量(30,000〜500台/日)・設計速度・出入制限区分あり"
RO-002,ROAD_CLASSIFICATION,普通道路・小型道路の区分,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,139,Ⅲ-1-1-2 (2),第3条,FACT,第4条に規定する小型自動車・普通自動車・セミトレーラ連結車の通行の用に供する道路＝普通道路、小型自動車等のみ＝小型道路,道路の種類；通行機能,普通道路: 小型自動車・普通自動車・連結車の通行用 / 小型道路: 小型自動車等のみ,UNKNOWN,普通/小型の区分,UNKNOWN,UNKNOWN,-,普通道路・小型道路,road_class,road_classification,UNKNOWN,HIGH,PENDING,
RO-003,DESIGN_SPEED,設計速度の値（第13条 表）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,161,Ⅲ-1-3,第13条,FACT,道路の区分に応じた設計速度。地形の状況等の特別な理由がある場合は右欄の値にできる,道路の区分（種級）；地形,左欄=平地部/標準、右欄=山地部/特例,UNKNOWN,"第1種1級:120/100, 2級:100/80, 3級:80/60, 4級:60/50; 第2種1級:80/60, 2級:60/50又は40; 第3種1級:80/60, 2級:60/50又は40, 3級:60,50又は40/30, 4級:50,40又は30/20, 5級:40,30又は20; 第4種1級:60/50又は40, 2級:60,50又は40/30, 3級:50,40又は30/20, 4級:40,30又は20（左=標準、右=特別理由時）",高速自動車国道（第1種第4級を除く）は右欄適用に制約あり,UNKNOWN,km/h,普通道路・小型道路（小型は別表）,design_speed,design_speed,UNKNOWN,MEDIUM,PENDING,表セル一部OCR不明瞭。小型道路の値は別表
RO-004,DESIGN_VEHICLE,設計車両の種類と諸元（第4条 表）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,173,Ⅲ-1-6,第4条,FACT,道路の設計の基準となる自動車（設計車両）の種類を表で規定,道路の区分,小型自動車: 全長4.7/全幅1.7(m)；普通自動車: 全長12/全幅2.5；セミトレーラ連結車: 全長16.5/全幅2.5,UNKNOWN,設計車両諸元（全長・全幅・軸距・最小回転半径等）,重要物流道路では連結車の軸距等が異なる（前軸距4.1等）,UNKNOWN,m,普通道路・小型道路,design_vehicle,design_vehicle,girder_interface,MEDIUM,PENDING,軸距・回転半径セルはOCR不明瞭
RO-005,LANE_WIDTH,車線幅員（第5条関係）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,208-209,Ⅲ-2-2-3,解説C.a,FACT,道路の種級・設計速度に応じた車線幅員,道路の種級,第1種第1級:3.50m、第3種第1級:3.50m、第3種第2級・第4種第1級:3.25m(必要時3.50m)、第3種第3級・第4種第2/3級:3.00m、第3種第4級:2.75m、第2種第2級:3.25m,UNKNOWN,車線幅員（m）,第2種第2級は0.25m縮小可（設計速度60km/h区間・大型車混入率低等）；第3種第2級・第4種第1級は大型車混入率30%超で3.50m,UNKNOWN,m,普通道路,lane_width,lane_width,UNKNOWN,MEDIUM,PENDING,
RO-006,LANE_WIDTH,小型道路の車線幅員（表2-4）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,208-209,Ⅲ-2-2-3 (2),表2-4,FACT,小型道路の車線幅員の標準値と特例値,小型道路の種級,第1種第1級:3.50/3.50、第1種第2級:3.25、第1種第3級:3.25/3.00、第1種第4級:3.00、第2種第1級:3.25/3.00、第2種第2級:3.00、第3種第1級:3.00、第3種第2/3/4級:2.75、第4種:2.75等（標準/特例）,UNKNOWN,小型道路の車線幅員（m）,0.25m縮小可（特例値採用区間・計画交通量余裕）,UNKNOWN,m,小型道路,lane_width,lane_width,UNKNOWN,MEDIUM,PENDING,表セル一部不明瞭
RO-007,CROSS_SECTION,第3種第5級・第4種第4級の車道幅員,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,209,Ⅲ-2-2-3 d,解説,FACT,低規格の1車線道路（第3種第5級・第4種第4級）は車道幅員を規定,計画交通量；地形,停車・乗用車相互のすれ違い・消防活動を考慮し車道幅員4.0m（計画交通量極少100台/日以下・地形特別理由で3.0m、最小道路幅員4.0m）,UNKNOWN,車道幅員（m）,UNKNOWN,UNKNOWN,m,1車線道路,lane_width,lane_width,UNKNOWN,MEDIUM,PENDING,
RO-008,MEDIAN,中央帯の幅員（第6条第4項 表）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,210,Ⅲ-2-3-4,第6条,FACT,対向車線を分離する中央帯の幅員,道路の種級,第1種第1級:4.5m、第1種第2級:4.5m、第1種第3級:1.5m、第1種第4級:1.5m、第2種第1級:2.25m、第2種第2級:1.75m、第3種第1級:2.0m、第3種第2級:1.75m、第3種第3級:1.0m、第4種:1.0m等,UNKNOWN,中央帯の幅員（m）,長大100m以上・高架等の特別理由で右欄値まで縮小可,UNKNOWN,m,普通道路・小型道路,median_width,median_width,UNKNOWN,MEDIUM,PENDING,表セル一部不明瞭、要確認
RO-009,MEDIAN,中央帯に設ける側帯の幅員（第6条第6項）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,211,Ⅲ-2-3-5,第6条,FACT,中央帯に側帯を設ける場合の幅員,道路の種級,第1種第1級:0.75m、第1種第2級:0.25m、第1種第3級:0.5m、第1種第4級:0.5m、第2種:0.5/0.25m、第3種:0.25m等,UNKNOWN,側帯の幅員（m）,中央帯幅員縮小の道路では側帯幅員も縮小可,UNKNOWN,m,普通道路,median_width,median_width,UNKNOWN,MEDIUM,PENDING,
RO-010,SHOULDER_WIDTH,路肩の幅員（第13条 表）,DOC-X0-0145,道路構造令の解説と運用（令和3年3月）,228-229,Ⅲ-2-5-2,第13条,FACT,車道に接して設ける路肩の幅員（左側・右側別）,道路の種級；普通/小型,左側路肩: 第1種第1級:普通1.75/小型1.25、第2種第1級:普通2.5/小型1.25、第3種第1級:普通2.5/小型1.25、第3種第4級:普通0.5/小型0.5等；右側路肩: 第1種第1級:普通1.25/小型0.75、第1種第2級:普通0.75/小型0.5等,UNKNOWN,路肩の幅員（m）,付加追越車線・登坂車線・変速車線がある場合、長大50m以上、高架の道路等では縮小可,UNKNOWN,m,普通道路・小型道路,shoulder_width,shoulder_width,UNKNOWN,MEDIUM,PENDING,表セル一部不明瞭
