unresolved_id,rule_id,title,issue,missing_source,needed_action,priority,notes
UR-001,RO-025,視距の値（V=30）,V=30の視距が30m/40mでOCR不明瞭,DOC-X0-0145 印刷413,V=30の視距値を限定OCRで再確認,P0,V=30のセル確認
UR-002,RO-005/006/008/010,車線幅員・中央帯・路肩の表セル,表のセル一部がOCR不明瞭,DOC-X0-0145 印刷208-229,表ページを高解像度OCRで再確認,P0,車線幅員・中央帯幅員・路肩幅員の各表
UR-003,RO-030,縦断曲線の式,2次放物線の式の完全形が未確定,DOC-X0-0145 印刷453,縦断曲線の式・図3-69を確認,P0,R=100A/L等の式
UR-004,RO-016,最小曲線長の数値表,2秒走行距離の具体表が未取得,DOC-X0-0145 印刷353-357,最小曲線長の表を確認,P0,
UR-005,RO-022/023,拡幅量の詳細式,操向作用回転半径の式がOCR不明瞭,DOC-X0-0145 印刷372-373,拡幅量算定式・設計車両別係数を確認,P0,
UR-006,PM-007,実案件の道路区分,線形計算書に種級の明記なし,サンプル_道路線形計算例,設計概要書等で確定,P1,
UR-007,PM-008,実案件の設計速度,線形計算書に設計速度の明記なし,サンプル_道路線形計算例,別資料（設計概要・標識図）で確定,P1,
UR-008,PM-010,実案件の縦断・横断勾配,線形計算書には縦断・横断の記載なし,縦断図・横断図（別資料）,縦断図・横断図を取得して確認,P1,
UR-009,PM-012,路肩幅員・車線幅員（実案件）,設計図の標準横断が画像でOCR不能,サンプル_道路設計図,標準横断図を画像確認,P1,
UR-010,CAND-21,建築限界,道示Ⅰの建築限界ページ未確認,DOC-X0-0066,道示Ⅰの必要ページを限定OCR,P1,BLOCKED
UR-011,PR-006,張り出し長の具体的値,橋梁側の張り出し長が未確認,DOC-X0-0001,一般図・張り出し長のページを確認,P1,
