mapping_id,rule_id,rule_title,project_section,project_value,standard_value,match,evidence_type,source_document,source_page,notes
PM-001,RO-013,最小曲線半径の規定値,H28西知多本線 主要点,R=1900（本線の円曲線）,設計速度120→710m / 100→460m（規定値）,CONSISTENT,FACT,サンプル_道路線形計算例,1732-1810,本線のR=1900は規定値に対し十分余裕
PM-002,RO-012,最小曲線半径の算定,専用ONランプ,"R=520, R=320, R=1983, R=1000","設計速度に応じた最小R（例60→150, 80→280）",CONSISTENT,FACT,サンプル_道路線形計算例,3869-3950,ランプは小半径（320/520）で高速本線より小さい
PM-003,RO-017,緩和区間（クロソイド）,H28西知多本線 主要点,"A=450, A=550, A=500",クロソイド（A）による緩和区間,CONSISTENT,FACT,サンプル_道路線形計算例,1732-1810,KA/KE主要点とA値で緩和区間を確認
PM-004,RO-037,測点・座標,H28西知多本線 主要点,BP/KA/KE/BC/EC/EPの測点・X/Y座標,測点・座標の体系,INFO,FACT,サンプル_道路線形計算例,1732-1810,測点ピッチ20、開始測点24+19.95
PM-005,RO-037,ブレーキ測点,H28西知多本線,ブレーキ1: 112+15.121→112+14.868 調整-0.253,測点調整,INFO,FACT,サンプル_道路線形計算例,1740-1745,ブレーキ測点による測点補正
PM-006,RO-016,曲線長,専用ONランプ IP.2,"CL=81.71（R=520, IA=9-00-12）",曲線長の算定,INFO,FACT,サンプル_道路線形計算例,3960,IP計算書の曲線長CL・接線長TL
PM-007,RO-001,道路区分,西知多道路（東海JCT）,専用部（高速）＋ICランプ＋一般部（県道）,第1種/第2種（専用部）・第3種/第4種（一般部）,UNKNOWN,INFERENCE,サンプル_道路線形計算例,表紙・TOC,線形計算書に種級の明記なし。要確認
PM-008,RO-003,設計速度,専用部・ランプ,（線形計算書に明記なし）,設計速度表（第13条）,UNKNOWN,UNRESOLVED,サンプル_道路線形計算例,-,設計速度の明記が線形計算書にない。別資料要確認
PM-009,RO-037,JCT・ランプ,専用ONランプ/OFFランプ,複数線形（本線・ランプ・暫定線）,JCT/ICのランプ線形,INFO,FACT,サンプル_道路線形計算例,TOC・全体,東海JCTのON/OFFランプ・荒尾IC上下線・暫定線
PM-010,RO-037,縦断・横断,（本線形計算書には縦断・横断勾配の記載なし）,縦断勾配・横断勾配は別資料,縦断勾配（第20条）・横断勾配（第24条）,UNKNOWN,UNRESOLVED,サンプル_道路線形計算例,-,縦断図・横断図は別資料。X1-P03では取得できず
PM-011,RO-025,視距,（別途要確認）,UNKNOWN,視距（第19条）,UNKNOWN,UNRESOLVED,サンプル_道路線形計算例,-,視距の照査は別資料で確認要
PM-012,RO-010,路肩幅員,（設計図・標準横断から確認要）,UNKNOWN,路肩幅員（第13条）,UNKNOWN,UNRESOLVED,サンプル_道路設計図,-,標準横断図はOCRで読めず。画像確認が必要
