sheet_number,bridge_name,route_name,location,sheet_number_in_set,total_sheets,scale,source_document
1,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,1,141,図示,Reference Bridge 001
2,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,2,141,1:200,Reference Bridge 001
3,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,3,141,1:200,Reference Bridge 001
4,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,4,141,1:200,Reference Bridge 001
5,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,5,141,図示,Reference Bridge 001
6,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,6,141,図示,Reference Bridge 001
7,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,7,141,図示,Reference Bridge 001
8,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,8,141,1:200,Reference Bridge 001
9,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,9,141,1:50,Reference Bridge 001
10,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,10,141,1:1200,Reference Bridge 001
11,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,11,141,1:200,Reference Bridge 001
12,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,12,141,1:100,Reference Bridge 001
13,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,13,141,図示,Reference Bridge 001
14,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,14,141,図示,Reference Bridge 001
15,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,15,141,図示,Reference Bridge 001
16,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,16,141,図示,Reference Bridge 001
17,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,17,141,1:20,Reference Bridge 001
18,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,18,141,1:10,Reference Bridge 001
19,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,19,141,1:10,Reference Bridge 001
20,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,20,141,図示,Reference Bridge 001
21,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,21,141,1:30,Reference Bridge 001
22,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,22,141,1:30,Reference Bridge 001
23,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,23,141,1:30,Reference Bridge 001
24,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,24,141,1:30,Reference Bridge 001
25,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,25,141,1:30,Reference Bridge 001
26,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,26,141,1:30,Reference Bridge 001
27,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,27,141,1:30,Reference Bridge 001
28,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,28,141,1:30,Reference Bridge 001
29,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,29,141,1:30,Reference Bridge 001
30,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,30,141,1:30,Reference Bridge 001
31,旭高架橋 Aランプ PU15ｰAR2,一般国道247号（西知多道路）,知多市旭地内始め,31,141,1:30,Reference Bridge 001
