sheet_number,pdf_page,title,line_count,content_preview
1,3,位置図,10,旭高架橋 Aランプ PU15ｰAR2 位置図         設計範囲                          工 事   名
2,4,141   2,1,141   2
3,5,141   3,1,141   3
4,6,141   4,1,141   4
5,7,数量総括表(その1),90,                                                                                               旭高架橋 Aランプ PU15ｰAR2 数量総括表(その1) 本体付属別総括表                                  本体                               
6,8,数量総括表(その2),87,                                                                                    旭高架橋 Aランプ PU15ｰAR2 数量総括表(その2) ボルト総括表                                                                                
7,9,数量総括表,132,                                                                                  旭高架橋 Aランプ PU15ｰAR2 数量総括表(その3) 壁高欄 数量総括表                                                                  上部工排水 数量総括表  
8,10,上部工構造一般図(その1),114,                                                                                                                           旭高架橋 Aランプ PU15ｰAR2 上部工構造一般図(その1) S= 1:200                                    
9,11,上部工構造一般図(その2),85,                                                                                   旭高架橋 Aランプ PU15ｰAR2 上部工構造一般図(その2) S= 1:50                                                                             
10,12,線形図(その1),254,                                                                                                                                                                          旭高架橋 Aランプ PU15ｰAR2 線形図(その1)   
11,13,線形図(その2),107,                                                                                                                                            旭高架橋 Aランプ PU15ｰAR2 線形図(その2)                                 
12,14,線形図(その3),142,                                                                                                                                                                                                        
13,15,断面構成図(その1),80,                                                                                          旭高架橋 Aランプ PU15ｰAR2 断面構成図(その1) 非合成断面 AG1                 kN･m 荷重係数を考慮した設計断面力                                   
14,16,断面構成図(その2),82,                                                                                        旭高架橋 Aランプ PU15ｰAR2 断面構成図(その2) 非合成断面 AG2                 kN･m 荷重係数を考慮した設計断面力                                     
15,17,断面構成図(その3),85,                                                                                                           旭高架橋 Aランプ PU15ｰAR2 断面構成図(その3) 合成断面 AG1                                      荷重係数を考慮した設計断面力(荷重
16,18,断面構成図(その4),86,                                                                                                                旭高架橋 Aランプ PU15ｰAR2 断面構成図(その4) 合成断面 AG2                                      荷重係数を考慮した設計断
17,19,共通詳細図(その1),129,                                                                                                                 旭高架橋 Aランプ PU15ｰAR2 共通詳細図(その1)                                                          
18,20,共通詳細図(その2),116,                                                                                      旭高架橋 Aランプ PU15ｰAR2 共通詳細図(その2)                                                                                     
19,21,共通詳細図(その3),103,                                                                                                           旭高架橋 Aランプ PU15ｰAR2 共通詳細図(その3)                                                                
20,22,キャンバー図,44,                                                             旭高架橋 Aランプ PU15ｰAR2 キャンバー図                            S1                                                                                    
21,23,主桁AG1(その1),120,                                                                                                                                                                                                        
22,24,主桁AG1(その2),92,                                                                                                                                                   旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その2)                        
23,25,主桁AG1(その3),134,                                                                                                                                                                 旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その3)          
24,26,主桁AG1(その4),103,                                                                                                                                                                    旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その4)       
25,27,主桁AG1(その5),102,                                                                                                                                                             旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その5)              
26,28,主桁AG1(その6),139,                                                                                                                                                            旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その6)               
27,29,主桁AG1(その7),103,                                                                                                                                                   旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その7)                        
28,30,主桁AG1(その8),96,                                                                                                                                               旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その8)                            
29,31,主桁AG1(その9),85,                                                                                              旭高架橋 Aランプ PU15ｰAR2 主桁AG1(その9)                                                                             
30,32,主桁AG2(その1),122,                                                                                                                                                                                                        
31,33,主桁AG2(その2),90,                                                                                                                                                     旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その2)                      
32,34,主桁AG2(その3),126,                                                                                                                                                旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その3)                           
33,35,主桁AG2(その4),101,                                                                                                                                                                    旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その4)       
34,36,主桁AG2(その5),101,                                                                                                                                                                    旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その5)       
35,37,主桁AG2(その6),134,                                                                                                                                              旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その6)                             
36,38,主桁AG2(その7),100,                                                                                                                                                          旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その7)                 
37,39,主桁AG2(その8),95,                                                                                                                                            旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その8)                               
38,40,主桁AG2(その9),86,                                                                                                                旭高架橋 Aランプ PU15ｰAR2 主桁AG2(その9)                                                           
39,41,スタッド配置図(その1),50,                                                                                                            旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その1) S=1:30                                                      
40,42,スタッド配置図(その2),44,                                                                                               旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その2) S=1:30                                                                   
41,43,スタッド配置図(その3),40,                                                                                       旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その3) S=1:30                                                                           
42,44,スタッド配置図(その4),50,                                                                                                                    旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その4) S=1:30                                              
43,45,スタッド配置図(その5),44,                                                                                         旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その5) S=1:30                                                                         
44,46,スタッド配置図(その6),40,                                                                                            旭高架橋 Aランプ PU15ｰAR2 スタッド配置図(その6) S=1:30                                                                      
45,47,,0,
