control_id,operation,input_value,focus_test,blur_test,enter_test,escape_test,tab_test,shift_tab_test,backspace_test,delete_test,copy_paste_test,undo_redo_test,save_reload_test,ime_test,notes
AUI-C-0001,text input,"abc123, 全角英数字, ひらがな, 漢字, カタカナ, 記号, 空文字, 長文",YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,Project name: IME-relevant text
AUI-C-0002,text input,"abc123, 全角英数字, ひらがな, 漢字, カタカナ, 記号, 空文字, 長文, 貼り付け",YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,Project description: IME-relevant textarea
AUI-C-0003,select,"SIMPLE_SINGLE, CONTINUOUS, toggle",YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,Bridge system switch
AUI-C-0004,numeric input,"123, 123.45, -1, 1., -, ., １２３, invalid text, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Span length
AUI-C-0005,numeric input,"123, 123.45, 0, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Bridge length (read-only when continuous)
AUI-C-0006,numeric input,"123, 123.45, -1, 0, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Width
AUI-C-0007,numeric input,"2, 1, 3, -1, 0, 123, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Girder count (integer, min=1)
AUI-C-0008,numeric input,"1.5, 0, -1, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Girder spacing
AUI-C-0009,numeric input,"2.0, 0, -1, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Girder depth
AUI-C-0010,numeric input,"0.5, 0, -1, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Top flange width
AUI-C-0011,numeric input,"0.05, 0, -1, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Top flange thickness
AUI-C-0012,numeric input,"0.5, 0, -1, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Bottom flange width
AUI-C-0013,numeric input,"0.05, 0, -1, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Bottom flange thickness
AUI-C-0014,numeric input,"0.02, 0, -1, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Web thickness
AUI-C-0015,numeric input,"0.25, 0, -1, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Deck thickness
AUI-C-0016,numeric input,"5.0, 0, -1, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Cross beam spacing
AUI-C-0017,numeric input,"3.0, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Stiffener spacing (optional)
AUI-C-0018,numeric input,"2, 0, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Sway bracing interval (optional integer)
AUI-C-0019,numeric input,"78.5, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,Steel unit weight (optional)
AUI-C-0020,numeric input,"25.0, empty",YES,YES,YES,NO,YES,YES,YES,YES,YES,YES,YES,YES,RC unit weight (optional)
