screen_id,mode,screen_name,route,precondition,reachable,drawer_or_inline,editable_control_count,evidence,notes
SCR-01,guided,Start screen,/pro/apollo,guidedStep==="start",YES,inline,0,,"4 action cards: sample, step5 guided, new project, open file"
SCR-02,guided,Sample selection,/pro/apollo,guidedStep==="sample",YES,inline,0,,"Standard sample picker"
SCR-03,guided,Sample loaded guide,/pro/apollo,guidedStep==="sampleLoaded",YES,inline,0,,"Post-load tour with jump links"
SCR-04,guided,Basics + guided mode,/pro/apollo,guidedStep==="basics",YES,inline,62,"Step bar + project form + GuidedModeShell + workflow + all input panels"
SCR-05,guided,Editor (nodes),/pro/apollo,guidedStep==="editor" && editorPane==="nodes",YES,inline,18,"Node table + detail grid (ID/name/X), add/duplicate/delete"
SCR-06,guided,Editor (members),/pro/apollo,guidedStep==="editor" && editorPane==="members",YES,inline,22,"Member table + detail grid (ID/name/start/end/material), add/duplicate/delete"
SCR-07,guided,Editor (supports),/pro/apollo,guidedStep==="editor" && editorPane==="supports",YES,inline,20,"Support table + detail grid (ID/node/name), add/duplicate/delete"
SCR-08,guided,Editor (materials),/pro/apollo,guidedStep==="editor" && editorPane==="materials",YES,inline,12,"Material table + detail grid (ID/name/category), add/duplicate/delete"
SCR-09,guided,Validation screen,/pro/apollo,guidedStep==="validation",YES,inline,1,"Validation issues list, navigation buttons, save options"
SCR-10,list,List mode (full page),/pro/apollo,mode==="list",YES,inline,124,"Project form + workspace + editor + validation all in one page"
SCR-11,guided,GuidedDetailDrawer bridge structure,/pro/apollo,drawerTarget.panelId==="wf-panel-bridge-structure",YES,drawer,36,"Drawer containing BridgeStructureInputPanel"
SCR-12,guided,GuidedDetailDrawer pavement,/pro/apollo,drawerTarget.panelId==="wf-panel-pavement",YES,drawer,12,"Drawer containing PavementMarkingInputPanel"
SCR-13,guided,GuidedDetailDrawer appurtenance,/pro/apollo,drawerTarget.panelId==="wf-panel-appurtenance",YES,drawer,32,"Drawer containing DeckAppurtenanceInputPanel"
SCR-14,guided,GuidedDetailDrawer haunch,/pro/apollo,drawerTarget.panelId==="wf-panel-haunch",YES,drawer,16,"Drawer containing RcDeckHaunchInputPanel"
SCR-15,guided,GuidedDetailDrawer load,/pro/apollo,drawerTarget.panelId==="wf-panel-load-confirmation",YES,drawer,0,"Drawer containing LoadConfirmationDevelopmentPanel (read-only)"
SCR-16,guided,GuidedDetailDrawer quantity,/pro/apollo,drawerTarget.panelId==="wf-panel-quantity",YES,drawer,0,"Drawer containing QuantityModelDevelopmentPanel (read-only)"
SCR-17,guided,GuidedDetailDrawer analysis,/pro/apollo,drawerTarget.panelId==="wf-panel-analysis",YES,drawer,0,"Drawer containing AnalysisDevelopmentProbePanel (read-only)"
SCR-18,guided,GuidedDetailDrawer output,/pro/apollo,drawerTarget.panelId==="wf-panel-output",YES,drawer,0,"Drawer containing OutputIntegrationPanel (read-only)"
