screen_id,priority,jp2_package,uses_status_catalog,uses_auth_catalog,technical_disclosure,jp3_e2e,notes
guided,HIGH,P2,YES,NO,OPTIONAL,YES,
workflow,HIGH,P2,YES,YES,REQUIRED,YES,
bridge-structure,HIGH,P3,YES,YES,REQUIRED,YES,
stl,HIGH,P5,YES,YES,REQUIRED,YES,
viewer,HIGH,P4,YES,NO,REQUIRED,YES,
cross-frame,MED,P3,YES,YES,REQUIRED,YES,
workspace,MED,P3,YES,NO,REQUIRED,YES,
authorization,HIGH,P5,YES,YES,REQUIRED,YES,
appurtenance,MED,P3,YES,YES,REQUIRED,YES,
basics,MED,P2,YES,NO,OPTIONAL,YES,
haunch,MED,P3,YES,YES,REQUIRED,YES,
other,HIGH,P6,NO,NO,REQUIRED,YES,
pavement,MED,P3,YES,NO,OPTIONAL,YES,
quantity,MED,P4,YES,YES,REQUIRED,YES,
reapply,LOW,P3,YES,YES,REQUIRED,YES,
analysis,LOW,P4,YES,YES,REQUIRED,YES,
load,LOW,P4,YES,YES,REQUIRED,YES,
