factor_id,design_situation,limit_state,load_id,factor_role,factor_value,favorable_unfavorable,applicability,source_document,source_clause,source_table,adoption_status,evidence_package_ref,notes
LF-DS04-001,design_situation_unspecified,limit_state_unspecified,LM-DS04-001,load_partial_factor,,favorable_unfavorable_unspecified,structural_self_weight|Phase_1|Ver2.00+20260331,道路橋示方書・同解説,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Package C1,Evidence package C1: Artifact=道示 I load partial-factor tables; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=factor_value + source_clause + source_table per row after human visual confirmation — design_situation and limit_state remain unspecified until evidenced; Owner=DS-04_LOADS. Single candidate shell per physical load — no invented ULS/SLS or persistent/transient assignment at DS-04.
LF-DS04-002,design_situation_unspecified,limit_state_unspecified,LM-DS04-002,load_partial_factor,,favorable_unfavorable_unspecified,rc_deck_dead|Phase_1|Ver2.00+20260331,道路橋示方書・同解説,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Package C1,Evidence package C1: Artifact=道示 I load partial-factor tables; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=factor_value + source_clause + source_table per row after human visual confirmation; Owner=DS-04_LOADS. Single candidate shell per physical load — no invented ULS/SLS membership at DS-04.
LF-DS04-003,design_situation_unspecified,limit_state_unspecified,LM-DS04-003,load_partial_factor,,favorable_unfavorable_unspecified,pavement_superimposed_dead|Phase_1|Ver2.00+20260331,道路橋示方書・同解説,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Package C1,Evidence package C1: Artifact=道示 I load partial-factor tables; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=factor_value + source_clause + source_table per row after human visual confirmation; Owner=DS-04_LOADS. Single candidate shell per physical load.
LF-DS04-004,design_situation_unspecified,limit_state_unspecified,LM-DS04-004,load_partial_factor,,favorable_unfavorable_unspecified,curb_railing_superimposed_dead|Phase_1|Ver2.00+20260331,道路橋示方書・同解説,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Package C1,Evidence package C1: Artifact=道示 I load partial-factor tables; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=factor_value + source_clause + source_table per row after human visual confirmation; Owner=DS-04_LOADS. Single candidate shell per physical load.
LF-DS04-005,design_situation_unspecified,limit_state_unspecified,LM-DS04-005,load_partial_factor,,favorable_unfavorable_unspecified,other_superimposed_dead|Phase_1|Ver2.00+20260331,道路橋示方書・同解説,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Package C1,Evidence package C1: Artifact=道示 I load partial-factor tables; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=factor_value + source_clause + source_table per row after human visual confirmation; Owner=DS-04_LOADS. Single candidate shell per physical load.
LF-DS04-006,design_situation_unspecified,limit_state_unspecified,LM-DS04-006,load_partial_factor,,favorable_unfavorable_unspecified,live_load|Phase_1|Ver2.00+20260331,道路橋示方書・同解説,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Package C1,Evidence package C1: Artifact=道示 I load partial-factor tables; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=factor_value + source_clause + source_table per row after human visual confirmation; Owner=DS-04_LOADS. Single candidate shell per physical load — impact/dynamic numeric is LF-DS04-010 only (not a second LF on LM-DS04-007).
LF-DS04-007,design_situation_unspecified,limit_state_unspecified,LM-DS04-008,load_partial_factor,,favorable_unfavorable_unspecified,temperature|Phase_1|Ver2.00+20260331,道路橋示方書・同解説,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Package C1,Evidence package C1: Artifact=道示 I load partial-factor tables; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=factor_value + source_clause + source_table per row after human visual confirmation; Owner=DS-04_LOADS. Single candidate shell per physical load.
LF-DS04-008,design_situation_unspecified,limit_state_unspecified,LM-DS04-009,load_partial_factor,,favorable_unfavorable_unspecified,support_movement|Phase_1|Ver2.00+20260331,道路橋示方書・同解説,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Package C1,Evidence package C1: Artifact=道示 I load partial-factor tables; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=factor_value + source_clause + source_table per row after human visual confirmation; Owner=DS-04_LOADS. Single candidate shell per physical load.
LF-DS04-009,design_situation_unspecified,limit_state_unspecified,LM-DS04-010,load_partial_factor,,favorable_unfavorable_unspecified,wind|Phase_1|Ver2.00+20260331,道路橋示方書・同解説,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Package C1,Evidence package C1: Artifact=道示 I load partial-factor tables; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=factor_value + source_clause + source_table per row after human visual confirmation; Owner=DS-04_LOADS. Single candidate shell per physical load.
LF-DS04-010,design_situation_unspecified,limit_state_unspecified,LM-DS04-006,adjustment_factor,,favorable_unfavorable_unspecified,dynamic_impact_on_live_load|Phase_1|Ver2.00+20260331,道路橋示方書・同解説,,,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Package B2,Evidence package B2: Artifact=道示 I dynamic/impact provision; Acquisition=licensed Ver2.00+20260331 PDF human visual confirmation; Acceptance=sole numeric owner for dynamic/impact adjustment applied exactly once to LM-DS04-006 live load — LM-DS04-007 is REFERENCE_ONLY pointer only; Owner=DS-04_LOADS. Double application forbidden: do not apply this factor and also treat LM-DS04-007 as combinable or include LM-DS04-007 in any combination shell.
