load_id,load_category,load_name,physical_definition,input_quantity,unit,distribution_rule,direction,coordinate_system,sign_convention,phase1_status,adoption_status,source,applicability,notes
LM-DS04-001,dead_load,structural_self_weight,Gravity action from structural steel member volumes multiplied by evidenced unit weight (material property — not a load factor),member_volume_times_unit_weight,,volume_integrated_gravity,global_vertical,structure_local_or_global_unspecified,positive_gravity_downward_unspecified,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説 Ver2.00+20260331 II; DS-03 MAT-DS03-008|MAT-DS03-009; licensed PDF (EXTERNAL acquisition),main_girder|cross_girder|stiffener|bracing|Phase_1A_static_linear,Evidence package A1: Artifact=道示 II permanent-action and steel dead-load provisions; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=MAT-DS03-008 unit weight adopted + DS-06 confirms mandatory Phase 1A self-weight input + volume integration rule evidenced; Owner=DS-04_LOADS. RBS/handoff PNGs location-only — not numeric authority. Do not treat material unit weight as a load factor.
LM-DS04-002,dead_load,rc_deck_dead_load,Gravity action from RC deck slab volume multiplied by evidenced concrete unit weight (material property — not a load factor),slab_volume_times_unit_weight,,area_or_volume_integrated_gravity,global_vertical,structure_local_or_global_unspecified,positive_gravity_downward_unspecified,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説 Ver2.00+20260331 III; DS-03 MAT-DS03-015|MAT-DS03-016; licensed PDF (EXTERNAL acquisition),rc_deck_slab|non_composite_deck|Phase_1A_static_linear,Evidence package A1: Artifact=道示 III RC deck dead-load provisions; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=MAT-DS03-015 adopted + non-composite deck load path confirmed + DS-06 confirms RC deck shell dead-load input; Owner=DS-04_LOADS. RDY-002 slab_load_input is location memo only — does not adopt magnitudes or load model identity.
LM-DS04-003,dead_load,pavement_superimposed_dead,Superimposed dead load from paving/wearing surface on deck — model identity and magnitude not evidenced,surface_pressure_or_areal_load,,distributed_surface_unspecified,global_vertical,deck_surface_local,positive_gravity_downward_unspecified,PHASE1_OPTIONAL,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説 Ver2.00+20260331 I|III; licensed PDF (EXTERNAL acquisition),rc_deck_surface|Phase_1A_if_user_specified,Evidence package A1: Artifact=道示 superimposed dead/pavement provisions; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=distribution rule and default inclusion policy for Phase 1 archetype recorded + supervisor DEC-DS04-xxxx if adopted as default Phase 1 input; Owner=DS-04_LOADS. Optional — not mandatory for minimal Phase 1A elastic frame path unless evidenced as required.
LM-DS04-004,dead_load,curb_railing_superimposed_dead,Superimposed dead load from curbs barriers and railings — model identity and magnitude not evidenced,line_or_point_or_surface_load_unspecified,,distribution_unspecified,global_vertical,structure_local_unspecified,positive_gravity_downward_unspecified,PHASE1_OPTIONAL,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説 Ver2.00+20260331 I|III; licensed PDF (EXTERNAL acquisition),superstructure_boundary|Phase_1A_if_user_specified,Evidence package A1: Artifact=道示 curb/railing dead-load provisions; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=applicability to Phase 1 straight 90deg skew archetype recorded; Owner=DS-04_LOADS. User/project input shell permitted; no adopted standard magnitudes at DS-04.
LM-DS04-005,dead_load,other_superimposed_dead,Other permanent superimposed dead actions not covered by LM-DS04-001…004 — includes user-defined permanent surface/line/point superimposed actions,user_specified_permanent_action,,distribution_user_or_standard_unspecified,action_direction_unspecified,structure_local_unspecified,sign_unspecified,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説 Ver2.00+20260331 I; handoff open_items.csv OPEN-002…OPEN-009 (REFERENCE_ONLY location memos); licensed PDF (EXTERNAL acquisition),Phase_1_arbitrary_permanent_actions,Evidence package A1: Artifact=道示 permanent-action taxonomy (symbol/class mapping); Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=do not map APOLLO arbitrary_load terms without supervisor review + combination and factor rules for additional permanent actions recorded; Owner=DS-04_LOADS. Handoff crosswalk notes are REFERENCE_ONLY — not load model identity adoption.
LM-DS04-006,live_load,live_load_model_unspecified,Road bridge live traffic action model — standard load class notation magnitude distribution and lane/notional lane rules not evidenced at DS-04,characteristic_live_action_unspecified,,distribution_unspecified,global_vertical_primary,bridge_longitudinal_transverse_vertical_unspecified,sign_unspecified,PHASE1_REQUIRED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説 Ver2.00+20260331 I; ready_requirements.csv RDY-003 (location memo only); licensed PDF (EXTERNAL acquisition),road_bridge_superstructure|Phase_1A_and_1B,Evidence package B1: Artifact=道示 I live-load model tables/figures; Acquisition=licensed Ver2.00+20260331 PDF human visual confirmation; Acceptance=exact notation class magnitude distribution recorded without SPACER/runtime/old-edition substitution + supervisor DEC-DS04-xxxx; Owner=DS-04_LOADS. Prohibited: inventing L-load T-load TL-25 or lane-load identities from handoff memos. Impact/dynamic numeric ownership is LF-DS04-010 only — see LM-DS04-007 pointer row.
LM-DS04-007,live_load_adjustment,dynamic_impact_adjustment,REFERENCE_ONLY non-combinable metadata pointer to LF-DS04-010 — the sole numeric owner for dynamic/impact adjustment applied to LM-DS04-006 live load. This row must not appear as a combination component or receive a separate applied numeric. Double application of impact/dynamic adjustment (via this pointer and LF-DS04-010 concurrently) is forbidden.,pointer_to_LF-DS04-010,,not_applicable_not_combinable,not_applicable,not_applicable,not_applicable,REFERENCE_ONLY,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説 Ver2.00+20260331 I; licensed PDF (EXTERNAL acquisition); LF-DS04-010,LM-DS04-006|live_load_effects|Phase_1_when_live_load_adopted,Evidence package B2: Artifact=道示 I dynamic/impact provision; Acquisition=licensed Ver2.00+20260331 PDF human visual confirmation; Acceptance=LF-DS04-010 adjustment_factor unlocked with evidenced numeric applied exactly once to LM-DS04-006 — LM-DS04-007 remains pointer-only; Owner=DS-04_LOADS. Single ownership: numeric lives only in LF-DS04-010. Prohibited: combination component rows referencing LM-DS04-007; applying LF-DS04-010 twice; treating this row as a physical combinable load.
LM-DS04-008,environmental_action,temperature_actions,Thermal actions including uniform temperature change and gradient components — models and ranges not evidenced,temperature_change_or_gradient_unspecified,,thermal_field_unspecified,expansion_contraction_and_stiffness_effects,structure_local_unspecified,sign_unspecified,PHASE1_OPTIONAL,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説 Ver2.00+20260331 I|II|III; DS-03 MAT-DS03-007|MAT-DS03-014; licensed PDF (EXTERNAL acquisition),steel_and_rc_deck|Phase_1A_if_adopted,Evidence package E1: Artifact=道示 I temperature action models and design temperature ranges; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=linkage to DS-03 thermal expansion rows if stiffness effects required + supervisor DEC-DS04-xxxx for Phase 1A inclusion; Owner=DS-04_LOADS. Static linear analysis does not exclude temperature; applicability is evidence-gated not archetype-excluded.
LM-DS04-009,displacement_action,support_movement_actions,Support settlement movement or imposed support displacement actions including spring/support models,support_displacement_or_settlement_unspecified,,boundary_imposed_displacement,global_and_local_components,support_coordinate_system_unspecified,sign_unspecified,PHASE1_OPTIONAL,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説 Ver2.00+20260331 I; handoff open_items.csv OPEN-005 (REFERENCE_ONLY); licensed PDF (EXTERNAL acquisition),bearings_and_supports|Phase_1_if_adopted,Evidence package E2: Artifact=道示 I support-movement (SD-class) provisions; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=mapping to Apollo support boundary model at DS-06 + no invented spring constants; Owner=DS-04_LOADS. APOLLO 支点沈下バネ terminology requires supervisor mapping — not adopted at DS-04.
LM-DS04-010,environmental_action,wind_actions,Wind pressure and associated structural wind actions — models directions and combination rules not evidenced,wind_pressure_or_force_unspecified,,spatial_distribution_unspecified,global_horizontal_and_vertical_components,wind_reference_system_unspecified,sign_unspecified,PHASE1_OPTIONAL,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,道路橋示方書・同解説 Ver2.00+20260331 I; handoff open_items.csv OPEN-006 (REFERENCE_ONLY cross-ref); licensed PDF (EXTERNAL acquisition),superstructure|Phase_1_if_adopted,Evidence package E1: Artifact=道示 I wind load model chapters/tables; Acquisition=licensed Ver2.00+20260331 PDF human read; Acceptance=simultaneity with live load per SX rule-class shells + supervisor DEC-DS04-xxxx for Phase 1 inclusion; Owner=DS-04_LOADS. Static linear does not exclude wind; evidence-gated optional at DS-04.
