blocker_id,source_document,affected_area,current_status,exact_missing_evidence,external_dependency,required_software,required_tool,required_version,required_license,required_machine,exact_input,exact_procedure,exact_output,checksum_requirement,acceptance_criteria,numeric_implementation_impact,source_locator,source_field_notes,ea_enablement_reference,ea_closure_status,planned_stage,notes
BLK-S1-001,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 Target-standard metadata facets,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Official titles colophons publication metadata versions publisher and volume identity,Licensed R7 volumes and publisher metadata,NOT_APPLICABLE,PDF viewer evidence register and SHA-256 tool,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized R7 access,NOT_APPLICABLE_NOT_SPECIFIED,Per-volume title and colophon manifest inputs,Human-read authorized copies and cross-check official issuance metadata,Licensed per-volume title and colophon manifest with checksums and DS-01 evidence locators,SHA-256 manifest over all retained evidence artifacts,Every current facet has an exact identity edition locator checksum and recorded decision,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:BLK-S1-001,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,Predecessor for DS-02 through DS-05 locator chain; SG-001
BLK-S1-002,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-02 JIS identities and editions,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,All 34 historical gap identities editions citation relations and equivalence decisions,Licensed JIS primary sources,NOT_APPLICABLE,JIS source access PDF viewer and SHA-256 tool,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized JIS access,NOT_APPLICABLE_NOT_SPECIFIED,Per-row primary JIS packages JIS-001 through JIS-034,Licensed source acquisition plus human identity and edition review,Per-row primary JIS packages and supervisor decisions linked to JIS-001 through JIS-034,SHA-256 manifest over all retained evidence artifacts,Every applicable row has exact standard edition locator relation and decision,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:BLK-S1-002,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,34 blocked rows in jis_source_register.csv; SG-002
BLK-S1-003,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 Supporting-manual edition map,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,R7 relationship of R2 steel and H31 bearing manuals and permitted topic scope,Licensed supporting-manual prefaces,NOT_APPLICABLE,PDF viewer evidence register and SHA-256 tool,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized supporting-manual access,NOT_APPLICABLE_NOT_SPECIFIED,Publisher preface evidence for each manual,Human-read authorized manual prefaces and record edition map,Publisher preface evidence and explicit Phase 1 citation-scope decision for each manual,SHA-256 manifest over all retained evidence artifacts,Every supporting manual has an edition relationship and approved limited role,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:BLK-S1-003,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,SG-001 linked
BLK-S1-004,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-04/DS-05 Numeric adoption,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Per-quantity source locators for loads factors equations and limits,Licensed R7 clauses and tables,NOT_APPLICABLE,Authorized standards source evidence register and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized R7 access,NOT_APPLICABLE_NOT_SPECIFIED,Verified R7 clause/table package for each engineering quantity,Human visual source review then independent register transcription,Verified R7 clause/table package and adoption decision for every engineering quantity,SHA-256 manifest over all retained evidence artifacts,Every adopted engineering numeric has exact source locator unit applicability and decision,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:BLK-S1-004,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,Blocks DS-04 and DS-05; SG-004 SG-005 SG-006 SG-007 SG-008
BLK-S1-005,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-03 Material property adoption,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Resolved JIS product grade plus R7 reference chain for material values,Licensed JIS and R7 material references,NOT_APPLICABLE,Authorized JIS/R7 source evidence register and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized R7 and JIS access,NOT_APPLICABLE_NOT_SPECIFIED,MAT-DS03 blocked property row inventory from material_properties_register.csv,Clear JIS identities then human-review R7 material references,Per-property primary-source manifest for MAT-DS03 rows with edition locators units and SHA-256,SHA-256 manifest over all retained evidence artifacts,Each in-scope property has source locator edition unit applicability and decision,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:BLK-S1-005,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,39 blocked property rows; SG-003
BLK-S1-006,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 through DS-05 Traceability locators,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Verified page table and clause locators for every adopted record,Human-verified source pages,NOT_APPLICABLE,PDF viewer evidence register and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized source access,NOT_APPLICABLE_NOT_SPECIFIED,Adopted register row inventory from DS-02 through DS-05,Review image-export pages manually without OCR-only promotion,Human-verified locator manifest linked to each adopted register row with page table clause locators and SHA-256,SHA-256 manifest over all retained evidence artifacts,Every adopted record resolves to exact edition page table or clause evidence,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:BLK-S1-006,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,Cross-stage locator gate for DS-02 through DS-05
BLK-S1-007,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 Historical Apollo baseline,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Decision on historical Apollo edition versus current target and traceability-label impact,Supervisor workshop and lawful manual review,NOT_APPLICABLE,Document review facility and checksum tool,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized Apollo manual access if required,NOT_APPLICABLE_NOT_SPECIFIED,Historical Apollo edition labels and current target edition inventory,Supervisor workshop with frame team and lawful manual review,Signed historical-baseline decision with supporting Apollo manual edition evidence,SHA-256 manifest over all retained evidence artifacts,All historical labels have a documented non-normative relationship to the current target,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:BLK-S1-007,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,SG-013; BLOCKS_NUMERIC_RELEASE
BLK-S1-008,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 through DS-05 Image-export source quality,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Human-verified locators for cited image-export pages,Visual review of cited image pages,NOT_APPLICABLE,PDF viewer evidence register and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized source access,NOT_APPLICABLE_NOT_SPECIFIED,Cited image-export page inventory from DS registers,Manual page review and two-person locator confirmation,Per-citation visual review log or approved searchable replacement manifest with checksums,SHA-256 manifest over all retained evidence artifacts,Every cited image page is visually verified and checksum-bound,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:BLK-S1-008,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,SG-001 linked
BLK-S1-009,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-00/DS-01 Evidence rights,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Internal-use and redistribution rights for evidence extracts,Legal and organizational compliance review,NOT_APPLICABLE,Compliance record facility,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Organizational authority,NOT_APPLICABLE_NOT_SPECIFIED,Retained evidence extract inventory and publisher package license terms,Legal and organizational compliance review,Written receiving-organization compliance decision linked to package license terms,SHA-256 manifest over all retained evidence artifacts,Permitted storage access and redistribution scope is explicit for every retained extract,BLOCKS_EVIDENCE_DISTRIBUTION,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:BLK-S1-009,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,SG-013; BLOCKS_EVIDENCE_DISTRIBUTION not numeric release alone
DTR-06,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-01 R7 errata,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Per-volume publisher or MLIT errata status and dated sheets,Official publisher or MLIT errata bulletins,NOT_APPLICABLE,Browser PDF viewer evidence register and checksum tools,SOURCE_EDITION_MUST_BE_CAPTURED_AND_FROZEN,Authorized R7 access,NOT_APPLICABLE_NOT_SPECIFIED,R7 edition row inventory awaiting errata verification,Review official support pages and licensed publisher bulletins,Official per-volume errata manifest linked to edition rows with dated bulletin checksums,SHA-256 manifest over all retained evidence artifacts,Every volume has current dated errata state checksum and application decision,BLOCKS_NUMERIC_RELEASE,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv:DTR-06,acquisition_method->exact_procedure; baseline fields from EA-00 snapshot,EA-00 inventory and sequence only; licensed primary source capture BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT; enablement does not close blocker,STAGE-01,SG-001 linked
