table_id,pdf_page_number,printed_page_number,chapter_id,section_id,title_raw,header_raw,row_key,column_key,cell_raw_text,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CAL-TBL-P00767-001,767,762,CAL-CH3,CAL-SEC-3.4.1,死荷重曲げ,項目/値,舗装M,-4.31 kNm,-4.31,kNm,-4.31,kNm,LOAD_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-TBL-P00767-002,767,762,CAL-CH3,CAL-SEC-3.4.1,死荷重曲げ,項目/値,床版M,-44.36 kNm,-44.36,kNm,-44.36,kNm,LOAD_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-TBL-P00767-003,767,762,CAL-CH3,CAL-SEC-3.4.1,死荷重曲げ,項目/値,打下ろしM,-37.80 kNm,-37.80,kNm,-37.80,kNm,LOAD_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-TBL-P00767-004,767,762,CAL-CH3,CAL-SEC-3.4.1,死荷重曲げ,項目/値,ガードレールM,-6.05 kNm,-6.05,kNm,-6.05,kNm,LOAD_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-TBL-P00767-005,767,762,CAL-CH3,CAL-SEC-3.4.1,死荷重曲げ,項目/値,地覆M,-33.46 kNm,-33.46,kNm,-33.46,kNm,LOAD_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-TBL-P00767-006,767,762,CAL-CH3,CAL-SEC-3.4.1,死荷重曲げ,項目/値,ブラケットM,-1.99 kNm,-1.99,kNm,-1.99,kNm,LOAD_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-TBL-P00767-007,767,762,CAL-CH3,CAL-SEC-3.4.1,死荷重曲げ,項目/値,Md合計,-127.97 kNm,-127.97,kNm,-127.97,kNm,LOAD_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-TBL-P00767-008,767,762,CAL-CH3,CAL-SEC-3.4.1,活荷重曲げ,項目/値,常時M1,-139.62 kNm,-139.62,kNm,-139.62,kNm,LOAD_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-TBL-P00767-009,767,762,CAL-CH3,CAL-SEC-3.4.1,活荷重曲げ,項目/値,衝突時M2,-188.77 kNm,-188.77,kNm,-188.77,kNm,LOAD_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-TBL-P00769-001,769,764,CAL-CH3,CAL-SEC-3.4.1,設計断面力,組合せ/値,M(組合せ1),-308.9 kNm,-308.9,kNm,-308.9,kNm,ANALYSIS_RESULT,CAL-P00769-TBL,HIGH,UNVERIFIED
CAL-TBL-P00769-002,769,764,CAL-CH3,CAL-SEC-3.4.1,設計断面力,組合せ/値,S(組合せ1),288.0 kN,288.0,kN,288.0,kN,ANALYSIS_RESULT,CAL-P00769-TBL,HIGH,UNVERIFIED
CAL-TBL-P00770-001,770,765,CAL-CH3,CAL-SEC-3.4.1,断面諸元,部位/値,UFLG250x12 A=30.00cm2,30.00,cm2,30.00,cm2,SECTION_PROPERTY,CAL-P00770-TBL,HIGH,UNVERIFIED
CAL-TBL-P00770-002,770,765,CAL-CH3,CAL-SEC-3.4.1,断面諸元,部位/値,Web788x9 A=70.92cm2,70.92,cm2,70.92,cm2,SECTION_PROPERTY,CAL-P00770-TBL,HIGH,UNVERIFIED
CAL-TBL-P00770-003,770,765,CAL-CH3,CAL-SEC-3.4.1,断面諸元,部位/値,LFLG250x12 A=30.00cm2,30.00,cm2,30.00,cm2,SECTION_PROPERTY,CAL-P00770-TBL,HIGH,UNVERIFIED
CAL-TBL-P00770-004,770,765,CAL-CH3,CAL-SEC-3.4.1,断面諸元,部位/値,I=132705.0 cm4,132705.0,cm4,132705.0,cm4,SECTION_PROPERTY,CAL-P00770-TBL,HIGH,UNVERIFIED
CAL-TBL-P00771-001,771,766,CAL-CH3,CAL-SEC-3.4.1,応力度照査,項目/値,sigma_u,95 N/mm2,95,N/mm2,95,N/mm2,ANALYSIS_RESULT,CAL-P00771-TBL,HIGH,UNVERIFIED
CAL-TBL-P00771-002,771,766,CAL-CH3,CAL-SEC-3.4.1,応力度照査,項目/値,sigma_l,-95 N/mm2,-95,N/mm2,-95,N/mm2,ANALYSIS_RESULT,CAL-P00771-TBL,HIGH,UNVERIFIED
CAL-TBL-P00772-001,772,767,CAL-CH3,CAL-SEC-3.4.1,せん断照査,項目/値,tau,41 N/mm2,41,N/mm2,41,N/mm2,ANALYSIS_RESULT,CAL-P00772-TBL,HIGH,UNVERIFIED
CAL-TBL-P00772-002,772,767,CAL-CH3,CAL-SEC-3.4.1,せん断照査,項目/値,合成比,0.42<=1.2,0.42,,0.42,,VERIFICATION_RESULT,CAL-P00772-TBL,HIGH,UNVERIFIED
