value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CAL-VAL-P00766-001,766,761,CAL-CH3,CAL-SEC-3.4.1,荷重分担幅B,3.046,m,3.046,m,DIMENSION,CAL-P00766-TBL,HIGH,UNVERIFIED
CAL-VAL-P00767-001,767,762,CAL-CH3,CAL-SEC-3.4.1,舗装厚,0.080,m,0.080,m,DIMENSION,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-VAL-P00767-002,767,762,CAL-CH3,CAL-SEC-3.4.1,床版厚,0.230,m,0.230,m,DIMENSION,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-VAL-P00767-003,767,762,CAL-CH3,CAL-SEC-3.4.1,輪荷重P,100,kN,100,kN,LOAD_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-VAL-P00767-004,767,762,CAL-CH3,CAL-SEC-3.4.1,衝撃係数常時i,0.392,,0.392,,DERIVED_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-VAL-P00767-005,767,762,CAL-CH3,CAL-SEC-3.4.1,衝撃係数衝突時i,0.389,,0.389,,DERIVED_VALUE,CAL-P00767-TBL,HIGH,UNVERIFIED
CAL-VAL-P00768-001,768,763,CAL-CH3,CAL-SEC-3.4.1,衝突荷重F SC種,35.0,kN,35.0,kN,LOAD_VALUE,CAL-P00768-TBL,HIGH,UNVERIFIED
CAL-VAL-P00769-001,769,764,CAL-CH3,CAL-SEC-3.4.1,設計断面力M,-308.9,kNm,-308.9,kNm,ANALYSIS_RESULT,CAL-P00769-TBL,HIGH,UNVERIFIED
CAL-VAL-P00769-002,769,764,CAL-CH3,CAL-SEC-3.4.1,設計断面力S,288.0,kN,288.0,kN,ANALYSIS_RESULT,CAL-P00769-TBL,HIGH,UNVERIFIED
CAL-VAL-P00770-001,770,765,CAL-CH3,CAL-SEC-3.4.1,断面積A,130.92,cm2,130.92,cm2,SECTION_PROPERTY,CAL-P00770-TBL,HIGH,UNVERIFIED
CAL-VAL-P00770-002,770,765,CAL-CH3,CAL-SEC-3.4.1,I,132705.0,cm4,132705.0,cm4,SECTION_PROPERTY,CAL-P00770-TBL,HIGH,UNVERIFIED
CAL-VAL-P00771-001,771,766,CAL-CH3,CAL-SEC-3.4.1,曲げ圧縮制限sigma_brgd,144,N/mm2,144,N/mm2,MATERIAL_PROPERTY,CAL-P00771-TBL,HIGH,UNVERIFIED
CAL-VAL-P00771-002,771,766,CAL-CH3,CAL-SEC-3.4.1,引張制限sigma_tud,180,N/mm2,180,N/mm2,MATERIAL_PROPERTY,CAL-P00771-TBL,HIGH,UNVERIFIED
