feature_id,feature_category,feature_name,subfeature_name,phase_class,purpose,input_name,input_type,unit,default_value,constraint,options,automatic_decision,validation_rule,process,calculation_reference,output,report,drawing,integration,upstream_feature,downstream_feature,manual_id,pdf_page,book_page,section,screen_name,table_name,figure_name,classification,evidence_text_summary,interpretation,unknowns,oss_mapping,adoption_candidate,status
F4-3-001,section_change,断面変化位置の追加方法,NONE,Phase1_required,断面変化位置の追加方法,クリック位置,NONE,NONE,NONE,最寄のパネル1/2点,NONE,なし,NONE,UNKNOWN,NONE,新規断面追加,NONE,NONE,画面表示,section_force_import/analysis,splice/section_check,MAN-008,5,NONE,2.1 側面図より断面を決定する方法,NONE,NONE,NONE,Evidence,断面力表示断面にて、断面を追加したい部分をクリックし、右クリックメニューから「断面変化位置の追加」を行う,NONE,なし,NONE,NONE,extracted
F4-3-002,section_change,断面変化位置の自動決定,NONE,Phase1_required,断面変化位置の自動決定,最大部材長,NONE,NONE,NONE,なし,NONE,最大部材長付近のパネル1/2点を断面変化位置に自動決定,NONE,UNKNOWN,NONE,断面変化位置＆添接位置追加、断面寸法内部推定,NONE,NONE,画面表示,section_force_import/analysis,splice/section_check,MAN-008,5,NONE,2.2 最大部材長より断面変化位置を決定する方法,NONE,NONE,NONE,Evidence,「実行」-「全断面自動推定」を選択し、最大部材長を入力。内部的に最大部材長付近のパネル1/2点を断面変化位置とする,NONE,なし,NONE,NONE,extracted
F4-3-003,section_change,断面変化位置の手動入力,NONE,Phase1_required,断面変化位置の手動入力,断面数、断面長、部材数、部材長,NONE,NONE,NONE,なし,NONE,なし,NONE,UNKNOWN,NONE,断面変化位置設定,NONE,NONE,ダイアログ入力,section_force_import/analysis,splice/section_check,MAN-008,7,NONE,2.3 既存の断面変化位置を入力する方法,NONE,NONE,NONE,Evidence,「設計条件」-「断面数・断面長」または「設計条件」-「部材数・部材長」を選択し、1主桁毎に断面数および断面長を指定,NONE,なし,NONE,NONE,extracted
F4-3-004,section_change,断面変化位置の微調整,NONE,Phase1_required,断面変化位置の微調整,ドラッグ＆ドロップ,NONE,NONE,NONE,添接位置を越えて断面変化位置は移動不可,NONE,なし,NONE,UNKNOWN,NONE,断面変化位置移動,NONE,NONE,画面操作,section_force_import/analysis,splice/section_check,MAN-008,8,NONE,3.1 ドラッグ＆ドロップによる調整,NONE,NONE,NONE,Evidence,寸法引き出し線付近でマウスをクリックし、ドラッグ＆ドロップで断面変化位置を移動。移動後の位置はパネル1/2点となる,NONE,なし,NONE,NONE,extracted
F4-3-005,section_change,断面長の直接入力,NONE,Phase1_required,断面長の直接入力,断面長、添接長,NONE,NONE,NONE,老番側の寸法により調整,NONE,なし,NONE,UNKNOWN,NONE,寸法変更,NONE,NONE,ダイレクト入力,section_force_import/analysis,splice/section_check,MAN-008,9,NONE,3.2 断面長を入力する方法,NONE,NONE,NONE,Evidence,断面長および添接長の寸法値をダブルクリックしてダイレクトに寸法入力可能。寸法変更後の長さ調整は老番側の寸法により行う,NONE,なし,NONE,NONE,extracted
F4-3-006,section_change,断面計算の実行,NONE,Phase1_required,断面計算の実行,F5キー,NONE,NONE,NONE,なし,NONE,なし,NONE,UNKNOWN,NONE,断面計算結果,NONE,NONE,画面表示,section_force_import/analysis,splice/section_check,MAN-008,11,NONE,4.1 断面計算方法,NONE,NONE,NONE,Evidence,キーボードのファンクション「F5」を押して断面計算を行う。「実行」-「断面計算(着目桁)」または「全桁全断面の再計算」でも実行可能,NONE,なし,NONE,NONE,extracted
F4-3-007,section_change,断面推定機能,NONE,Phase1_required,断面推定機能,板厚等に0入力,NONE,NONE,NONE,1断面に対して0は複数個入力可能,NONE,0入力箇所の断面推定,NONE,UNKNOWN,NONE,断面推定結果,NONE,NONE,画面表示,section_force_import/analysis,splice/section_check,MAN-008,11,NONE,4.2 断面推定機能,NONE,NONE,NONE,Evidence,断面形状板厚等に0を入力して断面計算を行うと、0と入力した箇所のみ断面推定する。「実行」-「全断面自動推定」で板厚および板幅の推定を行う,NONE,なし,NONE,NONE,extracted
F4-3-008,section_check,断面チェック機能,NONE,Phase1_required,断面チェック機能,不明,NONE,NONE,NONE,不明,NONE,不明,NONE,UNKNOWN,NONE,断面チェック結果,NONE,NONE,不明,section_force_import/analysis,calculation_report,MAN-008,16,NONE,7. 断面チェック機能の説明,NONE,NONE,NONE,Evidence,断面チェック機能の説明（詳細は不明）,NONE,機能詳細不明,NONE,NONE,extracted
F4-3-009,section_check,断面計算書の出力,NONE,Phase1_required,断面計算書の出力,不明,NONE,NONE,NONE,不明,NONE,不明,NONE,UNKNOWN,NONE,断面計算書,NONE,NONE,不明,section_force_import/analysis,calculation_report,MAN-008,17,NONE,8. 断面計算書の出力,NONE,NONE,NONE,Evidence,「断面計算書」の出力機能（詳細は不明）,NONE,出力形式不明,NONE,NONE,extracted
F4-3-010,splice,添接計算の実行,NONE,Phase1_required,添接計算の実行,不明,NONE,NONE,NONE,不明,NONE,不明,NONE,UNKNOWN,NONE,添接計算結果,NONE,NONE,不明,girder_section,calculation_report,MAN-008,21,NONE,10. 添接計算実行方法,NONE,NONE,NONE,Evidence,添接計算の実行方法（詳細は不明）,NONE,実行方法不明,NONE,NONE,extracted
