調査は公的資料 Web 情報に基づく形式比較。数値は技術検証用参考値であり、設計値ではない。

## 橋台形式マトリクス

形式,一般名称,主構成,3D難易度,2D投影,現在対応,C1判定,備考
inverted_t,逆T式橋台,壁+翼壁+フーチング+杭,低,矩形,対応,C1_IMPLEMENT,継続
cantilever_frame,ラーメン式橋台,壁+フーチング+支承,低,矩形,未対応,C1_IMPLEMENT,逆T式と同形状
gravity,重力式橋台,壁体(勾配)+フーチング,中,台形,未対応,FUTURE,勾配付き壁
box,箱式橋台,前面壁+側壁+底版,中,コの字,未対応,FUTURE,中空表現
backfill,盛りこぼし橋台,傾斜壁+フーチング,中,矩形,未対応,FUTURE,特殊形状

## 橋脚形式マトリクス

形式,一般名称,主構成,3D難易度,2D投影,現在対応,C1判定,備考
single_column_rect,単柱矩形橋脚,柱+キャップ+フーチング+杭,低,矩形,対応,C1_IMPLEMENT,継続
wall,壁式橋脚,壁+キャップ+フーチング+杭,低,矩形,未対応(拡張で可),C1_IMPLEMENT,単柱の幅広版
portal_frame,門型橋脚,2柱+横梁+フーチング+杭,中,2矩形+梁,未対応,C1_IMPLEMENT,重点対応項目
rigid_frame,RCラーメン式橋脚,3本以上柱+梁,中高,複数矩形,未対応,FUTURE,門型の拡張
hollow,中空式橋脚,中空柱+キャップ+フーチング,中,矩形(外形),未対応,FUTURE,外形は単柱で代用可

## 基礎形式マトリクス

形式,一般名称,主構成,3D難易度,2D投影,現在対応,C1判定,備考
spread,直接基礎,フーチングのみ,低,矩形,未対応(杭なし分岐),C1_IMPLEMENT,杭あり/なし
bored_pile,場所打ち杭基礎,フーチング+杭,低,矩形+十字,対応,C1_IMPLEMENT,継続
steel_pipe,鋼管杭基礎,フーチング+鋼管杭,低,矩形+十字,未対応(pileType追加),C1_IMPLEMENT,形状は場所打ちと同一
pneumatic_caisson,ニューマチックケーソン,ケーソン本体+中詰め,高,大断面矩形,未対応,FUTURE,特殊基礎
open_caisson,オープンケーソン,ケーソン本体+中詰め,高,大断面矩形,未対応,FUTURE,特殊基礎
diaphragm_wall,地中連続壁基礎,連続壁+中詰め,高,矩形枠,未対応,FUTURE,特殊基礎
steel_sheet_pile,鋼管矢板基礎,矢板群+中詰め,高,円形/矩形配置,未対応,FUTURE,特殊基礎
