gate,description,category,failAction
G01,MAIN_ENTRY_WORKS,/pro/liner/substructure到達,CRITICAL
G02,ROUTING_WORKS,ルーティング成立,CRITICAL
G03,PROJECT_HANDOFF_WORKS,データ引継ぎ成立,CRITICAL
G04,LINER_PLACEMENT_WORKS,線形+station+offset配置成立,BLOCKING
G05,DIRECT_XYZ_WORKS,例外モード配置成立,MINOR
G06,STRUCTURE_TYPES_WORK,全C1形式生成可,BLOCKING
G07,PORTAL_PIER_WORKS,門型橋脚生成可,BLOCKING
G08,PILE_FOUNDATION_WORKS,杭基礎生成可,MAJOR
G09,SAMPLE_GENERATION_WORKS,サンプル生成成立,MAJOR
G10,PARAMETRIC_2D_UPDATE,値変更→2D即時更新,MAJOR
G11,PARAMETRIC_3D_UPDATE,値変更→3D debounce更新,MAJOR
G12,DIMENSION_DISPLAY,2D/3D寸法表示,MINOR
G13,LINER_PLAN_OVERLAY,LINER平面図Overlay,BLOCKING
G14,UPPER_LOWER_3D_INTEGRATION,上部工+下部工同一Scene,BLOCKING
G15,SELECTION_SYNC,Tree/2D/3D/LINER/Property同期,MAJOR
G16,UNDO_REDO,規定操作で成立,MAJOR
G17,SAVE_LOAD,JSON round-trip,BLOCKING
G18,GOLDEN_CASES,全6Case PASS,BLOCKING
G19,REGRESSION,既存全テストPASS,BLOCKING
