AC_ID,Feature,Requirement,Preconditions,Action,Expected_Result,Persistence_Requirement,Electron_Requirement,Automated_Test_Requirement,Manual_Test_Requirement,Negative_Case,Completion_Evidence,Dependency,Numeric_Scope_Guard
U3-AC-001,Project CRUD,U3-REQ-CRUD-001,"Apollo route entered; workspace store readable","Create a new draft, rename it, save a snapshot, duplicate the snapshot, and reopen the duplicate after route round-trip","Active draft id, name, duplicate lineage, and selected snapshot remain consistent; reopened duplicate equals the saved source snapshot except for stable remapped snapshot identity","Workspace snapshot ordering is deterministic by updated timestamp; saved JSON reopens without field loss","Run through Electron and confirm draft survives return to `/pro` and reopen flow","Apollo unit test covers create/open/rename/save/duplicate state transitions","Electron manual test records new/open/rename/save/duplicate route with screenshots","Delete is not part of this criterion","Workspace screenshot, duplicate snapshot artifact, and passing Apollo unit test","U3-A; U3-I","No numeric execution, verified result, or authoritative publication path is invoked"
U3-AC-002,Project CRUD,U3-REQ-CRUD-002,"At least one saved snapshot exists","Attempt to delete a snapshot and then load an intentionally malformed persisted snapshot entry","Delete proceeds only after explicit confirmation; malformed snapshot is rejected fail-closed and does not become active","Invalid persisted snapshot never overwrites the active in-memory project","Electron dialog or in-shell destructive action confirms before delete","Automated test covers invalid snapshot normalization and delete-confirm contract state","Electron manual test proves delete confirm path and malformed snapshot rejection messaging","Malformed snapshot, empty rename payload, and duplicate ordering collision must not corrupt the active project","Fail-closed rejection log, delete confirm screenshot, and passing normalization test","U3-A","Invalid data handling may not bypass numeric guards or load numeric-only fields"
U3-AC-003,Import / Export,U3-REQ-IMPX-001,"Active Apollo draft is valid; native dialog bridge available","Export the active Apollo draft to JSON, edit the in-memory draft, then import the exported file","Imported draft matches exported values exactly for Apollo-managed fields","Round-trip preserves schema version, project identity, and Apollo sidecar structure","Electron must execute native open/save bridge end to end","Automated test covers serializer and hydrator round-trip","Electron manual test records export -> mutate -> import -> compare flow","User cancel during open/save must leave current draft unchanged","Exported artifact, import screenshot, and passing serializer/hydrator tests","U3-B; U3-A","Export remains non-authoritative and limited to the Apollo draft JSON contract"
U3-AC-004,Import / Export,U3-REQ-IMPX-002,"Import entry point is visible","Import JSON with unknown required structure changes, missing required fields, duplicate ids, or broken references","Import fails closed with explicit issue reporting; active draft remains unchanged","No invalid file mutates persisted snapshots or the active project","Electron manual verification must use a real file with invalid content","Automated test covers unknown field, missing field, duplicate id, and broken reference rejection","Electron manual test proves rejection messaging and unchanged draft after invalid import","Authoritative result export attempt remains blocked","Rejected import log, unchanged draft evidence, and failing input fixtures in automated tests","U3-B; U3-H","Import validation may not promote numeric fields or open result-publication flows"
U3-AC-005,Undo / Redo,U3-REQ-HIST-001,"Active Apollo draft loaded; history stack empty at start","Perform a single edit, then a multi-entity transaction such as paste or bulk edit, and undo both","Undo reverses one transaction at a time in reverse order of application","Undo state is session-local and does not write persistence until explicit save or export","Electron keyboard shortcut path must work with focused Apollo tables and forms","Automated tests cover single-edit undo and transaction undo semantics","Electron manual test records `Ctrl/Cmd+Z` over supported Apollo inputs","Undo may not cross project switch or import boundaries","History trace, keyboard evidence, and passing undo tests","U3-C; U3-D; U3-E; U3-F","Undo logic applies to Apollo draft shell state only; numeric state is untouched"
U3-AC-006,Undo / Redo,U3-REQ-HIST-002,"At least one undoable action exists","Undo one or more actions, redo them, then perform a new action","Redo restores undone transactions until a new action invalidates redo history","Saving a draft does not silently merge redo history across boundary resets","Electron manual test must verify `Ctrl/Cmd+Shift+Z` or `Ctrl/Cmd+Y` according to platform contract","Automated tests cover redo invalidation after new action, import boundary reset, and project switch reset","Electron manual test proves redo unavailable after new edit following undo","Redo must not revive entities from a different project or imported file","Redo-disabled UI evidence and passing history-boundary tests","U3-C; U3-A; U3-B","Redo cannot restore blocked numeric or publication operations"
U3-AC-007,Multi Select,U3-REQ-SEL-001,"Apollo table contains at least three rows of one entity type","Select one row, add another with `Ctrl/Cmd`, then extend a range with `Shift`","Selection model records exact selected ids in deterministic order and eligible bulk actions become enabled","Selection state is UI-local and not persisted","Electron manual verification must use real keyboard modifiers","Automated tests cover additive selection and contiguous range selection","Electron manual test records additive and range selection with visible selection indicators","Mixed entity selection path must not enable unsupported actions","Selection screenshots and passing selection-model tests","U3-D","Selection only targets Apollo shell entities and does not expose numeric objects"
U3-AC-008,Multi Select,U3-REQ-SEL-002,"Active selection exists and search/filter controls are available","Switch project, apply a filter that hides a selected row, and clear the filter","Project switch clears selection; filtered-out selected entities follow the documented retention rule without silent mutation","Selection reset does not persist to saved project content","Electron manual test must confirm project switch reset visually","Automated tests cover project switch reset and filter-hidden selection behavior","Electron manual test proves no stale selection after project switch","Select All must not span multiple projects or hidden unsupported panes","Selection reset evidence and passing filter interaction tests","U3-D; U3-G; U3-A","Selection transitions may not invoke numeric viewer state or result panes"
U3-AC-009,Copy / Paste,U3-REQ-CLIP-001,"Supported Apollo entities selected","Copy the selection and paste into the same active project","Pasted entities receive new deterministic ids and remapped internal references while preserving allowed field values","Clipboard payload remains internal until pasted; persistence changes only after explicit save/export","Electron manual test must verify keyboard shortcuts for copy and paste","Automated tests cover id remap and reference remap","Electron manual test records copy/paste from real selection to visible table state","System clipboard text paste must not be treated as a valid Apollo payload","Pasted-row evidence, remap test output, and keyboard screenshots","U3-E; U3-D; U3-C","Clipboard payload excludes numeric results and authoritative exports"
U3-AC-010,Copy / Paste,U3-REQ-CLIP-002,"Clipboard contains either no Apollo payload or a payload from an incompatible context","Attempt to paste with an empty, invalid, or cross-project-disallowed payload","Paste is rejected atomically with explicit user feedback and no partial entity creation","Rejected paste does not alter saved snapshots or active draft state","Electron manual test must cover invalid paste feedback path","Automated tests cover invalid payload and cross-project policy rejection","Electron manual test proves unchanged draft after invalid paste","Duplicate draft action may not be used as a substitute for clipboard paste completion","Rejection message evidence and unchanged-draft test","U3-E; U3-A","Rejected paste cannot load numeric-only payload fields"
