source_type,source_id,feature_id,requirement_id,topic,disposition_mapping,rationale,blocker_ids
OPEN,OPEN-001,F4-P5-016,REQ-5C-0004,live_load:片持部荷重,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-002,F4-P5-017,REQ-5C-0005,arbitrary_load:その他面荷重,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-003,F4-P5-018,REQ-5C-0006,arbitrary_load:その他線荷重,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-004,F4-P5-019,REQ-5C-0007,arbitrary_load:その他点荷重,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-005,F4-P5-020,REQ-5C-0008,arbitrary_load:支点沈下バネ,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-006,F4-P5-021,REQ-5C-0009,arbitrary_load:水平荷重,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-007,F4-P5-034,REQ-5C-0010,point_load:point_load (covered under arbitrary_load),RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-008,F4-P5-035,REQ-5C-0011,line_load:line_load (covered under arbitrary_load),RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-009,F4-P5-036,REQ-5C-0012,surface_load:surface_load (covered under arbitrary_load),RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-010,F4-P3-001,REQ-5C-0014,section_change:断面変化位置の追加方法,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-011,F4-P3-002,REQ-5C-0015,section_change:断面変化位置の自動決定,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-012,F4-P3-003,REQ-5C-0016,section_change:断面変化位置の手動入力,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-013,F4-P3-004,REQ-5C-0017,section_change:断面変化位置の微調整,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-014,F4-P3-005,REQ-5C-0018,section_change:断面長の直接入力,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-015,F4-P3-006,REQ-5C-0019,section_change:断面計算の実行,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-016,F4-P3-007,REQ-5C-0020,section_change:断面推定機能,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-017,F4-P3-023,REQ-5C-0033,section_property:断面諸量の計算方法,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-018,F4-P3-036,REQ-5C-0042,girder_geometry:girder_geometry,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-019,F4-P3-038,REQ-5C-0044,girder_section:girder_section,RESOLVABLE_BY_STEP1_DESIGN,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-020,F4-P4-001,REQ-5C-0047,cross_girder:横桁設計,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-021,F4-P4-002,REQ-5C-0048,cross_girder:横桁断面力計算,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
OPEN,OPEN-022,F4-P4-003,REQ-5C-0049,cross_girder:横桁断面計算,OUT_OF_PHASE1,PARTIALLY_LOCATED or OPEN_NEEDS_SOURCE_REVIEW in package,BLK-S1-001
