requirement_id,user_problem,current_behavior,desired_behavior,acceptance_criteria,affected_surfaces,preserved_behavior,prohibited_change,verification_method,priority
UR-01,Header mode and action buttons look identical; mode vs ops unclear,Six identical buttons in apollo-unit2-header-actions; shared CSS; no active-mode style,Visually separate mode switcher group from file/help/exit groups; active mode emphasized,Mode group distinct from action group; guided|list active state visible without reading tooltip only,shell header; styles.css,Mode still switches guided|list; labels remain Japanese,Must not invent third data mode or dual ProjectModel,Visual review + shell unit/E2E + screenshots desktop/tablet/mobile,P0
UR-02,操作ガイド / ファイル / 保存 / メニューへ戻る mixed with mode toggles,Same row and style as mode buttons,File actions and exit/help in dedicated action cluster; help secondary,File Open/Save and Return visually grouped; Help not competing with mode primary,shell header,openFromFile/saveToFile/onReturnToPro/onboarding behavior unchanged,Must not change save/reload semantics or dirty guard,E2E save/reload/return testids still pass,P0
UR-03,Save state not explicit in header chrome,Save button shows 保存 or 保存中... only; dirty not surfaced in header,Header shows dirty/clean (or equivalent) save state near Save,When isDirty true user sees explicit unsaved indicator; after successful save indicator clears,shell header; may use existing isDirty prop,Persistence and checksum unchanged,Must not change workspace schema or dirtyFingerprint algorithm,Unit + E2E dirty/save flows; serialize/reload compare,P0
UR-04,Large provisional/authorization display dominates; details not folded for normal use,apollo-provisional-banner large card + many AuthorizationBanner instances with full L1 lines,Default: one compact global auth status; details behind disclosure; panels may keep compact note or inherit global,Normal first viewport shows compact auth strip; expanding reveals L3 tokens NOT_GRANTED/PROHIBITED; formal values unchanged,shell banner; AuthorizationBanner; TechnicalDetails; panel mounts,NUMERIC_DESIGN_AUTHORIZATION=NOT_GRANTED; PROHIBITED; L3 codes available,Must not grant authorization or soften fail-closed copy meaning,E2E auth assertions (S5R-012 etc.); catalog tests; visual screenshots,P0
UR-05,6-step STEP_DEFINITIONS and G01-G15 progress duplicate,On basics: stepbar + Guided progress list + WF counts/cards,Single visual progress navigator for Guided journey integrating chapter context with G01-G15; WF remains expert control plane,User sees one primary progress UI in Guided; G01-G15 jump still possible; G meanings unchanged,GuidedModeShell; shell stepbar; possibly ProgressNavigator,G01-G15 order/themes/wfAnchor; buildWorkflowStateModel,Must not renumber G or invent alternate slide SoR,Guided unit + JP3C G jumps; screenshot progress,P0
UR-06,Guided 戻る / 保存して次へ scroll away,apollo-guided-nav in document flow; CSS not sticky/fixed,Sticky footer action bar fixed to viewport bottom within Guided workspace,Back and Save-next always reachable without scrolling to end of slide content on desktop and mobile,GuidedModeShell footer; styles,Button handlers and testids (apollo-guided-back/save-next) preserved or aliased,Must not change save semantics or slide adjacency rules,Guided unit + mobile E2E + keyboard focus on sticky bar,P0
UR-07,3D Viewer not primary on desktop; buried under left stack,2-col layout exists but left column stacks Guided+WF+all panels so viewer scrolls away,Desktop: stable 2-pane (input inspector | Viewer primary); Viewer remains visible while editing current guided focus,Desktop >= breakpoint: Viewer pane visible without scrolling past full WF list; same visualization model,shell layout; styles; Viewer placement,buildApolloVisualizationModel / STL same source,Must not create separate viewer store,Visual desktop screenshot; viewer selection still syncs; STL same-source check,P0
UR-08,Tablet policy undefined beyond collapse to 1 col,max-width 1200 collapses layout to 1 column,Tablet: stacked input above Viewer (or defined up/down) with clear scroll regions; not tiny side-by-side,Documented tablet breakpoint applied; input then Viewer order; CTAs reachable,styles responsive; shell layout,Same components and data,Must not drop a11y or JA labels,Tablet screenshot + keyboard,P1
UR-09,Mobile lacks explicit input vs 3D workspace switch,800px stacks everything; no input/3D tabs,Mobile: tabs or equivalent toggle between Input and 3D; sticky Guided actions remain usable,Mobile can show either Input or 3D full width via control; both remain same ProjectModel,shell; Guided; styles; possible MobileWorkspaceTabs,Viewer data source unchanged,Must not hide auth or block save on mobile,Mobile E2E + screenshots JP3 mobile,P1
UR-10,WF-01..15 full vertical cards force long scroll,WorkflowControlScreen renders all 15 WorkflowStepCards,Master-detail or slideshow: step list + one selected step detail; list shows status at a glance,Default view shows list of 15 without 15 full card bodies expanded; selecting one shows detail/CTA/diagnostics; all stepIds still reachable,WorkflowControlScreen; WorkflowStepCard; progress summary,WF meanings/status/evaluators; recommended step logic,Must not change WorkflowStateModel or evaluators,Step4A E2E + WorkflowControlScreen unit + a11y badges,P0
