relative_path,filename,file_size_bytes,page_count,encrypted,text_extractable,readable,notes
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_00.pdf,Grider_I_00.pdf,136181,2,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_01.pdf,Grider_I_01.pdf,591221,14,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_02.pdf,Grider_I_02.pdf,762605,19,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_03.pdf,Grider_I_03.pdf,338414,7,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_04.pdf,Grider_I_04.pdf,1271657,34,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_05.pdf,Grider_I_05.pdf,475362,11,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_06.pdf,Grider_I_06.pdf,446926,12,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_07.pdf,Grider_I_07.pdf,1232721,29,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_08.pdf,Grider_I_08.pdf,1137992,23,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_09.pdf,Grider_I_09.pdf,338679,6,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_10.pdf,Grider_I_10.pdf,808399,17,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_11.pdf,Grider_I_11.pdf,636586,15,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_12.pdf,Grider_I_12.pdf,376578,6,no,yes,yes,
01_コンクリート床版系鈑桁/01_非合成鈑/Grider_I_13.pdf,Grider_I_13.pdf,709607,14,no,yes,yes,
01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_00.pdf,CompGrd_I_00.pdf,135979,2,no,yes,yes,
01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_01.pdf,CompGrd_I_01.pdf,568987,13,no,yes,yes,
01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_02.pdf,CompGrd_I_02.pdf,1228439,34,no,yes,yes,
01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_03.pdf,CompGrd_I_03.pdf,2376716,60,no,yes,yes,
01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_04.pdf,CompGrd_I_04.pdf,1111951,16,no,yes,yes,
01_コンクリート床版系鈑桁/02_合成鈑桁/CompGrd_I_05.pdf,CompGrd_I_05.pdf,664795,9,no,yes,yes,
01_鋼橋自動設計システム_APOLLO_ユーザーズマニュアル_SuperDesigner_鋼橋の自動設計製図システム.pdf,01_鋼橋自動設計システム_APOLLO_ユーザーズマニュアル_SuperDesigner_鋼橋の自動設計製図システム.pdf,1369497,30,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_00.pdf,Girder_Box_00.pdf,136273,2,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_01.pdf,Girder_Box_01.pdf,595122,14,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_02.pdf,Girder_Box_02.pdf,865949,20,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_03.pdf,Girder_Box_03.pdf,394233,9,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_04.pdf,Girder_Box_04.pdf,1450164,38,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_05.pdf,Girder_Box_05.pdf,546277,11,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_06.pdf,Girder_Box_06.pdf,453641,12,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_07.pdf,Girder_Box_07.pdf,1357990,30,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_08.pdf,Girder_Box_08.pdf,415251,8,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_09.pdf,Girder_Box_09.pdf,340266,6,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_10.pdf,Girder_Box_10.pdf,283247,4,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_11.pdf,Girder_Box_11.pdf,601820,13,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_12.pdf,Girder_Box_12.pdf,480269,6,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_13.pdf,Girder_Box_13.pdf,629815,11,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_14.pdf,Girder_Box_14.pdf,656522,13,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_15.pdf,Girder_Box_15.pdf,378703,6,no,yes,yes,
02_コンクリート床版系箱桁/01_非合成箱/Girder_Box_16.pdf,Girder_Box_16.pdf,702155,14,no,yes,yes,
02_コンクリート床版系箱桁/02_合成閉断面箱/CompGrd_Box_01.pdf,CompGrd_Box_01.pdf,1797719,43,no,yes,yes,
02_コンクリート床版系箱桁/03_合成開断面箱/CompGrd_OpenBox_01.pdf,CompGrd_OpenBox_01.pdf,1776988,45,no,yes,yes,
