probe_id,probe,identity_target,exact_missing_evidence,required_executable_or_service,required_license,required_input_artifact,required_invocation,expected_observable_files,checksum_requirement,acceptance_criteria,safe_acquisition_procedure,status,blocker_id
AN-PRB-001,Minimal valid model,AN-ID-004 or selected external identity,Valid-run process and physical file behavior,Identity fixed under AN-BLK-001,Named valid entitlement,Checksum-fixed minimal supported model,Vendor-supported command or service request captured verbatim,Exit stdout stderr full before-after file manifest and outputs,SHA-256 of executable input and every retained artifact,Fresh parseable result bound to input checksum and no error or license failure,Run copied fixture in a newly created isolated directory,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-002
AN-PRB-002,Missing input,AN-ID-004 or selected external identity,Missing-input failure signature and output suppression,Identity fixed under AN-BLK-001,Named valid entitlement,Recorded nonexistent isolated input path,Same fixed invocation pattern,Exit stdout stderr error files and filesystem delta,SHA-256 of executable and retained logs,Documented failure and no authoritative output,Use an isolated path that cannot reference production data,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-PRB-003,Malformed node,AN-ID-004 or selected external identity,Node validation failure behavior,Identity fixed under AN-BLK-001,Named valid entitlement,Valid fixture copy with one schema-invalid node,Same fixed invocation pattern,All process and file observables,SHA-256 of executable malformed input and retained artifacts,Deterministic rejection identifies node defect and emits no authoritative result,Alter only a disposable copied fixture,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-PRB-004,Malformed member,AN-ID-004 or selected external identity,Member validation failure behavior,Identity fixed under AN-BLK-001,Named valid entitlement,Valid fixture copy with one invalid member reference,Same fixed invocation pattern,All process and file observables,SHA-256 of executable malformed input and retained artifacts,Deterministic rejection identifies member defect and emits no authoritative result,Alter only a disposable copied fixture,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-PRB-005,Unsupported feature,AN-ID-004 or selected external identity,Unsupported-scope diagnostic and partial-output policy,Identity fixed under AN-BLK-001,Named valid entitlement,Fixture containing one documented unsupported capability,Same fixed invocation pattern,All process and file observables,SHA-256 of executable input and retained artifacts,Explicit unsupported failure or governed partial result with no silent omission,Use a vendor-permitted copied fixture,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-PRB-006,Zero-size model,AN-ID-004 or selected external identity,Empty-model validation behavior,Identity fixed under AN-BLK-001,Named valid entitlement,Schema-valid empty structural model if parser permits,Same fixed invocation pattern,All process and file observables,SHA-256 of executable input and retained artifacts,Fail-closed result and no stale or successful output,Use an isolated disposable fixture,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-PRB-007,Stale native output,Selected external identity,Native stale-output selection and overwrite behavior,Identity fixed under AN-BLK-001,Named valid entitlement,Valid current input with seeded prior-run outputs,Vendor-supported run invocation,Before-after manifests sentinel checksums run identifiers and logs,SHA-256 of executable input seed and outputs,Prior output is rejected or replaced atomically and result binds current input,Seed only copied artifacts in an isolated directory,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-006
AN-PRB-008,Output already exists,Selected external identity,Collision prompt overwrite and mixed-run behavior,Identity fixed under AN-BLK-001,Named valid entitlement,Valid input and conflicting output names,Vendor-supported fixed invocation,Exit prompts locks temp files and file deltas,SHA-256 of executable input seed and outputs,Overwrite behavior is deterministic and cannot publish mixed-run artifacts,Use copies and never target a production result directory,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-006
AN-PRB-009,Timeout,Selected external identity,Timeout signal process-tree and cleanup behavior,Identity fixed under AN-BLK-001,Named valid entitlement,Supported long-running fixture,Vendor-supported invocation under controlled supervisor timeout,Process tree logs files before during and after termination,SHA-256 of executable input logs and partial files,No authoritative result and documented cleanup after timeout,Use administrator-approved non-production host and supported termination,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-007
AN-PRB-010,Cancellation,Selected external identity,Cancellation status process-tree and cleanup behavior,Identity fixed under AN-BLK-001,Named valid entitlement,Supported long-running fixture,Vendor-supported start and cancellation operation,Process tree logs files before during and after cancellation,SHA-256 of executable input logs and partial files,Cancellation is distinguishable from success and leaves no publishable output,Use vendor-supported cancellation on a non-production host,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-007
AN-PRB-011,License unavailable,Selected external identity,License-failure signature and output suppression,Identity fixed under AN-BLK-001,Vendor-approved unavailable or test state,Valid minimal model,Vendor-approved license-failure invocation,Exit stdout stderr license logs and file delta,SHA-256 of executable input and retained logs,License failure is explicit and cannot be ingested as success,Coordinate with license administrator and never modify license files,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-PRB-012,Concurrent execution,Selected external identity,Isolation collision seat and cross-run behavior,Identity fixed under AN-BLK-001,Named entitlement with documented seat count,Two checksum-distinct valid fixtures,Two simultaneous supported invocations,Per-run process and file manifests run identifiers and license logs,SHA-256 of executable inputs logs and outputs,No cross-run file collision data mixing or ambiguous status,Use isolated per-run directories on an approved non-production host,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-007
AN-PRB-013,Malformed imported output,Repository ingestion plus selected external identity,Importer identity format and corrupt-output rejection,External producer and repository importer identities fixed,Named valid external entitlement,Controlled corrupt copy of a genuine checksum-fixed output,Documented import operation after importer contract is identified,Parser diagnostics authority decision and source binding,SHA-256 of genuine corrupt imported and retained artifacts,Corrupt output is rejected without stale CSV PDF or mock fallback,Preserve genuine output read-only and corrupt only a disposable copy,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-006
AN-PRB-014,Locale and encoding difference,Selected external identity,Encoding newline decimal exponent and locale behavior,Identity fixed under AN-BLK-001,Named valid entitlement,Same checksum-fixed minimal model,Same invocation under two vendor-supported locales,Raw bytes metadata parsed values and file manifests,SHA-256 of executable input and outputs for each locale,Representation is documented and semantics agree or unsupported locale fails explicitly,Change only supported locale settings on an approved test host,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-003
AN-PRB-015,Repeatability,Selected external identity,Deterministic and permitted variable fields,Identity fixed under AN-BLK-001,Named valid entitlement,One checksum-fixed representative valid fixture,Three isolated serial runs with identical settings,Per-run manifests logs raw outputs and normalized numeric payloads,SHA-256 of executable input and every output,Three runs meet predeclared exact-field and numeric tolerance after approved normalization,Retain immutable per-run bundles from isolated directories,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-008
AN-PRB-016,Positive component and equilibrium suite,Selected external identity,Global local support bases DOF order all force moment reaction and displacement signs,Identity fixed under AN-BLK-001,Named valid entitlement,Checksum-fixed component-isolating unit-load fixtures,Vendor-supported invocation for each signed component,Native model and full six-component results plus equilibrium worksheet,SHA-256 of executable fixtures outputs and worksheet,Each component basis and sign is unique and equilibrium closes within predeclared tolerance,Use small copied non-production fixtures and independent calculation review,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-004
AN-PRB-017,I-J reversal and asymmetric orientation,Selected external identity,I-J ordering local-axis construction and export permutation,Identity fixed under AN-BLK-001,Named valid entitlement,Asymmetric member fixture and a separately checksummed I-J reversed counterpart,Vendor-supported invocation for both fixtures,Native inputs full end-force outputs axes and mapping worksheet,SHA-256 of executable both inputs outputs and worksheet,Observed permutation and sign mapping matches a predefined mechanically checked transformation,Run copied fixtures separately and preserve raw outputs,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-004
AN-PRB-018,Support coordinate basis,Selected external identity,Rotated support basis constraint and reaction transformation,Identity fixed under AN-BLK-001,Named valid entitlement,Asymmetric fixture with a non-global support basis if supported,Vendor-supported invocation,Native support definition displacement reaction and basis evidence,SHA-256 of executable input output and worksheet,Constraint and reaction are mapped by a verified orthonormal transformation or feature is explicitly unsupported,Use a vendor-supported isolated fixture and no production model,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-004
AN-PRB-019,Minimal load-case mapping,Selected external identity plus repository adapter,Identifier ordering naming and source checksum mapping for one load case,Both producer and adapter identities fixed,Named valid external entitlement,Checksum-fixed model with one uniquely named load case,Vendor-supported run followed by documented import,Native and IF3 load-context records logs and mapping worksheet,SHA-256 of executable input native result IF3 and worksheet,One-to-one load-case identity survives without silent rename merge or omission,Use copied artifacts and preserve native result read-only,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-010
AN-PRB-020,Minimal load-combination mapping,Selected external identity plus repository adapter,Combination identity coefficients components and result-context mapping,Both producer and adapter identities fixed,Named valid external entitlement,Checksum-fixed two-case model with one asymmetric combination,Vendor-supported run followed by documented import,Native cases combination result IF3 or explicit unsupported diagnostic and worksheet,SHA-256 of executable input native output imported output and worksheet,Combination is explicitly mapped with coefficients or rejected as unsupported without flattening,Use copied artifacts preserve native results read-only and review coefficients independently,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-010
AN-PRB-021,License expired,Selected external identity,Expired-license signature and output suppression,Identity fixed under AN-BLK-001,Vendor test or safely expired entitlement,Valid minimal fixture,Vendor-approved expired-license procedure,Exit stdout stderr license logs and filesystem delta,SHA-256 of executable input and logs,Expired state is distinguishable from valid completion and publishes no result,Coordinate with license administrator and never alter license files,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-PRB-022,Crash recovery,Selected external identity,Crash signal partial-file lock and rerun recovery behavior,Identity fixed under AN-BLK-001,Named valid entitlement,Vendor-approved controlled failure fixture or captured incident copy,Fixed invocation and vendor-supported recovery procedure,Crash logs dumps partial files locks process state and clean rerun files,SHA-256 of executable input crash artifacts and rerun outputs,Crash publishes no success and subsequent clean rerun cannot select partial artifacts,Use vendor-approved non-production procedure and preserve crash evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-007
