scenario_id,probe_id,scenario,exact_missing_evidence,required_executable_or_service,required_license,required_input_artifact,required_invocation,expected_observable_files,checksum_requirement,acceptance_criteria,safe_acquisition_procedure,status,blocker_id
AN-ERR-001,AN-PRB-001,Valid completion,Success signature and complete fresh file set,Selected external identity,Valid named entitlement,Minimal valid fixed fixture,Vendor-supported captured invocation,Complete before-after manifest native outputs and logs,SHA-256 of executable input outputs and logs,Success signal plus fresh checksum-bound parseable outputs and no failure diagnostic,Use a copied fixture in a newly created isolated directory,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-002
AN-ERR-002,AN-PRB-002,Missing input,Missing-input signature and output suppression,Selected external identity,Valid named entitlement,Recorded nonexistent path,Fixed invocation with missing path,Error license logs and filesystem delta,SHA-256 of executable and retained artifacts,Non-success is explicit and no authoritative output exists,Use an isolated path that cannot reference production data,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-ERR-003,AN-PRB-003,Malformed node input,Malformed node diagnostics and output suppression,Selected external identity,Valid named entitlement,Checksum-fixed malformed node fixture,Fixed invocation,Error logs partial files and filesystem delta,SHA-256 of executable input and outputs,Malformed node input cannot result in authoritative success,Modify only a disposable copied fixture,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-ERR-004,AN-PRB-005,Unsupported feature,Unsupported diagnostic and partial-output policy,Selected external identity,Valid named entitlement,Checksum-fixed unsupported-feature fixture,Fixed invocation,Diagnostics and all file deltas,SHA-256 of executable input and outputs,Unsupported scope is explicit with no silent omission,Use a vendor-permitted copied fixture,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-ERR-005,AN-PRB-011,License unavailable,Unavailable-license signature and output suppression,Selected external identity,Safely unavailable or vendor test state,Minimal valid fixed fixture,Vendor-approved procedure,License diagnostic stdout stderr exit and filesystem delta,SHA-256 of executable input and logs,Failure cannot be mistaken for analysis success,Coordinate with administrator and never tamper with license files,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-ERR-006,AN-PRB-021,License expired,Expired-license signature and output suppression,Selected external identity,Vendor test or safely expired entitlement,Minimal valid fixed fixture,Vendor-approved procedure,License diagnostic stdout stderr exit and filesystem delta,SHA-256 of executable input and logs,Expired state is distinguishable from valid completion,Coordinate with administrator and never alter license files,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-ERR-007,AN-PRB-009,Timeout,Timeout status process-tree and cleanup behavior,Selected external identity,Valid named entitlement,Long-running fixed fixture,Supported invocation with controlled supervisor timeout,Process tree stdout stderr partial files and cleanup manifest,SHA-256 of executable input logs and partial files,Timeout is non-success and publishes no authoritative result,Use approved non-production host and vendor-supported termination,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-007
AN-ERR-008,AN-PRB-010,Cancellation,Cancellation status process-tree and cleanup behavior,Selected external identity,Valid named entitlement,Long-running fixed fixture,Vendor-supported cancellation path,Process tree stdout stderr partial files and cleanup manifest,SHA-256 of executable input logs and partial files,Cancel is non-success and cleanup is complete,Use vendor-supported cancellation on a non-production host,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-007
AN-ERR-009,AN-PRB-022,Crash or signal termination,Crash signature partial-file and recovery behavior,Selected external identity,Valid named entitlement,Controlled vendor-approved failure fixture or captured incident,Fixed invocation,Crash logs dumps partial files locks and process status,SHA-256 of executable input and retained artifacts,Crash cannot publish or retain selectable success output,Use vendor-approved non-production procedure,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-007
AN-ERR-010,AN-PRB-008,Output collision,Overwrite prompt lock and mixed-run behavior,Selected external identity,Valid named entitlement,Valid fixture plus seeded output set,Fixed invocation,Prompts locks temp files and before-after manifest,SHA-256 of executable input seed and outputs,Overwrite behavior is deterministic and never mixes runs,Seed only copied output in an isolated directory,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-006
AN-ERR-011,AN-PRB-013,Malformed native output,Corrupt-output rejection and authority behavior,Repository ingestion plus selected external identity,Valid named entitlement,Controlled corrupt copy of genuine output,Documented import invocation,Parser diagnostics and authority state,SHA-256 of genuine corrupt imported artifacts,Output rejected without CSV PDF mock or stale fallback,Preserve original read-only and corrupt only a disposable copy,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-006
AN-ERR-012,AN-PRB-012,Concurrent license exhaustion,Seat exhaustion isolation and per-run status,Two selected external invocations,Named entitlement with documented seat count,Two checksum-distinct valid fixtures,Two simultaneous supported invocations,Per-run logs files locks and license diagnostics,SHA-256 of all executables inputs logs and outputs,Each run has unambiguous status and no cross-run data,Use isolated per-run directories on an approved host,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-007
AN-ERR-013,AN-PRB-006,Zero-size model,Empty-model failure and stale-output suppression,Selected external identity,Valid named entitlement,Checksum-fixed empty model accepted by parser,Fixed invocation,Exit logs diagnostics and filesystem delta,SHA-256 of executable input and retained artifacts,Fail-closed with no successful or stale output,Use an isolated disposable fixture,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-005
AN-ERR-014,AN-PRB-014,Locale and encoding difference,Locale representation and parse failure behavior,Selected external identity,Valid named entitlement,Same checksum-fixed minimal model,Same invocation under two supported locales,Raw bytes outputs logs and parse diagnostics,SHA-256 of executable input and each locale output,Locale either preserves semantics under declared encoding or fails explicitly,Change only supported locale settings on an approved host,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,AN-BLK-003
