blocker_id,affected_area,exact_missing_evidence,required_executable_or_service,required_license,required_input_artifact,required_invocation,expected_observable_files,checksum_requirement,acceptance_criteria,safe_acquisition_procedure,status
AN-BLK-001,Identity,Installed product identity version build architecture module hosting and relationship among historical Analyzer SPACER STATICS and repository solver,Vendor-installed executable or service plus About or version command,Named valid entitlement if product requires it,No model required for product identity and minimal copied model only for module identity,Vendor-documented identity command read-only About capture or no-write module diagnostic,Executable service and module metadata version output and installation manifest,SHA-256 of executable and retained identity artifacts,Each product module process and service is uniquely distinguished and every claimed relationship or non-equivalence is supported,Use authorized machine and redact personal or license secrets without altering identity fields,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-BLK-002,Invocation and physical files,Exact command service request arguments environment working directory input output master work temporary file set naming overwrite encoding newline decimal and scientific notation,Identity fixed by AN-BLK-001,Named valid entitlement,Checksum-fixed minimal valid model with provenance,Vendor-supported invocation captured verbatim,Raw stdout stderr exit plus recursive before-after file manifests and all native artifacts,SHA-256 of executable input and every retained artifact,Fresh output is parseable bound to current input and complete under documented success rules,Run copied fixture in a newly created isolated directory without modifying licensed installation,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-BLK-003,Units and textual representation,Repository input-unit binding and conversion plus native unit declarations encoding locale decimal exponent and internal versus display precision,Repository API and IF3 plus identity fixed by AN-BLK-001,Named valid entitlement for external runs,Dimensioned minimal fixtures under supported unit and locale settings,Repository API probe and vendor-supported serial invocations under recorded locales,Repository requests raw and IF3 results native inputs outputs reports metadata and raw byte captures,SHA-256 of repository baseline executable inputs and outputs,Every input and result quantity has a bound unit conversion rule and locale changes are deterministic or rejected,Use supported locale settings and copied fixtures in authorized isolated workspaces,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-BLK-004,Coordinates DOF I-J and signs,Machine-observed global local support bases DOF order member-end order and force moment reaction signs,Identity fixed by AN-BLK-001,Named valid entitlement,Positive unit-load and asymmetric member fixtures with hand equilibrium checks,Vendor-supported invocation for each signed component,Native model and result artifacts plus coordinate displays and equilibrium worksheet,SHA-256 of executable all fixtures outputs and worksheet,All bases orders and signs are uniquely mapped and equilibrium closes within predeclared tolerance,Use non-production copied fixtures and independently review transformations before adoption,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-BLK-005,Error exit and license,Exit status stdout stderr error files and license signals for valid and negative probes,Identity fixed by AN-BLK-001,Named valid entitlement plus vendor-approved unavailable-license test method,Fixtures AN-PRB-001 through AN-PRB-006 and AN-PRB-011,Fixed vendor-supported invocations,Per-probe process status logs license artifacts and file deltas,SHA-256 of executable fixtures and retained artifacts,Each failure class is distinguishable and cannot yield authoritative success,Coordinate license-failure tests with administrator and never tamper with license files,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-BLK-006,Staleness overwrite and malformed output,Native run identifier provenance overwrite atomicity stale detection and parser failure behavior,Identity fixed by AN-BLK-001 plus repository ingestion service,Named valid entitlement,Genuine output set seeded stale set and controlled corrupt copies,Supported run then documented ingestion invocation,Before-after manifests temp lock backup files and ingestion diagnostics,SHA-256 of executable inputs seeds genuine corrupt and final files,Only current checksum-bound complete output is selectable and corrupt output fails closed,Work only on copies in isolated directories and preserve originals read-only,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-BLK-007,Timeout cancellation concurrency cleanup and recovery,Process tree behavior locks temp ownership license seats cleanup and crash recovery,Identity fixed by AN-BLK-001,Named entitlement with documented concurrency limits,Two distinct valid fixtures and approved long-running or failure fixture,Vendor-supported start cancel and concurrent operations,Per-run process trees file manifests logs locks dumps and post-cleanup state,SHA-256 of executable inputs and all retained artifacts,No mixed output orphan process stale lock or publishable partial result remains,Use administrator-approved non-production machine and vendor-supported termination only,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-BLK-008,Reproducibility,Deterministic fields allowed metadata variance and repeat-run numeric stability,Identity fixed by AN-BLK-001,Named valid entitlement,One checksum-fixed representative valid fixture,Three isolated serial runs with identical recorded settings,Complete outputs logs manifests and normalized comparison record,SHA-256 of executable input and each output,Three runs satisfy predeclared exact-field and numeric-tolerance policy after only approved metadata normalization,Acquire in isolated directories and retain an immutable evidence bundle,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-BLK-009,CSV PDF and mock authority,Authoritative native result lineage plus producer version full component coverage rounding rules and proof that mock or derived exports cannot bypass source freshness,Selected external identity plus repository IF3 ingestion and export paths,Named valid entitlement,One checksum-fixed valid run with native output IF3 CSV PDF and mock-negative fixture,Vendor-supported run followed by documented repository import and exports,Native outputs IF3 resource derived exports diagnostics and source binding record,SHA-256 of executable input native result IF3 CSV PDF and retained logs,IF3 binds the fresh native result while CSV PDF and mock data remain derived non-authoritative and omitted or rounded fields are declared,Use authorized native output copies and run exports in an isolated repository project without altering raw artifacts,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
AN-BLK-010,Load case and combination mapping,Native and repository identifiers case and combination components coefficients ordering result contexts and unsupported behavior,Selected external identity plus identified repository import adapter,Named valid entitlement,Checksum-fixed one-case fixture and asymmetric two-case one-combination fixture,Vendor-supported runs followed by documented repository import,Native inputs outputs logs IF3 load contexts diagnostics and mapping worksheets,SHA-256 of executable fixtures native outputs imported resources and worksheets,Case mapping is one-to-one and combination is explicitly mapped with coefficients or rejected without flattening,Use copied non-production fixtures preserve native outputs read-only and independently review mappings,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
