scope_id,scope_area,implementation_class,phase1_bucket,current_readiness,permission_basis,evidence_reference,notes
P1-SCP-001,UI navigation and workspace shell,NON_NUMERIC,PHASE1_REQUIRED,GO,Handoff package limits this to shell-level workflow and does not require adopted engineering numerics,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/docs/01_scope_and_limitations.md,Must remain feature-flagged and display unverified status.
P1-SCP-002,Project and data management,NON_NUMERIC,PHASE1_REQUIRED,GO,Repository governance permits reversible non-numeric scaffolding while numeric release remains blocked,docs/apollo/design-standards/09_verification/numeric_release_gate.md,No production design result exposure.
P1-SCP-003,Node/member/support/material editor shell,NON_NUMERIC,PHASE1_REQUIRED,GO,Handoff entities are candidate-only but sufficient for provisional editor shells without solver claims,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/analysis-input/data_entity_candidates.csv,No auto-filled adopted constants.
P1-SCP-004,Geometry visualization shell,NON_NUMERIC,PHASE1_REQUIRED,GO,Geometry views can operate on user-entered topology without releasing verified analysis results,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/docs/06_frame_analysis_boundary.md,Reference-only visuals until numeric evidence closes.
P1-SCP-005,Result viewer shell and report shell,NON_NUMERIC,PHASE1_REQUIRED,GO,Shell-only containers are permissible if they clearly mark unavailable or unverified numeric content,docs/apollo/design-standards/09_verification/numeric_release_gate.md,Must default to provisional or blocked messaging.
P1-SCP-006,Import/export shell,NON_NUMERIC,PHASE1_OPTIONAL,GO,Handoff identifies candidate I/O boundaries but not fixed native formats,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/analysis-input/input_output_candidates.csv,Allowed only as placeholder adapters or internal drafts.
P1-SCP-007,Analysis adapter interface,NON_NUMERIC,PHASE1_REQUIRED,GO,Interface abstraction may be prepared without binding to unverified native Analyzer formats,docs/apollo/handoffs/APOLLO-FRAME-HANDOFF-20260726-001/apollo_frame_team_handoff/analysis-input/frame_analysis_interface_candidates.csv,No claim of parity or executable compatibility.
P1-SCP-008,Validation messages feature flags and audit trail,NON_NUMERIC,PHASE1_REQUIRED,GO,Controls are explicitly needed to prevent false release of blocked numerics,docs/apollo/design-standards/09_verification/numeric_release_gate.md,Must include disable path and stop conditions.
P1-SCP-009,Structural solver and stiffness assembly,NUMERIC,BLOCKED_BY_EVIDENCE,NOGO,DS-03 through DS-05 numeric adoption and Golden/parity evidence remain blocked,docs/apollo/post-ea-01/06_final/unresolved_blockers.csv,Implementation would require unsupported engineering numerics.
P1-SCP-010,Load processing and combination numerics,NUMERIC,BLOCKED_BY_STANDARD_SOURCE,NOGO,Load factors combinations and verification numerics remain source-blocked,docs/apollo/post-ea-01/01_sources/remaining_source_blockers.csv,No adopted clauses or tables fixed.
P1-SCP-011,Material constants partial factors verification equations and limit checks,NUMERIC,BLOCKED_BY_STANDARD_SOURCE,NOGO,JIS and R7 source closure is incomplete,docs/apollo/post-ea-01/06_final/unresolved_blockers.csv,No numeric adoption without primary-source packages.
P1-SCP-012,SPACER parity-dependent behavior and production result release,NUMERIC,BLOCKED_BY_LICENSED_MACHINE,NOGO,Licensed identity machine probe Goldens and actual SPACER parity are absent,docs/apollo/post-ea-01/05_parity/parity_blockers.csv,No production result release before actual parity approval.
