property_group_id,property_group_name,member_or_use,phase_1a_analyzer_status,phase_1b_design_check_status,numeric_needed,authoritative_source_type,dependency_or_blocker,final_classification,notes
GRP-STL-PHY,steel_physical_analysis_constants,main_girder|cross_girder|stiffener,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,REFERENCE_ONLY,conditional,道路橋示方書 II + cited JIS if any,MAT-DS03-004|MAT-DS03-005|MAT-DS03-006|MAT-DS03-008|MAT-DS03-009; docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011 (DS-06 I/O),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Phase 1A steel stiffness/dead-load inputs conditional on DS-06 physical I/O confirmation — not asserted mandatory at DS-03; no adopted numerics
GRP-STL-STR,steel_strength_and_grade,main_girder|cross_girder|stiffener,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,yes,道路橋示方書 II + JIS product standard,MAT-DS03-001|MAT-DS03-002|MAT-DS03-003|MAT-DS03-010; DEC-DS02-0001 JIS chain,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Strength checks Phase 1B; thickness-dependent bands mandatory for plate girder
GRP-STL-THM,steel_thermal_expansion,main_girder|cross_girder,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,conditional,道路橋示方書 I|II,DS-04 temperature load adoption; MAT-DS03-007,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Conditional blocked pending DS-04 thermal load case adoption; numeric needed only if thermal cases adopted
GRP-RC-PHY,rc_deck_physical_analysis_constants,rc_deck_slab,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,REFERENCE_ONLY,conditional,道路橋示方書 III,MAT-DS03-012|MAT-DS03-013|MAT-DS03-015|MAT-DS03-016; docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011 (DS-06 I/O),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,RC deck Ec nu gamma conditional on DS-06 confirming deck shell in analyzer — not asserted mandatory; no concrete G row at DS-03
GRP-RC-STR,rc_deck_strength_and_age,rc_deck_slab,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,yes,道路橋示方書 III,MAT-DS03-011|MAT-DS03-017; DS-05 member classification,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Fc and age/strength for Phase 1B RC slab checks
GRP-RC-THM,rc_deck_thermal_expansion,rc_deck_slab,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,conditional,道路橋示方書 I|III,DS-04; MAT-DS03-014,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Conditional blocked pending DS-04 thermal load case adoption
GRP-RC-CRP,rc_deck_creep_shrinkage,rc_deck_slab,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,conditional,道路橋示方書 III,static linear Phase 1A scope; MAT-DS03-018|MAT-DS03-019; DS-05 applicability classification,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Phase 1A NOT_APPLICABLE (static linear); Phase 1B and register BLOCKED pending DS-05 applicability — no numerics at DS-03
GRP-RB-PHY,rebar_physical_constants,rc_deck_rebar,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,REFERENCE_ONLY,conditional,道路橋示方書 III + JIS rebar standard,MAT-DS03-021|MAT-DS03-025; docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md#blk-s1-011 (DS-06 I/O),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Es and rebar unit weight conditional on DS-06 confirming reinforced deck stiffness model — not asserted mandatory
GRP-RB-STR,rebar_strength_and_diameter,rc_deck_rebar,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,yes,道路橋示方書 III + JIS rebar standard,MAT-DS03-020|MAT-DS03-022|MAT-DS03-023|MAT-DS03-024; DEC-DS02-0001,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Grade yield tensile by diameter Phase 1B
GRP-BLT-HSB,high_strength_bolt_properties,girder_splice|connection_boundary,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,yes,道路橋示方書 II|V + JIS bolt standard,MAT-DS03-026|MAT-DS03-027|MAT-DS03-028|MAT-DS03-029|MAT-DS03-030; docs/apollo/design-standards/00_governance/ds00_evidence_baseline.md (BLK-S1-002),BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Splice bolt workflow evidence is location-only; JIS identity blocked
GRP-WLD,welding_material_matching,field_weld|shop_weld,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,yes,道路橋示方書 II + JIS welding standards,MAT-DS03-031|MAT-DS03-032; MAT-DS03-001 grade adoption,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Weld metal matching blocked pending JIS + base metal grade
GRP-WLD-TGH,weld_toughness_cvN,fracture_critical_detail,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,conditional,道路橋示方書 II + JIS if cited,MAT-DS03-033; DS-05 applicability classification; licensed R7/JIS toughness evidence,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Toughness is not a Phase 1A analyzer stiffness input; Phase 1B applicability is blocked pending explicit DS-05 and R7/JIS evidence
GRP-BRG,bearing_boundary_materials,bearing_interface|sole_plate,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,conditional,道路橋示方書 V (+ JIS if cited),MAT-DS03-034|MAT-DS03-035|MAT-DS03-036; Volume V clause map blocked,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Boundary topic per DS-01 Volume V; not default Phase 1A frame element material
GRP-COR,corrosion_and_coating,steel_superstructure,NOT_APPLICABLE,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,yes,道路橋示方書 I|II,MAT-DS03-037|MAT-DS03-038|MAT-DS03-039,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Durability/coating numerics blocked; supporting manuals REFERENCE_ONLY
GRP-FTG,fatigue_material_categories,welded_steel_detail,NOT_APPLICABLE,NOT_APPLICABLE,no,n_a,design_standard_scope fatigue OUT,OUT_OF_SCOPE,No fatigue material adoption Phase 1
GRP-CMP,composite_connector_materials,deck_girder_interface,NOT_APPLICABLE,NOT_APPLICABLE,no,n_a,non-composite Phase 1 archetype,OUT_OF_SCOPE,Non-composite RC deck — group not applicable
GRP-SUP,r2_manual_and_ddb_tables,workflow_reference,REFERENCE_ONLY,REFERENCE_ONLY,no,R2鋼便覧|DDB,source_priority_policy REFERENCE_ONLY,REFERENCE_ONLY,Location/workflow evidence only — never numeric authority
GRP-SCH,schema_draft_material_shell,apollo_data_model,REFERENCE_ONLY,REFERENCE_ONLY,no,schema_draft.json,BLK-S1-001; numeric_value_governance,REFERENCE_ONLY,Runtime/schema examples non-authoritative; null until register row ADOPTED
