register_type,item_id,research_result_id,package_id,unresolved_reason,status,notes
RESEARCH_ITEM,H5A-0237,R5B-PKG003-0004,PKG-003-RBS-I,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLO用語と道示用語の対応は監督レビュー要
RESEARCH_ITEM,H5A-0238,R5B-PKG003-0005,PKG-003-RBS-I,NOT_FOUND_IN_SEARCHED_SCOPE,OPEN,検索範囲: 道示Ⅰ 3章・8章目次・8.2
RESEARCH_ITEM,H5A-0239,R5B-PKG003-0006,PKG-003-RBS-I,NOT_FOUND_IN_SEARCHED_SCOPE,OPEN,H5A-0238と同根拠
RESEARCH_ITEM,H5A-0240,R5B-PKG003-0007,PKG-003-RBS-I,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,T荷重は集中載荷の規定例
RESEARCH_ITEM,H5A-0241,R5B-PKG003-0008,PKG-003-RBS-I,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,APOLLOバネ入力と道示SD規定の対応要レビュー
RESEARCH_ITEM,H5A-0242,R5B-PKG003-0009,PKG-003-RBS-I,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,風荷重詳細は8.17（別頁）要参照
RESEARCH_ITEM,H5A-0254,R5B-PKG003-0010,PKG-003-RBS-I,CROSS_REFERENCE_NOT_YET_CHECKED,OPEN,0240と同一候補頁
RESEARCH_ITEM,H5A-0255,R5B-PKG003-0011,PKG-003-RBS-I,NOT_FOUND_IN_SEARCHED_SCOPE,OPEN,0239と同一候補
RESEARCH_ITEM,H5A-0256,R5B-PKG003-0012,PKG-003-RBS-I,NOT_FOUND_IN_SEARCHED_SCOPE,OPEN,0238と同一候補
UNKNOWN_NEEDS_REVIEW,T5A-0266,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P4-034 マニュアル抽出不足・handoff CSV未含有
UNKNOWN_NEEDS_REVIEW,T5A-0267,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P4-035
UNKNOWN_NEEDS_REVIEW,T5A-0268,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P4-036
UNKNOWN_NEEDS_REVIEW,T5A-0269,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P4-037
UNKNOWN_NEEDS_REVIEW,T5A-0270,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P4-038
UNKNOWN_NEEDS_REVIEW,T5A-0271,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P4-039
UNKNOWN_NEEDS_REVIEW,T5A-0272,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P4-040
UNKNOWN_NEEDS_REVIEW,T5A-0318,,,HOLD_PENDING_APOLLO_REVIEW,OPEN,F4-P5-033
