handoff_id,package_id,scope_action,handoff_status,research_result_id,linked_primary_result_id,result_relation,blocking_for_apollo_design,historical_status,target_status,notes
H5A-0001,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0002,PKG-003-RBS-I,EXTERNAL_STANDARD_LOOKUP,RESEARCHED,R5B-PKG003-0001,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,
H5A-0003,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0004,PKG-003-RBS-I,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG003-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0002
H5A-0005,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0006,PKG-003-RBS-I,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG003-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0002
H5A-0007,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0008,PKG-003-RBS-I,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG003-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0002
H5A-0009,PKG-002-APOLLO-RETURN,APOLLO_RETURN_REQUIRED,RETURN_TO_APOLLO,,,,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,APOLLO manual only
H5A-0010,PKG-003-RBS-I,DUPLICATE_MERGE_CANDIDATE,LINKED_TO_PRIMARY_RESULT,,R5B-PKG003-0001,SAME_QUESTION,NO,HISTORICAL_BASELINE_UNKNOWN_EDITION,TARGET_STANDARD_NOT_SELECTED,Primary H5A-0002
