relative_path,sha256,size_bytes,case_id
cases/DR-01/case_record.json,9c7f43b0406901a3c386e6148c1709a0cd1a3b4cd123648a0d043a8d1b995cb7,1209,DR-01
cases/DR-02/case_record.json,f72edb1782ab5255baba7ac655e838d5b3ab76a2c2a7369fa19519b1a0781c70,2351,DR-02
cases/DR-03/case_record.json,4da8bb17ba2e81fa5053ceef368ca67be2bbf1812fb9ca0fc66d2bb2b2b58a1c,334,DR-03
cases/DR-04/case_record.json,1f85806efe1844707972bfbfc6a9aecb480c3f4480d6aa707acd3271c5067e5a,1041,DR-04
cases/DR-05/case_record.json,828ccdff217e212ed56a1fccc0c3a146ca16e40a38999d8a181daf6e4ded64f4,160,DR-05
cases/DR-06/case_record.json,13c1ad4fb843db223369ccb9bc06c5b1a3ac61f68210ab492b1f7605b1e2810e,273,DR-06
cases/DR-07/case_record.json,66482e9e44858faf4111df44ea5f7eae4360d5b9676813942671fc3c59192a8a,553,DR-07
cases/DR-08/case_record.json,51eebdbd0b77061dfb73520c179a73c0b38118ce6c04b7dd775c5ac933be7bdd,417,DR-08
cases/DR-09/case_record.json,ffa12557060b0e5214fd848f6f3c47694103f41a35dcdd0092db68a74a36564f,159,DR-09
cases/DR-10/case_record.json,07196e80ccc8a51394dec9a6c09209ef3db0292c70420f9005442c7b87ddeb62,159,DR-10
cases/DR-11/case_record.json,f6e032405e13fb3d052126a1572ab2b38263e49ec5a14f33d70f0623e49a3749,160,DR-11
cases/DR-12/case_record.json,287ddb6efa88ab1c7309994244807a1147a73139c676846174fd193f2621d06d,127,DR-12
cases/DR-13/case_record.json,c68e5306a11336b72948ac551339ebce00a1b7478e2948d672fe4770f4a57092,202,DR-13
cases/DR-14/case_record.json,08a2655cb6fe9c140ddb28c4a466b980771ccc19f9ca6fb8c17383c6dc2964a9,154,DR-14
cases/DR-15/case_record.json,48f24cf80c95af0ddd6a74af38f06d6d272adbe9f2c7093450f48ad8293464a4,124,DR-15
cases/DR-16/case_record.json,ef0c25dc92efe185786444c01d68433c0ef85ff8f95027adbe8eb392475cc8f9,168,DR-16
cases/DR-17/case_record.json,7c96a3320ba9702a416422692aa30d691752991249d18ab75db448f328230f48,166,DR-17
cases/DR-18/case_record.json,c5a6240c3edca833a5c5201421952249e676f906a0c34b24f64c1544107c0417,149,DR-18
cases/DR-19/case_record.json,d0c15772f421f2bb48cbd5fc4c1f55ded93158d002349c26dbdfb30d1d4c96c1,73,DR-19
cases/DR-20/case_record.json,7cdbc269825c37c9454d111f4ae2c34bf287372e8db30702476ac16aba74ebce,397,DR-20
cases/DR-20/evidence_summary.json,97e5bf0d83cb50d50ff106d2bbefdf74321346a5feb2bf23f07cfb47b8ae51bb,394,DR-20
cases/DR-20/parity_report.json,f2119b67ec7c9666bff02208fb5bc078478f51c749e860f50007c2cdd799224e,587,DR-20
dry_run_summary.json,0071c684e2568969dd5a05c90e953f16fb020a55ca9c063a955ded83e42f385f,597,
