relative_path,sha256,size_bytes,exit_code,role,git_status
checkpoint5/apollo_hygiene.txt,036911722a9ae44b7b377eab26b0189a1ffb69c548b563997bdce4741f115f43,112,0,checkpoint5_log,excluded_raw
checkpoint5/backend_relevant.txt,0c8bb05ea65a19db645e6c087bb9698541d51d17721dbcb16764ab19984a4f6d,186,0,checkpoint5_log,excluded_raw
checkpoint5/backend_schema_extra.txt,7befa9425e4ac4912d6c0416d4db9c8f37ef5af13c4085730a7e726aff578255,106,0,checkpoint5_log,excluded_raw
checkpoint5/electron_compile.txt,f958ea5dc4ec1139fa25b0efb449a94beab258665ae109d5ba0dfbafbc29ad08,107,0,checkpoint5_log,excluded_raw
checkpoint5/electron_test.txt,8189624326548eb670c50c77aab30d058d5299e1fe4ad17288dd9b2e1cb46823,332,0,checkpoint5_log,excluded_raw
checkpoint5/electron_version_xvfb.txt,557943bfb74c2b78a8ba5c478d1511ea2ac9d736f8c366bf4c781a7d512317ae,46,0,checkpoint5_log,excluded_raw
checkpoint5/focus_test_debug.txt,b5be5fa68d75e59d5a6f22334bfb05221b70d1ddb37858207e65ce07bc5399d0,390,,checkpoint5_log,excluded_raw
checkpoint5/frontend_apollo_suite.txt,9ebeb9f56e241f77805664e4cb5c7ceeadec7f417e68c5a1a0af6e88e8336f89,1874,,checkpoint5_log,excluded_raw
checkpoint5/frontend_apollo_suite_after_fix.txt,edc29f000e6a65cbd24754d19dc5abad3472bd65e596ab71fcb6fcf0d3bd9643,336,0,checkpoint5_log,excluded_raw
checkpoint5/frontend_build.txt,e7a93f440b6a92e24f290c705c8d6a299ed2c7679311dbf2c1dd6e0321b7ce5f,772,0,checkpoint5_log,excluded_raw
checkpoint5/frontend_lint.txt,949c8eea680ef509df35d590aec8f368b3590c738c366eb75959b11276a57c27,311157,0,checkpoint5_log,excluded_raw
checkpoint5/frontend_lint_after_fix.txt,9dd964269a63f48581a916826130c22dabb34340ca7b2b4a12754604b48bdb10,311483,0,checkpoint5_log,excluded_raw
checkpoint5/frontend_regression.txt,328776e38f378f06880231a607c003e850b0498aefa4eb2094f73f3208cc84b4,1478,1,checkpoint5_log,excluded_raw
checkpoint5/frontend_targeted_u3.txt,4c14eedeae8aa5ab5eae0f7d69e746bc9dfec7cdfa61c824ba2b9bc9ca815e69,522,0,checkpoint5_log,excluded_raw
checkpoint5/frontend_test_excluding_python_venv.txt,0c3afa19047b2ca0d74ed8d13cac51e3818a5944f4098107727813695068e82b,813,0,checkpoint5_log,excluded_raw
