candidate_id,domain,field_path,semantic_class,adoption_status,phase3_action,disposition
GEO-005,geometry,alignment.station,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-010,geometry,girder_line.panel_points_AG1,COORDINATE,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,EXCLUDED_SCOPE
GEO-011,geometry,girder_line.panel_points_AG2,COORDINATE,CANDIDATE_ONLY,GOLDEN_ELIGIBLE,EXCLUDED_SCOPE
GEO-074,geometry,cross_section.bottom_flange_width_calc,DIMENSION,CONFLICT_REQUIRES_REVIEW,REVIEW_CONFLICT,HOLD_CONFLICT
GEO-075,geometry,cross_section.bottom_flange_width_drawing,DIMENSION,CONFLICT_REQUIRES_REVIEW,REVIEW_CONFLICT,HOLD_CONFLICT
GEO-020,geometry,grid_point.1002.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-021,geometry,grid_point.1003.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-022,geometry,grid_point.1004.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-023,geometry,grid_point.1005.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-024,geometry,grid_point.1006.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-025,geometry,grid_point.1007.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-026,geometry,grid_point.1008.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-027,geometry,grid_point.1009.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-028,geometry,grid_point.1010.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-029,geometry,grid_point.1011.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-030,geometry,grid_point.1012.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-031,geometry,grid_point.1013.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-032,geometry,grid_point.1014.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-033,geometry,grid_point.1015.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-034,geometry,grid_point.1016.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
GEO-035,geometry,grid_point.1017.coordinate,UNKNOWN_REQUIRES_REVIEW,HUMAN_CONFIRMATION_REQUIRED,HUMAN_VALIDATION,HOLD_INSUFFICIENT_SOURCE/MODEL_SCOPE
