drawing_locator,golden_record_count
DWG-S001,69
DWG-S001-V01,1
DWG-S002,7
DWG-S002-V01,2
DWG-S003,7
DWG-S003-V01,2
DWG-S004,7
DWG-S004-V01,2
DWG-S005,10
DWG-S005-V01,1
DWG-S006,11
DWG-S006-V01,3
DWG-S007,10
DWG-S007-V01,3
DWG-S008,8
DWG-S008-V01,2
DWG-S009,12
DWG-S009-V01,1
DWG-S010,7
DWG-S010-V01,2
DWG-S011,7
DWG-S011-V01,2
DWG-S012,9
DWG-S012-V01,2
DWG-S013,13
DWG-S013-V01,2
DWG-S014,7
DWG-S014-V01,2
DWG-S015,6
DWG-S015-V01,2
DWG-S016,6
DWG-S016-V01,2
DWG-S017,8
DWG-S017-V01,2
DWG-S018,7
DWG-S018-V01,2
DWG-S019,8
DWG-S019-V01,1
DWG-S020,8
DWG-S020-V01,2
DWG-S021,29
DWG-S021-V01,2
DWG-S022,23
DWG-S022-V01,1
DWG-S023,24
DWG-S023-V01,1
DWG-S024,23
DWG-S024-V01,1
DWG-S025,23
DWG-S025-V01,1
DWG-S026,24
DWG-S026-V01,1
DWG-S027,23
DWG-S027-V01,1
DWG-S028,23
DWG-S028-V01,1
DWG-S029,24
DWG-S029-V01,1
DWG-S030,29
DWG-S030-V01,2
DWG-S031,23
DWG-S031-V01,1
DWG-S032,23
DWG-S032-V01,1
DWG-S033,23
DWG-S033-V01,1
DWG-S034,23
DWG-S034-V01,1
DWG-S035,23
DWG-S035-V01,1
DWG-S036,23
DWG-S036-V01,1
DWG-S037,23
DWG-S037-V01,1
DWG-S038,24
DWG-S038-V01,1
DWG-S039,10
DWG-S039-V01,1
DWG-S040,7
DWG-S040-V01,1
DWG-S041,7
DWG-S041-V01,1
DWG-S042,7
DWG-S042-V01,1
DWG-S043,7
DWG-S043-V01,1
DWG-S044,8
DWG-S044-V01,2
DWG-S045,75
DWG-S045-V01,10
DWG-S046,26
DWG-S046-V01,4
DWG-S047,32
DWG-S047-V01,2
DWG-S048,9
DWG-S048-V01,5
DWG-S049,29
DWG-S049-V01,1
DWG-S050,14
DWG-S050-V01,1
DWG-S051,10
DWG-S051-V01,1
DWG-S052,10
DWG-S052-V01,1
DWG-S053,10
DWG-S053-V01,1
DWG-S054,10
DWG-S054-V01,1
DWG-S055,10
DWG-S055-V01,1
DWG-S056,10
DWG-S056-V01,1
DWG-S057,10
DWG-S057-V01,1
DWG-S058,18
DWG-S058-V01,1
DWG-S059,8
DWG-S059-V01,1
DWG-S060,8
DWG-S060-V01,1
DWG-S061,31
DWG-S061-V01,5
DWG-S062,19
DWG-S062-V01,1
DWG-S063,8
DWG-S063-V01,1
DWG-S064,8
DWG-S064-V01,1
DWG-S065,8
DWG-S065-V01,1
DWG-S066,8
DWG-S066-V01,1
DWG-S067,8
DWG-S067-V01,1
DWG-S068,22
DWG-S068-V01,3
DWG-S069,8
DWG-S069-V01,1
DWG-S070,8
DWG-S070-V01,1
DWG-S071,8
DWG-S071-V01,1
DWG-S072,17
DWG-S072-V01,4
DWG-S073,12
DWG-S073-V01,5
DWG-S074,13
DWG-S074-V01,3
DWG-S075,8
DWG-S075-V01,1
DWG-S076,8
DWG-S077,8
DWG-S078,8
DWG-S078-V01,1
DWG-S079,8
DWG-S079-V01,1
DWG-S080,11
DWG-S080-V01,1
DWG-S081,8
DWG-S081-V01,1
DWG-S082,10
DWG-S082-V01,2
DWG-S083,8
DWG-S084,8
DWG-S085,37
DWG-S085-V01,3
DWG-S086,27
DWG-S086-V01,3
DWG-S087,23
DWG-S087-V01,3
DWG-S088,24
DWG-S088-V01,3
DWG-S089,22
DWG-S089-V01,4
DWG-S090,51
DWG-S090-V01,9
DWG-S091,19
DWG-S091-V01,3
DWG-S092,19
DWG-S092-V01,4
DWG-S093,11
DWG-S094,8
DWG-S095,6
DWG-S096,6
DWG-S097,6
DWG-S098,6
DWG-S099,7
DWG-S099-V01,1
DWG-S100,6
DWG-S100-V01,1
DWG-S101,9
DWG-S101-V01,1
DWG-S102,20
DWG-S102-V01,1
DWG-S103,6
DWG-S104,6
DWG-S105,6
DWG-S106,6
DWG-S107,6
DWG-S108,6
DWG-S109,6
DWG-S110,6
DWG-S111,6
DWG-S111-V01,1
DWG-S112,6
DWG-S113,6
DWG-S114,6
DWG-S115,6
DWG-S116,6
DWG-S117,6
DWG-S118,6
DWG-S119,6
DWG-S120,6
DWG-S121,6
DWG-S122,6
DWG-S123,6
DWG-S124,6
DWG-S125,6
DWG-S126,6
DWG-S127,6
DWG-S128,6
DWG-S129,6
DWG-S130,6
DWG-S131,6
DWG-S131-V01,1
DWG-S132,7
DWG-S132-V01,1
DWG-S133,6
DWG-S134,6
DWG-S135,6
DWG-S136,6
DWG-S137,7
DWG-S138,7
DWG-S139,7
DWG-S140,7
DWG-S141,90
DWG-S141-V01,1
