candidate_id,golden_id,field_path,promotion_status,promotion_reason,source_priority,confidence
GEO-001,G-GEO-0001,alignment.bridge_length,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,BOTH,HIGH
GEO-002,G-GEO-0002,alignment.span_length.1,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,BOTH,HIGH
GEO-003,G-GEO-0003,alignment.span_length.2,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,BOTH,HIGH
GEO-004,G-GEO-0004,alignment.span_length.3,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,BOTH,HIGH
GEO-006,G-GEO-0005,girder_line.ag1,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-007,G-GEO-0006,girder_line.ag2,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-008,G-GEO-0007,girder_line.girder_spacing,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-009,G-GEO-0008,girder_line.girder_height,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-012,G-GEO-0009,grid_point.1001.X,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-013,G-GEO-0010,grid_point.1001.Y,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-014,G-GEO-0011,grid_point.1027.X,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-015,G-GEO-0012,grid_point.1027.Y,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-016,G-GEO-0013,grid_point.2001.X,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-017,G-GEO-0014,grid_point.2001.Y,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-018,G-GEO-0015,grid_point.2027.X,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-019,G-GEO-0016,grid_point.2027.Y,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-070,G-GEO-0017,cross_section.deck_total_width,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-071,G-GEO-0018,cross_section.deck_thickness,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,BOTH,HIGH
GEO-072,G-GEO-0019,cross_section.pavement_thickness,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,BOTH,HIGH
GEO-073,G-GEO-0020,cross_section.upper_flange_width,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-076,G-GEO-0021,cross_section.web_height,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-077,G-GEO-0022,cross_section.web_thickness,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-078,G-GEO-0023,support_line.pu15,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-079,G-GEO-0024,support_line.pr1,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-080,G-GEO-0025,support_line.pr2,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-081,G-GEO-0026,support_line.ar2,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
GEO-082,G-GEO-0027,elevation.longitudinal_gradient.1,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-083,G-GEO-0028,elevation.longitudinal_gradient.2,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-084,G-GEO-0029,elevation.cross_gradient.1,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-085,G-GEO-0030,elevation.cross_gradient.2,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-086,G-GEO-0031,elevation.cross_gradient.3,APPROVED_GOLDEN_MODEL,geometry Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
GEO-087,G-GEO-0032,elevation.deck_elevation_DL,APPROVED_WITH_HUMAN_CONFIRMATION_TRACK,geometry Golden from Phase 2-II candidate; MEDIUM confidence; human confirmation HCR-001 tracked,DRAWING,MEDIUM
GEO-088,G-GEO-0033,elevation.ground_level_V,APPROVED_WITH_HUMAN_CONFIRMATION_TRACK,geometry Golden from Phase 2-II candidate; MEDIUM confidence; human confirmation HCR-001 tracked,DRAWING,MEDIUM
SM-001,G-SM-0001,node.1001.coordinate,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
SM-027,G-SM-0002,node.1027.coordinate,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
SM-028,G-SM-0003,node.2001.coordinate,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
SM-054,G-SM-0004,node.2027.coordinate,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
SM-055,G-SM-0005,member.AG1,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-056,G-SM-0006,member.AG2,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-057,G-SM-0007,member.GE1,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-058,G-SM-0008,member.GE2,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-059,G-SM-0009,member.C1-C7,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-060,G-SM-0010,member.C8-C13,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-061,G-SM-0011,member.C14-C20,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-062,G-SM-0012,member.C21-C23,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-063,G-SM-0013,member.A-L1,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-064,G-SM-0014,member.A-L2,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-065,G-SM-0015,member.STUD,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-066,G-SM-0016,member.V-STIFF,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-067,G-SM-0017,member.JACK-STIFF,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-068,G-SM-0018,member.SOLE-PL,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-069,G-SM-0019,member.NOSE,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-070,G-SM-0020,member.H-NO1,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-071,G-SM-0021,member.S1,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-072,G-SM-0022,member.S2,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-073,G-SM-0023,member.PR1,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-074,G-SM-0024,member.PR2,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,DRAWING,HIGH
SM-075,G-SM-0025,connectivity.plane_grid_topology,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
SM-076,G-SM-0026,connectivity.ag1_node_chain,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; MEDIUM confidence,CALCULATION,MEDIUM
SM-077,G-SM-0027,connectivity.ag2_node_chain,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; MEDIUM confidence,CALCULATION,MEDIUM
SM-082,G-SM-0028,support_restraint.PU15,APPROVED_GOLDEN_MODEL,structural_model Golden from Phase 2-II candidate; HIGH confidence,BOTH,HIGH
