candidate_id,golden_id,field_path,promotion_status,promotion_reason,source_priority,confidence
DS-001,G-DES-0001,section_property.ag1.sec-1.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-002,G-DES-0002,section_property.ag1.sec-1.web,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-003,G-DES-0003,section_property.ag1.sec-1.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence; conflict CONF-P2II-001 registered,CALCULATION,HIGH
DS-008,G-DES-0004,section_property.ag1.sec-3.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-009,G-DES-0005,section_property.ag1.sec-3.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence; conflict CONF-P2II-001 registered,CALCULATION,HIGH
DS-010,G-DES-0006,section_property.ag1.sec-3.web,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-012,G-DES-0007,section_property.ag1.sec-5.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-013,G-DES-0008,section_property.ag1.sec-5.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-014,G-DES-0009,section_property.ag1.sec-5.web,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-018,G-DES-0010,section_property.ag1.sec-6.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-019,G-DES-0011,section_property.ag1.sec-6.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence; conflict CONF-P2II-001 registered,CALCULATION,HIGH
DS-020,G-DES-0012,section_property.ag1.sec-6.web,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-022,G-DES-0013,section_property.ag1.sec-8.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-023,G-DES-0014,section_property.ag1.sec-8.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-024,G-DES-0015,section_property.ag1.sec-8.web,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-025,G-DES-0016,section_property.ag1.sec-9.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-026,G-DES-0017,section_property.ag1.sec-9.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-027,G-DES-0018,section_property.ag1.sec-10.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-028,G-DES-0019,section_property.ag1.sec-10.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-029,G-DES-0020,section_property.ag1.sec-11.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-030,G-DES-0021,section_property.ag1.sec-11.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-031,G-DES-0022,section_property.ag1.sec-12.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-032,G-DES-0023,section_property.ag1.sec-12.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-033,G-DES-0024,section_property.ag1.sec-13.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-034,G-DES-0025,section_property.ag1.sec-13.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-035,G-DES-0026,section_property.ag1.sec-14.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-036,G-DES-0027,section_property.ag1.sec-14.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-037,G-DES-0028,section_property.ag1.sec-15.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-038,G-DES-0029,section_property.ag1.sec-16.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-039,G-DES-0030,section_property.ag1.sec-16.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-040,G-DES-0031,section_property.ag1.sec-17.uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-041,G-DES-0032,section_property.ag1.sec-17.lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-042,G-DES-0033,section_property.ag2.summary,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; MEDIUM confidence,CALCULATION,MEDIUM
DS-178,G-DES-0034,limit.tension_ls3_tud,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-179,G-DES-0035,limit.compression_sec3_cud,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-180,G-DES-0036,limit.compression_sec6_cud,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-181,G-DES-0037,limit.compression_composite_uflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-182,G-DES-0038,limit.compression_composite_lflg,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-183,G-DES-0039,limit.shear_tud,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-184,G-DES-0040,limit.combined_kappa_limit,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
DS-185,G-DES-0041,limit.fatigue_damage_limit,APPROVED_DESIGN_GOLDEN,design Golden from Phase 2-II candidate; HIGH confidence,CALCULATION,HIGH
