check_id,artifact_class,requirement,required_operator_input,acceptance_criteria,package_status,execution_status
ACC-001,package_manifest,Schema apollo.external_run.package.v1 and package_version 1.0.0,REQUIRED_OPERATOR_INPUT,package_verdict COMPLETE and execution_verdict BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-002,operator_record,Operator ID name organization and capture timestamps,REQUIRED_OPERATOR_INPUT,No placeholder fields after operator completion,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-003,software_identity,Version build architecture executable SHA per AN-ID-004/005/006,REQUIRED_OPERATOR_INPUT,Executable SHA not reference-only manual SHA; frozen_identity_bundle_id shared,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-004,run_request,Verbatim vendor-supported invocation checksum-bound to fixtures,REQUIRED_OPERATOR_INPUT,invocation_command matches frozen identity and fixture_binding_sha256,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-005,fixture_manifest,Read-only copied inputs with SHA-256 manifest,REQUIRED_OPERATOR_INPUT,On-disk fixture bytes match manifest sha256,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-006,license_preflight,Entitlement state without license key capture,REQUIRED_OPERATOR_INPUT,license_key_captured remains false,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-007,machine_preflight,Observed OS architecture locale timezone discovery evidence and authorized machine linkage,REQUIRED_OPERATOR_INPUT,host fields nonempty; external_software_discovered boolean true; discovery_evidence_sha256 present; authorized_machine_id matches operator_record; supervisor notes not accepted as capture host,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-008,probe_execution,EA-01 bundle per positive/negative catalog probe under canonical IDs,REQUIRED_OPERATOR_INPUT,All 38 canonical probe directories present with on-disk EA-01 validation when operator-complete,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-009,repeat_runs,Exactly three isolated serial EA-01 bundles,REQUIRED_OPERATOR_INPUT,compare_repeated_runs deterministic across all three,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-010,import_manifest,Content hashes and out-of-band import_manifest_sha256 seal,REQUIRED_OPERATOR_INPUT,expected_import_manifest_sha256 required for operator-complete; recomputed content_hashes include probe/repeat trees,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-011,stdout_stderr,Raw byte capture with SHA-256 in process_result,REQUIRED_OPERATOR_INPUT,Stream checksums match on-disk captures,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-012,before_after_manifest,Recursive manifests under isolated workspace,REQUIRED_OPERATOR_INPUT,Embedded manifests bind to on-disk captures,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-013,stale_detection,Stale sentinel evaluation for AN-PRB-007/008 probes,REQUIRED_OPERATOR_INPUT,stale_detection recomputed from bound manifests,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-014,timeout_cancel,Timeout and cancellation capture per AN-PRB-009/010,REQUIRED_OPERATOR_INPUT,cancelled cleanup_attempted invariants satisfied,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-015,concurrency,Two simultaneous isolated runs AN-PRB-012,REQUIRED_OPERATOR_INPUT,Per-run manifests with no cross-run collision,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-016,no_manual_edit,Tracked JSON files unchanged after import,REQUIRED_OPERATOR_INPUT,content_hashes match at verify time,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-017,no_version_mixing,Single shared frozen_identity_bundle_id across identities and repeats,REQUIRED_OPERATOR_INPUT,Distinct product_version and executable_sha256 allowed across AN-ID-004/005/006; split frozen_identity_bundle_id rejected,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
ACC-018,probe_catalog_coverage,All AN-PRB and AN-ERR canonical rows traced,REQUIRED_OPERATOR_INPUT,No catalog status promotion beyond BLOCKED,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT
