evidence_id,source_asset_id,document_name,document_type,evidence_page,evidence_section,evidence_type,status,related_rules,notes
EV-001,DOC-X0-0143,サンプル_道路線形計算例,ROAD_ALIGNMENT_CALCULATION,1732-1810,H28西知多本線 主要点座標リスト,FACT,COMPLETE,RO-012;RO-013;RO-016;PR-001;PR-003;PR-004,本線の測点・X/Y・R・A・KA/KE/BC/EC
EV-002,DOC-X0-0143,サンプル_道路線形計算例,ROAD_ALIGNMENT_CALCULATION,1740-1745,ブレーキ測点,FACT,COMPLETE,PR-002,ブレーキ測点→新測点補正
EV-003,DOC-X0-0143,サンプル_道路線形計算例,ROAD_ALIGNMENT_CALCULATION,3869-3960,専用ONランプ 主要点座標リスト,FACT,COMPLETE,PR-003;PR-004;PR-005,ランプのR・IP計算書
EV-004,DOC-X0-0143,サンプル_道路線形計算例,ROAD_ALIGNMENT_CALCULATION,TOC・全体,線形一覧（本線/ランプ/IC/暫定線）,FACT,COMPLETE,PM-001;PM-002;PM-009,プロジェクト全体構成
EV-005,DOC-X0-0144,サンプル_道路設計図,ROAD_DRAWING,1-168,平面線形図,FACT,PARTIAL,PM-004;PM-012,R値・測点の確認（OCR限界あり）
EV-006,DOC-X0-0001,鋼鈑桁橋_設計計算例,BRIDGE_CALCULATION,2,設計条件（道路規格・橋長・支間・斜角・横断勾配等）,FACT,COMPLETE,BR-001;BR-002;BR-003,設計条件の全項目
EV-007,DOC-X0-0001,鋼鈑桁橋_設計計算例,BRIDGE_CALCULATION,135-136,格点座標・格点番号・部材番号,FACT,COMPLETE,BR-004,主桁A-L1/A-L2、格点C1-C23
EV-008,DOC-X0-0001,鋼鈑桁橋_設計計算例,BRIDGE_CALCULATION,286,主桁の設計,FACT,PARTIAL,BR-004,主桁設計計算（詳細は要確認）
EV-009,DOC-X0-0002,鋼鈑桁橋_図面例,BRIDGE_DRAWING,1-141,図面目録（橋梁一般図・断面構成図・主桁図等）,FACT,PARTIAL,BR-001;BR-004,図面一覧（OCRは図面番号・名称のみ）
EV-010,DOC-X0-0002,鋼鈑桁橋_図面例,BRIDGE_DRAWING,2-4,橋梁一般図（その1〜その3）,FACT,PARTIAL,BR-002;BR-003,橋梁一般図（OCRはタイトルのみ）
EV-011,DOC-X0-0145,道路構造令の解説と運用,STANDARD,161-473,Ⅲ-1/2/3（区分・設計速度・線形・横断）,FACT,COMPLETE,RO-001〜RO-036,道路構造令の全ルール
EV-012,DOC-X0-0035,JIP-LINER_マニュアル,SOFTWARE_MANUAL,2-183,全章（プログラム構成・線形計算・ハンチ・図面）,FACT,COMPLETE,LIN-001〜LIN-011,LINER全機能
EV-013,DOC-X0-0091,APOLLO_SuperDesigner,SOFTWARE_MANUAL,16-20,2-3 SUPERDRAWING（自動製図）,FACT,COMPLETE,BR-005,APOLLO製図フロー
