mapping_id,rule_id,road_element,road_source,road_value,bridge_source,bridge_element,relationship,evidence_type,confidence,notes
RBE-001,RB-001,道路中心線（平面線形）,DOC-X0-0143,"R=160, R=3000",DOC-X0-0001,橋梁の平面線形,ROAD_DERIVED,FACT,HIGH
RBE-002,RB-002,測点（ステーション）,DOC-X0-0143,BP/KA/KE/BC/EC/EP,DOC-X0-0001,橋梁の測点・支点位置,ROAD_DERIVED,FACT,HIGH
RBE-003,RB-003,縦断勾配,DOC-X0-0001,i=6.000%（起点下がり）,DOC-X0-0001,橋梁の縦断,ROAD_DERIVED,FACT,HIGH
RBE-004,RB-004,横断勾配・片勾配,DOC-X0-0001,i=5.000〜2.958%,DOC-X0-0001,橋梁の横断勾配,ROAD_DERIVED,FACT,HIGH
RBE-005,RB-005,斜角,DOC-X0-0001,"θ=94°14'27"", 90°",DOC-X0-0001,橋梁の斜角,INTERFACE,FACT,HIGH
RBE-006,RB-006,車道幅員,DOC-X0-0001,有効幅員7.000m・総幅員8.010m,DOC-X0-0001,橋梁の幅員,ROAD_DERIVED,FACT,HIGH
RBE-007,RB-007,設計速度・活荷重,DOC-X0-0001,V=40・B活荷重,DOC-X0-0001,橋梁の設計条件,INTERFACE,FACT,HIGH
RBE-008,RB-008,支間長・橋長,DOC-X0-0001,橋長134.001m・支間40.201+51.000+40.200m,DOC-X0-0001,橋梁の支間構成,STRUCTURE_DEFINED,FACT,HIGH
RBE-009,RB-009,主桁・格点,DOC-X0-0001,主桁A-L1/A-L2・格点C1-C23,DOC-X0-0002,主桁図AG1/AG2,STRUCTURE_DEFINED,FACT,HIGH
RBE-010,RB-014,CAD・図面,DOC-X0-0091,SuperDrawingでAutoCAD/DXF,DOC-X0-0002,橋梁図面,INTERFACE,FACT,HIGH
