sheet_number,part_no,part_name,material,dimensions,quantity,weight_kg
90,1,エンドビーム,SM490YB,,,
90,2,ミドルビーム,S355J2+N,,,
90,3,シールゴム,CR,,,
90,4,ウェブ,SM490A,,,
90,5,ボックス,SM490A,,,
90,6,サポートビーム,SM490A,,,
90,7,ブッシュ,ポリエチレン,,,
90,8,スプリング,NR,,,
90,9,EBベアリング,NR,,,
90,10,MBベアリング,NR,,,
90,11,スプリング座A,SM490A,,,
90,12,ベアリング座A,SM490A,,,
90,13,スプリング座B,SM490A,,,
90,14,ベアリング座B,"SM490A,SS400",,,
90,15,SUS円盤,SUS316L,,,
90,16,滑り円盤,メタロプラスト,,,
90,17,跳上防止板,SM490A,,,
90,18,アンカーPL,SM490A,,,
90,19,カバー,SM490A,,,
90,20,プレート,SM490A,,,
90,21,エンドプレート,SM490A,,,
90,22,鉄筋,SD345,,,
90,23,スタッド,JIS B1198,,,
90,24,溶接金網,WFP,,,
90,25,金網支え,SR235,,,
90,26,下フランジ,SM490A,,,
90,27,リブ,SM490A,,,
90,28,ライナー,SS400,,,
90,29,HTB,F10T,,,
90,30,ボックスサポート,SM490A,,,
90,31,防音カバー,SS400+CR+ウレタン+コンプリゴム,,,
91,1,ゴムカバー,CR YN-300,250x131x740,1,2.46
91,2,固定金具(1),SS400,470x9x740,2,49.14
91,3,固定金具(2),SS400,32x6x730,2,2.2
91,4,六角ボルト・ナット,SS400,M10x45,10,0.63
91,5,六角ボルト,SS400,M12x30,8,0.42
91,6,ホークカットアンカー,SS400,17.5x52,8,0.62
92,1,Face PL,SM520C-耐疲労鋼,t=80,,
92,2,PBL PL,SM490YB-耐疲労鋼,t=22,,
92,3,Web PL,SM490YB-耐疲労鋼,t=22,,
92,4,壁高欄塞ぎ板,SS400,,,
92,5,排水パイプ,CR,25Ax300,,
