value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,parent_formula_id,source_locator,confidence,verification_status
CAL-VAL-P01284-001,1284,1279,CAL-CH4,CAL-SEC-4.2.1,設計法-部分係数設計法,部分係数設計法,,,,PARTIAL_FACTOR_DESIGN,,,CAL-P01284,HIGH,UNVERIFIED
CAL-VAL-P01285-001,1285,1280,CAL-CH4,CAL-SEC-4.2.1,鋼材降伏点σy(SM490Y),355,N/mm2,355,N/mm2,MATERIAL_PROPERTY,,,CAL-P01285,HIGH,UNVERIFIED
CAL-VAL-P01285-002,1285,1280,CAL-CH4,CAL-SEC-4.2.1,鋼材引張強度σsu(SM490Y),490,N/mm2,490,N/mm2,MATERIAL_PROPERTY,,,CAL-P01285,HIGH,UNVERIFIED
CAL-VAL-P01285-003,1285,1280,CAL-CH4,CAL-SEC-4.2.1,鋼材せん断降伏点τy(SM490Y),205,N/mm2,205,N/mm2,MATERIAL_PROPERTY,,,CAL-P01285,HIGH,UNVERIFIED
CAL-VAL-P01285-004,1285,1280,CAL-CH4,CAL-SEC-4.2.1,ヤング率E,200000,N/mm2,200000,N/mm2,MATERIAL_PROPERTY,,,CAL-P01285,HIGH,UNVERIFIED
CAL-VAL-P01285-005,1285,1280,CAL-CH4,CAL-SEC-4.2.1,せん断弾性係数G,77000,N/mm2,77000,N/mm2,MATERIAL_PROPERTY,,,CAL-P01285,HIGH,UNVERIFIED
CAL-VAL-P01286-001,1286,1281,CAL-CH4,CAL-SEC-4.2.1,鉄筋 D22 @125mm上下,D22@125,D22@125,,,REINFORCEMENT,,,CAL-P01286,HIGH,UNVERIFIED
CAL-VAL-P01286-002,1286,1281,CAL-CH4,CAL-SEC-4.2.1,活荷重合成断面n値,7,,7,,PARAMETER,,,CAL-P01286,HIGH,UNVERIFIED
CAL-VAL-P01286-003,1286,1281,CAL-CH4,CAL-SEC-4.2.1,クリープ合成断面n値,14,,14,,PARAMETER,,,CAL-P01286,HIGH,UNVERIFIED
CAL-VAL-P01286-004,1286,1281,CAL-CH4,CAL-SEC-4.2.1,乾燥収縮合成断面n値,21,,21,,PARAMETER,,,CAL-P01286,HIGH,UNVERIFIED
CAL-VAL-P01319-001,1319,1314,CAL-CH4,CAL-SEC-4.2.4,固定点間距離L,5.344,m,5.344,m,DIMENSION,,,CAL-P01319-TBL,HIGH,UNVERIFIED
CAL-VAL-P01319-002,1319,1314,CAL-CH4,CAL-SEC-4.2.4,床版全幅(AG1),4005,mm,4005,mm,DIMENSION,,,CAL-P01319-TBL,HIGH,UNVERIFIED
