table_id,pdf_page_number,printed_page_number,chapter_id,section_id,title_raw,header_raw,row_key,column_key,cell_raw_text,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CAL-TBL-P01299-001,1299,1294,CAL-CH4,CAL-SEC-4.2.3,鋼桁断面諸量 AG1 Sec-1,要素/断面積A/偏心e/剛度I/Ysu/YsL,100101,断面積A,634.4 cm2,634.4,cm2,634.4,cm2,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-002,1299,1294,CAL-CH4,CAL-SEC-4.2.3,鋼桁断面諸量 AG1 Sec-1,要素/断面積A/偏心e/剛度I/Ysu/YsL,100101,剛度I,6473032 cm4,6473032,cm4,6473032,cm4,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-003,1299,1294,CAL-CH4,CAL-SEC-4.2.3,鋼桁断面諸量 AG1 Sec-1,要素/断面積A/偏心e/剛度I/Ysu/YsL,100101,Ysu,-130.3 cm,-130.3,cm,-130.3,cm,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-004,1299,1294,CAL-CH4,CAL-SEC-4.2.3,鋼桁断面諸量 AG1 Sec-1,要素/断面積A/偏心e/剛度I/Ysu/YsL,100101,YsL,127.7 cm,127.7,cm,127.7,cm,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-005,1299,1294,CAL-CH4,CAL-SEC-4.2.3,鋼桁断面諸量 AG1 Sec-1,要素/断面積A/偏心e/剛度I/Ysu/YsL,100201,断面積A,651.2 cm2,651.2,cm2,651.2,cm2,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-006,1299,1294,CAL-CH4,CAL-SEC-4.2.3,鋼桁断面諸量 AG1 Sec-1,要素/断面積A/偏心e/剛度I/Ysu/YsL,100201,剛度I,7194926 cm4,7194926,cm4,7194926,cm4,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-007,1299,1294,CAL-CH4,CAL-SEC-4.2.3,鋼桁断面諸量 AG1 Sec-1,要素/断面積A/偏心e/剛度I/Ysu/YsL,100301,断面積A,681.5 cm2,681.5,cm2,681.5,cm2,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-008,1299,1294,CAL-CH4,CAL-SEC-4.2.3,鋼桁断面諸量 AG1 Sec-1,要素/断面積A/偏心e/剛度I/Ysu/YsL,100301,剛度I,7714024 cm4,7714024,cm4,7714024,cm4,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-009,1299,1294,CAL-CH4,CAL-SEC-4.2.3,合成断面諸量(n=7) AG1 Sec-1,要素/Ac/n/Av/偏心e/剛度I/Ycu/YcL/Ysu/YsL,100101,Ac/n,1312.1 cm2,1312.1,cm2,1312.1,cm2,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-010,1299,1294,CAL-CH4,CAL-SEC-4.2.3,合成断面諸量(n=7) AG1 Sec-1,要素/Ac/n/Av/偏心e/剛度I/Ycu/YcL/Ysu/YsL,100101,Av,1946.5 cm2,1946.5,cm2,1946.5,cm2,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-011,1299,1294,CAL-CH4,CAL-SEC-4.2.3,合成断面諸量(n=7) AG1 Sec-1,要素/Ac/n/Av/偏心e/剛度I/Ycu/YcL/Ysu/YsL,100101,剛度I,18008524 cm4,18008524,cm4,18008524,cm4,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
CAL-TBL-P01299-012,1299,1294,CAL-CH4,CAL-SEC-4.2.3,合成断面諸量(n=7) AG1 Sec-1,要素/Ac/n/Av/偏心e/剛度I/Ycu/YcL/Ysu/YsL,100101,Ycu,-64.9 cm,-64.9,cm,-64.9,cm,SECTION_PROPERTY,CAL-P01299-TBL,HIGH,UNVERIFIED
