trace_id,source_record_id,candidate_id,source_type,source_locator,candidate_layer,notes
TR-013,SRC-calculation_chapter_03_section_3_2_tables-005,DS-063,table,calc_pdf_p293,design,
TR-014,SRC-calculation_chapter_03_section_3_2_tables-010,DS-067,table,calc_pdf_p294,design,
TR-015,SRC-calculation_chapter_03_section_3_2_tables-011,DS-071,table,calc_pdf_p295,design,
TR-016,SRC-calculation_chapter_03_section_3_2_tables-012,DS-075,table,calc_pdf_p296,design,
TR-017,SRC-calculation_chapter_03_section_3_2_tables-013,DS-079,table,calc_pdf_p297,design,
TR-018,SRC-calculation_chapter_03_section_3_2_tables-015,DS-085,table,calc_pdf_p298,design,
TR-019,SRC-calculation_chapter_03_section_3_2_tables-015,DS-086,table,calc_pdf_p298,design,
TR-020,SRC-calculation_chapter_03_section_3_2_tables-017,DS-092,table,calc_pdf_p299,design,
TR-021,SRC-calculation_chapter_03_section_3_2_tables-017,DS-093,table,calc_pdf_p299,design,
TR-022,SRC-calculation_chapter_03_section_3_2_tables-018,DS-097,table,calc_pdf_p300,design,
TR-023,SRC-calculation_chapter_03_section_3_2_tables-019,DS-101,table,calc_pdf_p301,design,
TR-024,SRC-calculation_chapter_03_section_3_2_tables-020,DS-105,table,calc_pdf_p302,design,
TR-025,SRC-calculation_chapter_03_section_3_2_tables-021,DS-109,table,calc_pdf_p303,design,
TR-026,SRC-calculation_chapter_03_section_3_2_tables-024,DS-118,table,calc_pdf_p306,design,
TR-027,SRC-calculation_chapter_03_section_3_2_tables-025,DS-122,table,calc_pdf_p307,design,
TR-028,SRC-calculation_chapter_03_section_3_2_tables-026,DS-126,table,calc_pdf_p308,design,
TR-029,SRC-calculation_chapter_03_section_3_2_tables-029,DS-136,table,calc_pdf_p311,design,
TR-030,SRC-calculation_chapter_03_section_3_2_tables-030,DS-140,table,calc_pdf_p312,design,
TR-031,SRC-calculation_chapter_03_section_3_2_tables-031,DS-144,table,calc_pdf_p313,design,
TR-032,SRC-calculation_chapter_03_section_3_2_tables-032,DS-148,table,calc_pdf_p314,design,
TR-033,SRC-calculation_chapter_03_section_3_2_tables-035,DS-158,table,calc_pdf_p317,design,
TR-034,SRC-calculation_chapter_03_section_3_2_tables-036,DS-162,table,calc_pdf_p318,design,
TR-035,SRC-calculation_chapter_03_section_3_2_tables-037,DS-166,table,calc_pdf_p319,design,
TR-036,SRC-calculation_chapter_03_section_3_2_tables-038,DS-170,table,calc_pdf_p320,design,
TR-037,DC-006,DS-194,domain_index,calc_pdf_p297,design,
TR-038,SRC-calculation_chapter_03_section_3_2_values-055,DS-194,value,,design,
TR-039,DC-008,DS-195,domain_index,calc_pdf_p1319,design,
TR-040,CAL-VAL-P01319-029,DS-195,value,calc_pdf_p1319,design,
TR-041,DC-007,DS-196,domain_index,calc_pdf_p852,design,
TR-042,CAL-VAL-P00852-003,DS-196,value,calc_pdf_p852,design,
TR-043,DC-010,DS-197,domain_index,calc_pdf_p674,design,
TR-044,SRC-calculation_chapter_03_section_3_2_values-025,DS-197,value,,design,
TR-045,CH5-TBL-034,DS-198,table,calc_pdf_p2040,design,
TR-046,CH5-TBL-035,DS-199,table,calc_pdf_p2040,design,
TR-047,CH5-TBL-036,DS-200,table,calc_pdf_p2040,design,
TR-048,CH5-TBL-033,DS-201,table,calc_pdf_p2040,design,
TR-049,CH5-TBL-038,DS-202,table,calc_pdf_p2041,design,
TR-050,CH5-TBL-039,DS-203,table,calc_pdf_p2041,design,
TR-051,CH5-TBL-040,DS-204,table,calc_pdf_p2041,design,
TR-052,SRC-calculation_chapter_03_section_3_2_formulas-005,DS-224,formula,,design,
