value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,parent_formula_id,source_locator,confidence,verification_status
CAL-VAL-P00117-001,117,112,CAL-CH3,CAL-SEC-3.1.1,解析方法-平面格子構造,平面格子構造,,,,NOTE,,,calc_pdf_p117,HIGH,UNVERIFIED
CAL-VAL-P00117-002,117,112,CAL-CH3,CAL-SEC-3.1.1,解析プログラム-APOLLO Analyzer,APOLLO Analyzer,,,,IDENTIFIER,,,calc_pdf_p117,HIGH,UNVERIFIED
CAL-VAL-P00119-001,119,114,CAL-CH3,CAL-SEC-3.1.2,舗装厚,0.080,m,0.080,m,DIMENSION,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-002,119,114,CAL-CH3,CAL-SEC-3.1.2,舗装単位重量,22.5,kN/m3,22.5,kN/m3,MATERIAL_PROPERTY,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-003,119,114,CAL-CH3,CAL-SEC-3.1.2,舗装荷重強度,1.800,kN/m2,1.800,kN/m2,LOAD_VALUE,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-004,119,114,CAL-CH3,CAL-SEC-3.1.2,床版厚,0.230,m,0.230,m,DIMENSION,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-005,119,114,CAL-CH3,CAL-SEC-3.1.2,床版単位重量,27.5,kN/m3,27.5,kN/m3,MATERIAL_PROPERTY,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-006,119,114,CAL-CH3,CAL-SEC-3.1.2,床版荷重強度,6.325,kN/m2,6.325,kN/m2,LOAD_VALUE,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-007,119,114,CAL-CH3,CAL-SEC-3.1.2,ハンチ荷重強度(AG1/AG2),2.842,kN/m,2.842,kN/m,LOAD_VALUE,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-008,119,114,CAL-CH3,CAL-SEC-3.1.2,壁高欄荷重強度(左/右),9.920,kN/m,9.920,kN/m,LOAD_VALUE,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-009,119,114,CAL-CH3,CAL-SEC-3.1.2,遮音壁荷重強度,2.100,kN/m,2.100,kN/m,LOAD_VALUE,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-010,119,114,CAL-CH3,CAL-SEC-3.1.2,鋼重荷重強度(AG1/AG2),12.000,kN/m,12.000,kN/m,LOAD_VALUE,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-011,119,114,CAL-CH3,CAL-SEC-3.1.2,検査路荷重強度,1.000,kN/m,1.000,kN/m,LOAD_VALUE,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-012,119,114,CAL-CH3,CAL-SEC-3.1.2,地覆荷重強度,2.100,kN/m,2.100,kN/m,LOAD_VALUE,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00119-013,119,114,CAL-CH3,CAL-SEC-3.1.2,ノーズ部荷重強度,1.000,kN/m,1.000,kN/m,LOAD_VALUE,,,calc_pdf_p119,HIGH,UNVERIFIED
CAL-VAL-P00121-001,121,116,CAL-CH3,CAL-SEC-3.1.2,ハンチ単位重量,24.5,kN/m3,24.5,kN/m3,MATERIAL_PROPERTY,,,calc_pdf_p121,HIGH,UNVERIFIED
CAL-VAL-P00121-002,121,116,CAL-CH3,CAL-SEC-3.1.2,壁高欄単位重量(コンクリート),24.5,kN/m3,24.5,kN/m3,MATERIAL_PROPERTY,,,calc_pdf_p121,HIGH,UNVERIFIED
CAL-VAL-P00121-003,121,116,CAL-CH3,CAL-SEC-3.1.2,壁高欄計算結果Wd,9.920,kN/m,9.920,kN/m,LOAD_VALUE,,,calc_pdf_p121,HIGH,UNVERIFIED
CAL-VAL-P00125-001,125,120,CAL-CH3,CAL-SEC-3.1.2,ノーズ地覆荷重 S1 AG1,30,kN,30,kN,LOAD_VALUE,,,calc_pdf_p125,HIGH,UNVERIFIED
CAL-VAL-P00125-002,125,120,CAL-CH3,CAL-SEC-3.1.2,ノーズ地覆荷重 C1 AG1,48,kN,48,kN,LOAD_VALUE,,,calc_pdf_p125,HIGH,UNVERIFIED
CAL-VAL-P00125-003,125,120,CAL-CH3,CAL-SEC-3.1.2,床版拡幅荷重 S1 AG1,11,kN,11,kN,LOAD_VALUE,,,calc_pdf_p125,HIGH,UNVERIFIED
CAL-VAL-P00125-004,125,120,CAL-CH3,CAL-SEC-3.1.2,床版拡幅荷重 C1 AG1,20,kN,20,kN,LOAD_VALUE,,,calc_pdf_p125,HIGH,UNVERIFIED
CAL-VAL-P00128-001,128,123,CAL-CH3,CAL-SEC-3.1.2,ノーズ打下し荷重 S1 AG1,31,kN,31,kN,LOAD_VALUE,,,calc_pdf_p128,HIGH,UNVERIFIED
CAL-VAL-P00128-002,128,123,CAL-CH3,CAL-SEC-3.1.2,ノーズ打下し荷重 C1 AG1,23,kN,23,kN,LOAD_VALUE,,,calc_pdf_p128,HIGH,UNVERIFIED
CAL-VAL-P00128-003,128,123,CAL-CH3,CAL-SEC-3.1.2,ノーズ打下し荷重 C2 AG1,8,kN,8,kN,LOAD_VALUE,,,calc_pdf_p128,HIGH,UNVERIFIED
CAL-VAL-P00135-001,135,130,CAL-CH3,CAL-SEC-3.1.2,設計荷重-B活荷重,B活荷重,,,,LOAD_VALUE,,,calc_pdf_p135,HIGH,UNVERIFIED
