table_id,pdf_page_number,printed_page_number,chapter_id,section_id,title_raw,header_raw,row_key,column_key,cell_raw_text,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CAL-TBL-P00119-001,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(舗装),荷重種別/厚さ/単位重量/荷重強度,舗装,単位面積荷重,1.800 kN/m2,1.800,kN/m2,1.800,kN/m2,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-002,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(舗装),荷重種別/厚さ/単位重量/荷重強度,舗装,舗装厚,0.080 m,0.080,m,0.080,m,DIMENSION,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-003,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(床版),荷重種別/厚さ/単位重量/荷重強度,床版,単位面積荷重,6.325 kN/m2,6.325,kN/m2,6.325,kN/m2,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-004,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(床版),荷重種別/厚さ/単位重量/荷重強度,床版,床版厚,0.230 m,0.230,m,0.230,m,DIMENSION,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-005,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(ハンチ),荷重種別/厚さ/単位重量/荷重強度,ハンチ AG1 AG2,単位長さ荷重,2.842 kN/m,2.842,kN/m,2.842,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-006,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(壁高欄),荷重種別/厚さ/単位重量/荷重強度,壁高欄 左側 右側,単位長さ荷重,9.920 kN/m,9.920,kN/m,9.920,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-007,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(遮音壁),荷重種別/厚さ/単位重量/荷重強度,遮音壁 付属物荷重,単位長さ荷重,2.100 kN/m,2.100,kN/m,2.100,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-008,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(鋼重),荷重種別/厚さ/単位重量/荷重強度,鋼重,単位長さ荷重,12.000 kN/m,12.000,kN/m,12.000,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-009,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(検査路),荷重種別/厚さ/単位重量/荷重強度,検査路,単位長さ荷重,1.000 kN/m,1.000,kN/m,1.000,kN/m,LOAD_VALUE,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-010,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(舗装),荷重種別/厚さ/単位重量/荷重強度,舗装,単位重量,22.5 kN/m3,22.5,kN/m3,22.5,kN/m3,MATERIAL_PROPERTY,calc_pdf_p119,HIGH,UNVERIFIED
CAL-TBL-P00119-011,119,114,CAL-CH3,CAL-SEC-3.1.2,死荷重一覧(床版),荷重種別/厚さ/単位重量/荷重強度,床版,単位重量,27.5 kN/m3,27.5,kN/m3,27.5,kN/m3,MATERIAL_PROPERTY,calc_pdf_p119,HIGH,UNVERIFIED
