item_id,source_path,destination_path,file_type,size_bytes,sha256_before,copy_decision,decision_reason,public_safety,copyright_status,sensitive_data_status,overwrite_status,notes
ITM-001,~/Projects/liner-future-research/evidence_register.csv,docs/liner/research/jip-liner-gap-and-future-ux/evidence_register.csv,text/csv,1762,72e54afaa08bf2960f02f7bae82d73ea24dbb440cd9aef9a2a2875e339519415,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-002,~/Projects/liner-future-research/final_report.txt,docs/liner/research/jip-liner-gap-and-future-ux/final_report.txt,text/plain,7443,84d4620b0e6677cb68654bd539d2127381307ab0de4eb6d5b8adeacba365dde2,COPY_WITH_REDACTION,local absolute paths generalized/redacted for public,SAFE,NFA(original notes),REDACTED(if any),none(existing absent),kept parity with research origin
ITM-003,~/Projects/liner-future-research/open_questions.md,docs/liner/research/jip-liner-gap-and-future-ux/open_questions.md,text/markdown,1746,940348e656e8ff0096809f7b97598485fa3674e0ed1b9b04e835f94c5bbaae99,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-004,~/Projects/liner-future-research/README.md,docs/liner/research/jip-liner-gap-and-future-ux/origin-README.md,text/markdown,2149,5be9f6d094a1d1f8068a8f6fe4d9341b392b945c3bacb7fa966d1badecf7d40f,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-005,~/Projects/liner-future-research/research_log.md,docs/liner/research/jip-liner-gap-and-future-ux/research_log.md,text/markdown,1895,4adf2c24a7dd3e8b1f86e1a2e072a1de5a33174de379c97c56af5355a0258bec,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-006,~/Projects/liner-future-research/source_manifest.csv,docs/liner/research/jip-liner-gap-and-future-ux/source_manifest.csv,text/csv,3530,5e7a852bfad4b362283435a06f1203c944c756e3b468de7493c8f2577a61eecb,COPY_WITH_REDACTION,local absolute paths generalized/redacted for public,SAFE,NFA(original notes),REDACTED(if any),none(existing absent),kept parity with research origin
ITM-007,~/Projects/liner-future-research/STATUS.md,docs/liner/research/jip-liner-gap-and-future-ux/STATUS.md,text/markdown,1301,336900b5014505332d9eba1acc2fad0327d2308a0325fdd8a958ae80c488012c,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-008,~/Projects/liner-future-research/matrices/current_system_inventory.csv,docs/liner/research/jip-liner-gap-and-future-ux/matrices/current_system_inventory.csv,text/csv,3633,bdaec226b27eac93bb7a9d4d01eb89fdaf2d477c83e17a4d9cc147793889f6e0,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-009,~/Projects/liner-future-research/matrices/gap_matrix.csv,docs/liner/research/jip-liner-gap-and-future-ux/matrices/gap_matrix.csv,text/csv,4801,896635882c91a90c90c2763a31c9ef9d3b2ab7579c5d1211ad8622fabf166d30,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
ITM-010,~/Projects/liner-future-research/matrices/jip_liner_feature_inventory.csv,docs/liner/research/jip-liner-gap-and-future-ux/matrices/jip_liner_feature_inventory.csv,text/csv,3815,8e14907df9e3cdc7d4dd0581b78facbfada2228ed703f88fa51116a9d493b1a4,COPY,research artifact,SAFE,NFA(original notes),NONE,none(existing absent),kept parity with research origin
