caseId,quantityId,value,unit,status
GOLD-QTY-001,webHeight,2.440,m,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,topFlangeArea,0.015000,m2,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,webArea,0.029280,m2,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,bottomFlangeArea,0.015000,m2,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,totalSectionArea,0.059280,m2,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,topFlangeVolumePerGirder,0.600000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,webVolumePerGirder,1.171200000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,bottomFlangeVolumePerGirder,0.600000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,totalSteelVolumePerGirder,2.371200000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,topFlangeVolumeAllGirders,2.400000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,webVolumeAllGirders,4.684800000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,bottomFlangeVolumeAllGirders,2.400000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,totalMainGirderSteelVolume,9.484800000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,deckArea,420.000000,m2,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,deckVolume,92.400000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,spanCount,1,count,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,girderCount,4,count,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,crossBeamCount,9,count,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,overhang,0.750,m,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-001,mainGirderSteelWeight,730.3296000000,kN,USER_PROVIDED_UNVERIFIED
GOLD-QTY-001,rcDeckWeight,2263.8000000000,kN,USER_PROVIDED_UNVERIFIED
GOLD-QTY-001,paintAreaGeometricEstimate,1036.160000,m2,DEVELOPMENT_GEOMETRIC_SURFACE_ESTIMATE
GOLD-QTY-001,pavementVolume,,m3,INCOMPLETE_INPUT
GOLD-QTY-002,webHeight,2.455,m,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,topFlangeArea,0.010000,m2,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,webArea,0.029460,m2,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,bottomFlangeArea,0.015000,m2,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,totalSectionArea,0.054460,m2,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,topFlangeVolumePerGirder,2.000000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,webVolumePerGirder,5.892000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,bottomFlangeVolumePerGirder,3.000000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,totalSteelVolumePerGirder,10.892000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,topFlangeVolumeAllGirders,10.000000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,webVolumeAllGirders,29.460000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,bottomFlangeVolumeAllGirders,15.000000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,totalMainGirderSteelVolume,54.460000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,deckArea,2400.000000,m2,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,deckVolume,600.000000000,m3,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,spanCount,1,count,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,girderCount,5,count,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,crossBeamCount,41,count,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,overhang,1.000,m,EXACT_GEOMETRY_DEVELOPMENT
GOLD-QTY-002,mainGirderSteelWeight,,kN,INCOMPLETE_INPUT
GOLD-QTY-002,rcDeckWeight,,kN,INCOMPLETE_INPUT
GOLD-QTY-002,paintAreaGeometricEstimate,6676.000000,m2,DEVELOPMENT_GEOMETRIC_SURFACE_ESTIMATE
GOLD-QTY-002,pavementVolume,,m3,INCOMPLETE_INPUT
