external_source_type,stage5a_class,row_count,feature_count
APOLLO_MANUAL_ONLY,MANUAL_DEFINED,5,5
APOLLO_MANUAL_ONLY,PROJECT_DECISION,22,22
APOLLO_MANUAL_ONLY,SOFTWARE_SPECIFIC,129,129
DESIGN_DATA_BOOK,DESIGN_PRACTICE_TRACEABILITY_REQUIRED,46,46
DESIGN_MANUAL,DESIGN_PRACTICE_TRACEABILITY_REQUIRED,1,1
JIS_BOLT,JIS_TRACEABILITY_REQUIRED,19,19
JIS_BOLT,MULTIPLE_SOURCES_REQUIRED,7,7
JIS_REBAR,JIS_TRACEABILITY_REQUIRED,3,3
JIS_REBAR,MULTIPLE_SOURCES_REQUIRED,3,3
JIS_STEEL,JIS_TRACEABILITY_REQUIRED,1,1
JIS_STEEL,MULTIPLE_SOURCES_REQUIRED,1,1
RBS_COMMON,STANDARD_TRACEABILITY_REQUIRED,16,16
RBS_CONCRETE,STANDARD_TRACEABILITY_REQUIRED,16,16
RBS_STEEL,MULTIPLE_SOURCES_REQUIRED,12,12
RBS_STEEL,STANDARD_TRACEABILITY_REQUIRED,107,107
RBS_SUBSTRUCTURE,STANDARD_TRACEABILITY_REQUIRED,5,5
UNKNOWN,UNKNOWN,15,15
