work_item_id,linked_blocker_id,classification,work_description,required_tool,required_input,expected_output,acceptance_criteria,planned_stage,traceability_source,notes
WI-001,PAR-BLK-006,EXECUTABLE_NOW,Build versioned design-numeric-free fail-closed parity comparator validation bundle with synthetic negative corpus,Repository test runner and checksum tool,Synthetic negative fixtures for missing extra duplicate malformed empty swapped operands and near-zero cases,Versioned non-product comparator validation bundle,No false PASS for asymmetric missing malformed empty or near-zero data and version is fixed,STAGE-00,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv PAR-BLK-006,Does not claim actual SPACER parity
WI-002,GOLD-BLK-001,EXECUTABLE_NOW,Derive independent analytical expected values for GOLD-001 through GOLD-005 without invoking Apollo output,Independent calculation medium and SHA-256 tool,Repository fixtures examples/verification/beam/*.json and checksum-fixed axial model,One immutable derivation package per case with model derivation workbook signed conventions and expected SHA-256 manifest,Every expected quantity follows from fixed input with correct units signs ends and predeclared justified tolerance and two independent derivations agree for each expected quantity,STAGE-03,docs/apollo/design-standards/07_golden/golden_blocker_register.csv GOLD-BLK-001; unresolved_evidence_requirements.csv GOLD-BLK-001,Stricter combined closure bar per D-005; independent dimensional equilibrium review required before approval
WI-003,GOLD-BLK-002,EXECUTABLE_NOW,Establish per-quantity tolerance worksheet for all catalog quantities before any implementation comparison,Independent calculation and comparison specification,golden_case_catalog quantity list,Approved tolerance worksheet linked to each catalog quantity,All tolerance facets are nonblank justified dimensionally and frozen before first comparison,STAGE-03,docs/apollo/design-standards/07_golden/tolerance_policy.md,Must not widen after observing mismatch
WI-004,GOLD-BLK-004,REQUIRES_LOCAL_SETUP,Generate canonical serialization package for GOLD-011 from independently approved contract fixture,Repository serializer and SHA-256 tool,Checksum-fixed canonical bridge analysis document,Canonical serialization package with semantic equality specification variable-field exclusions and parent Golden link,Round trip preserves all governed semantics and expected artifact does not originate solely from implementation output,STAGE-03,docs/apollo/design-standards/07_golden/golden_blocker_register.csv GOLD-BLK-004,Contract Owner review before execution
WI-005,GOLD-BLK-006,REQUIRES_LOCAL_SETUP,Derive independent negative contracts and checksummed fixtures for GOLD-012 through GOLD-014,Schema validator IF3 gate tests and SHA-256 tool,IF3 staleness export authority and repository schema contracts,One immutable negative evidence package per case with source and expected rejection artifacts,Named rejection occurs with no authoritative output and cannot be reclassified as successful Golden,STAGE-03,docs/apollo/design-standards/07_golden/golden_blocker_register.csv GOLD-BLK-006,Contract-derived oracle only
WI-006,BLK-S1-006,REQUIRES_PRIMARY_STANDARD_SOURCE,Prepare locator manifest template and two-person review workflow for adopted register rows,PDF viewer evidence register and checksum tools,Adopted register row inventory from DS-02 through DS-05,Human-verified locator manifest linked to each adopted register row,Every adopted record resolves to exact edition page table or clause evidence,STAGE-01,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv BLK-S1-006,Workflow only; cannot close without licensed source pages
WI-007,BLK-S1-002,REQUIRES_PRIMARY_STANDARD_SOURCE,Acquire and checksum per-row JIS identity edition packages for JIS-001 through JIS-034,JIS source access PDF viewer and SHA-256 tool,34 gap rows in jis_source_register.csv,Per-row primary JIS packages and supervisor decisions,Every applicable row has exact standard edition locator relation and decision,STAGE-01,docs/apollo/design-standards/02_jis/jis_source_register.csv,34 blocked rows; SG-002
WI-008,BLK-S1-005,REQUIRES_PRIMARY_STANDARD_SOURCE,Acquire per-property primary-source manifests for 39 blocked MAT-DS03 rows,Authorized JIS/R7 source evidence register and checksum tools,material_properties_register blocked rows,Per-property primary-source manifest for MAT-DS03 rows,Each in-scope property has source locator edition unit applicability and decision,STAGE-01,docs/apollo/design-standards/03_materials/material_properties_register.csv,39 blocked properties; SG-003
WI-009,BLK-S1-004,REQUIRES_PRIMARY_STANDARD_SOURCE,Acquire verified R7 clause/table packages for loads factors equations and limits,Authorized standards source evidence register and checksum tools,DS-04 and DS-05 engineering quantity inventory,Verified R7 clause/table package and adoption decision for every engineering quantity,Every adopted engineering numeric has exact source locator unit applicability and decision,STAGE-01,docs/apollo/design-standards/04_loads/ and 05_verification/ registers,SG-004 through SG-008
WI-010,PKG-SCOPE-P1B,NOT_APPLICABLE,Supervisor signs Phase 1B member and design-check applicability table resolving Step1 boundary,Document review and decision-signing facility,Current scope artifacts without changing historical records,Signed supervisor Phase 1B member/check table and decision ID,One unambiguous scope table governs every verification case,STAGE-01,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv PKG-SCOPE-P1B,Organizational decision not repository implementation
WI-011,EXT-ID-001,REQUIRES_EXTERNAL_SOFTWARE,Capture authorized machine identity bundle for Historical APOLLO Analyzer,Vendor identity facility and SHA-256 tool,Authorized machine access,Executable or service metadata version output architecture publisher and installation manifest,Identity uniquely distinguished from repository solver and SPACER identities,STAGE-02,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv AN-ID-004,Closes AN-BLK-001 facet for historical Analyzer
WI-012,EXT-ID-002,REQUIRES_EXTERNAL_SOFTWARE,Capture authorized machine identity bundle for SPACER product shell,Vendor identity facility and SHA-256 tool,Authorized licensed SPACER installation,Product executables services version output publisher architecture and installation manifest,Product shell identity fixed with checksums,STAGE-02,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv AN-ID-005,Manual SHA-256 e08681a290904c13c702ed864e0753d85e5c43201a5881c48766c0417aa7d012 is reference-only
WI-013,EXT-ID-003,REQUIRES_EXTERNAL_SOFTWARE,Capture STATICS module identity hosting process and minimal diagnostic on authorized machine,Vendor identity facility and SHA-256 tool,Copied non-production DAT fixture after product identity capture,Hosting executable module metadata version output and permitted logs,STATICS uniquely mapped to host product process version and callable boundary,STAGE-02,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv AN-ID-006,Closes PAR-BLK-001 STATICS facet
WI-014,AN-BLK-002,REQUIRES_EXTERNAL_SOFTWARE,Execute isolated minimal valid run with verbatim invocation and complete file manifests after identity fixed,Selected executable/service and checksum tool,Checksum-fixed minimal valid model with provenance,Raw stdout stderr exit plus recursive before-after file manifests and all native artifacts,Fresh output is parseable bound to current input and complete under documented success rules,STAGE-02,docs/apollo/design-standards/06_analyzer/analyzer_probe_matrix.csv,Depends WI-011 through WI-013 for identity
WI-015,AN-BLK-008,REQUIRES_EXTERNAL_SOFTWARE,Three isolated serial reproducibility runs on representative fixture,Selected analyzer normalization comparison and checksum tools,One checksum-fixed representative valid fixture,Complete outputs logs manifests and normalized comparison record,Three runs satisfy predeclared exact-field and numeric-tolerance policy after approved metadata normalization,STAGE-02,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv AN-BLK-008,Part of DS-06 probe matrix closure
WI-016,GOLD-BLK-003,REQUIRES_EXTERNAL_SOFTWARE,Acquire three-run native output bundle for GOLD-006 and GOLD-010 after identity fixed,Selected reference software and checksum tools,Checksum-fixed native and repository models,Licensed immutable evidence bundle with executable input and output SHA-256 manifests,Three runs reproduce under approved policy and every value is traceable to fixed native output,STAGE-03,docs/apollo/design-standards/07_golden/golden_blocker_register.csv GOLD-BLK-003,Depends STAGE-02 identity
WI-017,GOLD-BLK-005,REQUIRES_EXTERNAL_SOFTWARE,Acquire approved four five and six main-girder model evidence bundles,Selected reference software model mapping and checksum tools,Lawful non-production bridge models,Three complete model/evidence bundles with native and repository representations,Topology materials supports loads conventions and three-run results are complete and independently approved,STAGE-03,docs/apollo/design-standards/07_golden/golden_blocker_register.csv GOLD-BLK-005,GOLD-007 GOLD-008 GOLD-009
WI-018,GOLD-BLK-007,REQUIRES_PRIMARY_STANDARD_SOURCE,Derive GOLD-015 design-verification package after DS-02 through DS-05 blockers close,Authorized standards independent calculation and checksum tools,Checksum-fixed design input and adopted source values,Immutable source input derivation expected verdict package with SHA-256,Every numeric and equation traces to adopted source and fixed case verdict follows independently,STAGE-03,docs/apollo/design-standards/07_golden/golden_blocker_register.csv GOLD-BLK-007,Depends WI-007 WI-008 WI-009
WI-019,GOLD-BLK-008,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Produce GOLD-016 export evidence only after parent numeric Golden and live IF3 authority pass,Repository export PDF inspection and checksum tools,Checksum-fixed live source and valid IF3 result,Immutable source IF3 CSV PDF and lineage manifest with producer versions and SHA-256,No stale or raw bypass all required quantities present and internal versus rounded values explicitly distinguished,STAGE-03,docs/apollo/design-standards/07_golden/golden_blocker_register.csv GOLD-BLK-008,Depends approved parent Golden
WI-020,PAR-BLK-005,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Acquire three native run bundles and Apollo comparison manifest for numeric parity cases,SPACER STATICS Apollo analyzer comparison and checksum tools,Approved Golden and parity models after PAR-BLK-001 through PAR-BLK-004 and PAR-BLK-006 PAR-BLK-007 close,Three isolated native run bundles Apollo result bundle source/output checksums and full coverage comparison,All identities components units transformations tolerances and coverage pass without skipped data,STAGE-04,docs/apollo/design-standards/08_spacer_parity/parity_blocker_register.csv PAR-BLK-005,PAR-008 through PAR-011 blocked until closed
