table_id,pdf_page_number,printed_page_number,chapter_id,section_id,title_raw,header_raw,row_key,column_key,cell_raw_text,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,source_locator,confidence,verification_status
CAL-TBL-P00685-001,685,680,CAL-CH3,CAL-SEC-3.3.3,風荷重計算,項目/値,設計基準風速V,,40 m/s,40,m/s,40,m/s,DESIGN_PARAMETER,calc_pdf_p685,HIGH,UNVERIFIED
CAL-TBL-P00685-002,685,680,CAL-CH3,CAL-SEC-3.3.3,風荷重計算,項目/値,橋の総幅B,,8.010 m,8.010,m,8.010,m,DIMENSION,calc_pdf_p685,HIGH,UNVERIFIED
CAL-TBL-P00685-003,685,680,CAL-CH3,CAL-SEC-3.3.3,風荷重計算,項目/値,橋の総高D,,8.110 m,8.110,m,8.110,m,DIMENSION,calc_pdf_p685,HIGH,UNVERIFIED
CAL-TBL-P00685-004,685,680,CAL-CH3,CAL-SEC-3.3.3,風荷重計算,項目/値,並列橋補正係数α,,,1.30,,1.30,,COEFFICIENT,calc_pdf_p685,HIGH,UNVERIFIED
CAL-TBL-P00685-005,685,680,CAL-CH3,CAL-SEC-3.3.3,風荷重計算,項目/値,風荷重WS,,40.06 kN/m,40.06,kN/m,40.06,kN/m,LOAD_VALUE,calc_pdf_p685,HIGH,UNVERIFIED
CAL-TBL-P00686-001,686,681,CAL-CH3,CAL-SEC-3.3.3,地震荷重,項目/値,全死荷重反力Wd,,17955.7 kN,17955.7,kN,17955.7,kN,ANALYSIS_RESULT,calc_pdf_p686,HIGH,UNVERIFIED
CAL-TBL-P00686-002,686,681,CAL-CH3,CAL-SEC-3.3.3,地震荷重,項目/値,地震荷重L1 We,,35.89 kN/m,35.89,kN/m,35.89,kN/m,LOAD_VALUE,calc_pdf_p686,HIGH,UNVERIFIED
CAL-TBL-P00686-003,686,681,CAL-CH3,CAL-SEC-3.3.3,水平反力表,支点/A(+)/A(-)/ΣA/Rw/Re,PR1 A(+),,53.892 m2,53.892,m2,53.892,m2,AREA,calc_pdf_p686,HIGH,UNVERIFIED
CAL-TBL-P00686-004,686,681,CAL-CH3,CAL-SEC-3.3.3,水平反力表,支点/A(+)/A(-)/ΣA/Rw/Re,PR1 Rw,,2159.12 kN,2159.12,kN,2159.12,kN,LOAD_VALUE,calc_pdf_p686,HIGH,UNVERIFIED
CAL-TBL-P00686-005,686,681,CAL-CH3,CAL-SEC-3.3.3,水平反力表,支点/A(+)/A(-)/ΣA/Rw/Re,PR1 Re,,1824.37 kN,1824.37,kN,1824.37,kN,LOAD_VALUE,calc_pdf_p686,HIGH,UNVERIFIED
