value_id,pdf_page_number,printed_page_number,chapter_id,section_id,label_raw,raw_value,raw_unit,normalized_value,normalized_unit,semantic_class,parent_table_id,parent_formula_id,source_locator,confidence,verification_status
CAL-VAL-P00685-001,685,680,CAL-CH3,CAL-SEC-3.3.3,設計基準風速V,40,m/s,40,m/s,DESIGN_PARAMETER,,,CAL-P00685-TBL,HIGH,UNVERIFIED
CAL-VAL-P00685-002,685,680,CAL-CH3,CAL-SEC-3.3.3,橋の総幅B,8.010,m,8.010,m,DIMENSION,,,CAL-P00685-TBL,HIGH,UNVERIFIED
CAL-VAL-P00685-003,685,680,CAL-CH3,CAL-SEC-3.3.3,橋の総高D,8.110,m,8.110,m,DIMENSION,,,CAL-P00685-TBL,HIGH,UNVERIFIED
CAL-VAL-P00685-004,685,680,CAL-CH3,CAL-SEC-3.3.3,並列橋補正係数α,1.30,,1.30,,COEFFICIENT,,,CAL-P00685-TBL,HIGH,UNVERIFIED
CAL-VAL-P00685-005,685,680,CAL-CH3,CAL-SEC-3.3.3,風荷重WS,40.06,kN/m,40.06,kN/m,LOAD_VALUE,,,CAL-P00685-TBL,HIGH,UNVERIFIED
CAL-VAL-P00685-006,685,680,CAL-CH3,CAL-SEC-3.3.3,床版部風荷重Ws,26.73,kN/m,26.73,kN/m,LOAD_VALUE,,,CAL-P00685-TBL,HIGH,UNVERIFIED
CAL-VAL-P00686-001,686,681,CAL-CH3,CAL-SEC-3.3.3,全死荷重反力Wd,17955.7,kN,17955.7,kN,ANALYSIS_RESULT,,,CAL-P00686-TBL,HIGH,UNVERIFIED
CAL-VAL-P00686-002,686,681,CAL-CH3,CAL-SEC-3.3.3,地震荷重L1 We,35.89,kN/m,35.89,kN/m,LOAD_VALUE,,,CAL-P00686-TBL,HIGH,UNVERIFIED
CAL-VAL-P00686-003,686,681,CAL-CH3,CAL-SEC-3.3.3,水平震度L1 Kh,0.25,,0.25,,COEFFICIENT,,,CAL-P00686-TBL,HIGH,UNVERIFIED
CAL-VAL-P00686-004,686,681,CAL-CH3,CAL-SEC-3.3.3,支間長合計Lspan,131.325,m,131.325,m,DIMENSION,,,CAL-P00686-TBL,HIGH,UNVERIFIED
CAL-VAL-P00686-005,686,681,CAL-CH3,CAL-SEC-3.3.3,PR1風反力Rw,2159.12,kN,2159.12,kN,LOAD_VALUE,,,CAL-P00686-TBL,HIGH,UNVERIFIED
CAL-VAL-P00686-006,686,681,CAL-CH3,CAL-SEC-3.3.3,PR1地震反力Re,1824.37,kN,1824.37,kN,LOAD_VALUE,,,CAL-P00686-TBL,HIGH,UNVERIFIED
CAL-VAL-P00686-007,686,681,CAL-CH3,CAL-SEC-3.3.3,PU15風反力Rw,738.52,kN,738.52,kN,LOAD_VALUE,,,CAL-P00686-TBL,HIGH,UNVERIFIED
CAL-VAL-P00686-008,686,681,CAL-CH3,CAL-SEC-3.3.3,PU15地震反力Re,536.55,kN,536.55,kN,LOAD_VALUE,,,CAL-P00686-TBL,HIGH,UNVERIFIED
