時間（秒）,Ⅱ-Ⅰ-１,Ⅱ-Ⅰ-２,Ⅱ-Ⅰ-３,Ⅱ-Ⅱ-１,Ⅱ-Ⅱ-２,Ⅱ-Ⅱ-３,Ⅱ-Ⅲ-１,Ⅱ-Ⅲ-２,Ⅱ-Ⅲ-３
0,16.170 ,25.818 ,1.291 ,-15.456 ,0.433 ,0.606 ,-7.650 ,33.531 ,7.681 
0.01,17.104 ,23.623 ,-0.306 ,-6.580 ,0.696 ,1.112 ,-8.638 ,31.782 ,7.895 
0.02,17.838 ,21.252 ,-1.508 ,-6.848 ,1.060 ,1.609 ,-8.962 ,29.464 ,7.719 
0.03,18.118 ,18.726 ,-2.610 ,-12.591 ,1.647 ,2.143 ,-8.844 ,27.462 ,6.889 
0.04,17.889 ,16.169 ,-3.831 ,-15.753 ,2.259 ,2.724 ,-8.997 ,25.686 ,5.977 
0.05,17.183 ,13.807 ,-4.649 ,-12.014 ,2.646 ,2.913 ,-9.675 ,24.433 ,4.904 
0.06,15.983 ,11.897 ,-4.797 ,-3.898 ,2.826 ,2.436 ,-10.301 ,22.670 ,4.566 
0.07,14.183 ,10.587 ,-4.474 ,3.339 ,3.030 ,2.169 ,-10.208 ,20.238 ,4.777 
0.08,11.743 ,9.919 ,-3.736 ,7.335 ,3.362 ,2.076 ,-9.595 ,17.500 ,4.414 
0.09,8.865 ,9.918 ,-2.703 ,9.588 ,3.642 ,1.838 ,-9.346 ,15.192 ,3.442 
0.1,5.834 ,10.602 ,-1.561 ,11.955 ,3.641 ,0.957 ,-9.766 ,13.631 ,2.646 
0.11,2.806 ,11.898 ,-0.128 ,13.849 ,3.370 ,0.450 ,-10.168 ,11.535 ,2.548 
0.12,-0.241 ,13.602 ,1.470 ,13.370 ,3.039 ,-0.153 ,-9.902 ,8.761 ,2.977 
0.13,-3.326 ,15.495 ,2.539 ,10.208 ,2.770 ,-0.432 ,-9.218 ,5.926 ,2.451 
0.14,-6.308 ,17.493 ,2.822 ,6.314 ,2.476 ,-1.676 ,-8.926 ,3.923 ,1.755 
0.15,-8.958 ,19.677 ,2.576 ,3.686 ,2.059 ,-2.760 ,-9.307 ,2.546 ,0.820 
0.16,-11.179 ,22.159 ,1.986 ,2.394 ,1.617 ,-3.346 ,-9.720 ,1.051 ,0.688 
0.17,-13.049 ,24.886 ,1.036 ,1.229 ,1.338 ,-4.155 ,-9.481 ,-1.072 ,0.903 
0.18,-14.655 ,27.671 ,-0.451 ,-0.236 ,1.231 ,-5.742 ,-8.747 ,-3.143 ,0.296 
0.19,-15.932 ,30.330 ,-2.554 ,-1.035 ,1.062 ,-6.681 ,-8.378 ,-4.436 ,-0.607 
0.2,-16.748 ,32.654 ,-4.914 ,-0.241 ,0.597 ,-8.328 ,-8.798 ,-5.014 ,-1.699 
0.21,-17.103 ,34.384 ,-6.995 ,1.714 ,-0.180 ,-7.518 ,-9.233 ,-5.814 ,-2.098 
0.22,-17.161 ,35.204 ,-8.671 ,3.638 ,-1.143 ,-8.533 ,-8.865 ,-7.445 ,-2.258 
0.23,-17.055 ,34.867 ,-9.947 ,5.142 ,-2.256 ,-10.646 ,-8.076 ,-9.052 ,-2.722 
0.24,-16.715 ,33.353 ,-10.590 ,7.039 ,-3.606 ,-9.972 ,-7.746 ,-10.154 ,-4.047 
0.25,-15.950 ,30.864 ,-10.359 ,10.131 ,-5.212 ,-9.374 ,-8.062 ,-10.546 ,-5.305 
0.26,-14.686 ,27.668 ,-8.825 ,14.135 ,-6.905 ,-9.467 ,-8.372 ,-11.369 ,-5.739 
0.27,-13.034 ,23.944 ,-5.956 ,18.159 ,-8.492 ,-10.489 ,-7.970 ,-12.982 ,-5.942 
0.28,-11.119 ,19.801 ,-2.646 ,21.936 ,-9.976 ,-10.317 ,-7.093 ,-14.852 ,-6.396 
0.29,-8.918 ,15.387 ,0.670 ,26.074 ,-11.535 ,-10.240 ,-6.657 ,-15.976 ,-7.585 
0.3,-6.349 ,10.924 ,4.118 ,31.028 ,-13.261 ,-9.363 ,-6.932 ,-16.456 ,-8.705 
0.31,-3.434 ,6.619 ,7.408 ,36.296 ,-15.029 ,-9.919 ,-7.201 ,-17.346 ,-9.009 
0.32,-0.369 ,2.596 ,10.289 ,40.929 ,-16.642 ,-10.446 ,-6.742 ,-18.911 ,-8.862 
0.33,2.640 ,-1.054 ,12.572 ,44.612 ,-18.047 ,-10.634 ,-5.782 ,-20.660 ,-9.045 
0.34,5.600 ,-4.173 ,13.926 ,47.811 ,-19.299 ,-9.531 ,-5.224 ,-21.453 ,-10.192 
0.35,8.619 ,-6.556 ,14.401 ,50.847 ,-20.369 ,-9.067 ,-5.367 ,-21.718 ,-11.034 
0.36,11.654 ,-8.098 ,14.364 ,53.246 ,-21.127 ,-8.690 ,-5.459 ,-22.045 ,-11.358 
0.37,14.480 ,-8.883 ,13.856 ,54.268 ,-21.571 ,-8.305 ,-4.779 ,-23.118 ,-10.958 
0.38,16.862 ,-9.087 ,12.333 ,53.851 ,-21.996 ,-6.931 ,-3.595 ,-24.170 ,-11.570 
0.39,18.738 ,-8.791 ,9.447 ,52.652 ,-22.821 ,-5.405 ,-2.831 ,-24.227 ,-12.633 
0.4,20.219 ,-7.912 ,5.781 ,51.158 ,-24.254 ,-4.007 ,-2.835 ,-23.764 ,-13.574 
0.41,21.370 ,-6.323 ,2.210 ,49.142 ,-26.199 ,-3.389 ,-2.854 ,-23.356 ,-14.272 
0.42,22.164 ,-3.987 ,-1.008 ,46.207 ,-28.477 ,-0.611 ,-2.145 ,-23.493 ,-14.173 
0.43,22.629 ,-0.981 ,-3.957 ,42.620 ,-31.006 ,-1.208 ,-1.027 ,-23.700 ,-14.737 
0.44,23.057 ,2.566 ,-6.127 ,39.223 ,-33.689 ,-0.642 ,-0.380 ,-23.437 ,-16.122 
0.45,23.886 ,6.456 ,-6.878 ,36.518 ,-36.201 ,1.956 ,-0.533 ,-22.433 ,-17.577 
0.46,25.405 ,10.327 ,-6.110 ,34.198 ,-38.111 ,3.263 ,-0.783 ,-21.609 ,-18.084 
0.47,27.690 ,13.639 ,-3.789 ,31.759 ,-39.250 ,1.974 ,-0.253 ,-21.477 ,-18.622 
