golden_id,golden_type,purpose,phase1_status,model_description,input_artifact,expected_artifact,expected_quantities,units,coordinate_system,sign_convention,member_end_convention,derivation_method,source,reference_software,reference_version,execution_date,input_checksum,output_checksum,absolute_tolerance,relative_tolerance,zero_threshold,rounding_rule,reproducibility_count,approver,approval_status,blocker_id,comparison_rule,internal_precision,display_precision,unit_conversion_rule,additional_blocker_ids
GOLD-001,ANALYTICAL_GOLDEN,ANALYSIS_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Cantilever beam with centerline tip force,examples/verification/beam/cantilever_tip_load.json,Independent derivation artifact required,Signed tip displacement and rotation plus fixed reaction and moment,m;rad;kN;kN_m,Repository global and member local bases require case declaration,Positive load and result signs require derivation declaration,I at fixed end and J at free end must be fixed,Closed-form beam theory with independent dimensional and equilibrium review,backend/tests/test_engine_verification_cases.py:30-49,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-001,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-002,ANALYTICAL_GOLDEN,ANALYSIS_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Simply supported beam with center point load,examples/verification/beam/simple_beam_center_load.json,Independent derivation artifact required,Signed center displacement reactions and signed member-end moments,m;kN;kN_m,Repository global and member local bases require case declaration,Positive load reaction and moment signs require declaration,I-J order for both half-span members must be fixed,Closed-form beam theory with independent dimensional and equilibrium review,backend/tests/test_engine_verification_cases.py:74-94,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-001,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-003,ANALYTICAL_GOLDEN,ANALYSIS_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Simply supported beam with uniform load,examples/verification/beam/simple_beam_uniform_load.json,Independent derivation artifact required,Signed center displacement reactions and signed member-end moments,m;kN;kN_m,Repository global and member local bases require case declaration,Distributed-load and result signs require declaration,I-J order for both half-span members must be fixed,Closed-form beam theory with independent dimensional and equilibrium review,backend/tests/test_engine_verification_cases.py:97-117,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-001,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-004,ANALYTICAL_GOLDEN,ANALYSIS_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Axial member under end force,Checksum-fixed model required,Independent derivation artifact required,Signed axial displacement reaction and I-J axial actions,m;kN,Declared global and local x bases,Tension compression and reaction action convention required,I-J end-action convention required,Axial bar closed form plus equilibrium,Independent derivation package,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-001,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-005,ANALYTICAL_GOLDEN,ANALYSIS_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Cantilever under simple torsion,examples/verification/beam/cantilever_torsion.json,Independent derivation artifact required,Signed torsional rotation reaction and I-J torsional actions,rad;kN_m,Declared global and local x bases,Positive torque and rotation convention required,I at fixed end and J at free end must be fixed,Saint-Venant torsion closed form plus equilibrium,backend/tests/test_engine_verification_cases.py:165-175,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-001,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-006,REFERENCE_SOFTWARE_GOLDEN,PARITY_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Symmetric planar grid,Checksum-fixed native and repository models required,Three-run native output bundle required,Nodes members displacements reactions and member forces,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Fixed-version reference-software run,Licensed native output,SPACER identity to be fixed,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-003,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-007,REFERENCE_SOFTWARE_GOLDEN,PARITY_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Four-main-girder simple bridge model,Checksum-fixed native and repository models required,Three-run native output bundle required,Topology support load and full numeric result set,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Fixed-version reference-software run,Licensed native output,SPACER identity to be fixed,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-005,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-008,REFERENCE_SOFTWARE_GOLDEN,PARITY_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Five-main-girder simple bridge model,Checksum-fixed native and repository models required,Three-run native output bundle required,Topology support load and full numeric result set,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Fixed-version reference-software run,Licensed native output,SPACER identity to be fixed,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-005,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-009,REFERENCE_SOFTWARE_GOLDEN,PARITY_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Six-main-girder simple bridge model,Checksum-fixed native and repository models required,Three-run native output bundle required,Topology support load and full numeric result set,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Fixed-version reference-software run,Licensed native output,SPACER identity to be fixed,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-005,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-010,REFERENCE_SOFTWARE_GOLDEN,ANALYSIS_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Minimal two-case one-combination model,Checksum-fixed native and repository models required,Three-run native output bundle required,Case and combination identities coefficients and full results,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Fixed-version reference-software run plus mapping review,Licensed native output,Reference identity to be fixed,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-003,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-011,APPROVED_REGRESSION_GOLDEN,SERIALIZATION_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Canonical bridge analysis document round trip,Checksum-fixed canonical document required,Independently approved canonical semantic artifact required,Semantic equality checksums versions and governed metadata,NOT_APPLICABLE,Declared coordinate contexts,NOT_APPLICABLE,Declared I-J identity,Canonical serialization independent from runtime snapshot,IF3 and contract schemas,NOT_APPLICABLE,Repository version required,REQUIRED,REQUIRED,REQUIRED,EXACT_OR_DECLARED,EXACT_OR_DECLARED,EXACT_OR_DECLARED,DECLARED,0,NONE,NOT_APPROVED,GOLD-BLK-004,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-012,APPROVED_REGRESSION_GOLDEN,NEGATIVE_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Stale source binding rejection,Checksum-fixed current source and stale result required,Independently specified rejection artifact required,STALE status named diagnostics and no authoritative export,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Contract-derived negative oracle,IF3 staleness contract,NOT_APPLICABLE,Repository version required,REQUIRED,REQUIRED,REQUIRED,EXACT,EXACT,EXACT,NOT_APPLICABLE,0,NONE,NOT_APPROVED,GOLD-BLK-006,EXACT,EXACT,EXACT,NOT_APPLICABLE,GOLD-BLK-002
GOLD-013,APPROVED_REGRESSION_GOLDEN,NEGATIVE_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Export authority rejection for invalid or stale IF3,Checksum-fixed source result and export request required,Independently specified rejection artifact required,Rejected authority state diagnostic and absence of export,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,Contract-derived negative oracle,IF3 export authority contract,NOT_APPLICABLE,Repository version required,REQUIRED,REQUIRED,REQUIRED,EXACT,EXACT,EXACT,NOT_APPLICABLE,0,NONE,NOT_APPROVED,GOLD-BLK-006,EXACT,EXACT,EXACT,NOT_APPLICABLE,GOLD-BLK-002
GOLD-014,APPROVED_REGRESSION_GOLDEN,NEGATIVE_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Malformed analysis input rejection,Checksum-fixed malformed fixture required,Independently specified rejection artifact required,Named failure status diagnostic path and empty authoritative results,NOT_APPLICABLE,Declared where relevant,Declared where relevant,Declared where relevant,Contract-derived negative oracle,Repository schema and validation contract,NOT_APPLICABLE,Repository version required,REQUIRED,REQUIRED,REQUIRED,EXACT,EXACT,EXACT,NOT_APPLICABLE,0,NONE,NOT_APPROVED,GOLD-BLK-006,EXACT,EXACT,EXACT,NOT_APPLICABLE,GOLD-BLK-002
GOLD-015,ANALYTICAL_GOLDEN,DESIGN_VERIFICATION_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Minimal sourced Phase 1 design-verification case,Checksum-fixed design input and adopted source values required,Independent derivation and expected verdict artifact required,Demand capacity factors limit-state result and diagnostics,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Target-standard-sourced hand derivation independent of Apollo,DS-02 through DS-05 adopted source package,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-007,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
GOLD-016,APPROVED_REGRESSION_GOLDEN,EXPORT_GOLDEN,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Authoritative IF3 CSV and PDF export success,Checksum-fixed live source and valid IF3 result required,Independently approved export artifact set required,Authority decision schemas full quantity coverage internal and displayed values,REQUIRED,REQUIRED,REQUIRED,REQUIRED,Contract-derived export oracle with parent numeric Golden,IF3 export authority and format contracts,NOT_APPLICABLE,Repository version required,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,REQUIRED,0,NONE,NOT_APPROVED,GOLD-BLK-008,REQUIRED,REQUIRED,REQUIRED,REQUIRED,GOLD-BLK-002
