relation_type,from_entity,to_entity,definition,cardinality,direction,required_evidence,allowed_status,rule_engine_relevance,geometry_relevance,bridge_relevance,apollo_relevance,notes
DEFINED_BY,STANDARD_RULE,SOURCE_DOCUMENT,Ruleが文書で定義される,N:1,SOURCE→RULE,source_asset_id,FACT/CROSS_CHECKED,YES,YES,NO,NO,
APPLIES_WHEN,STANDARD_RULE,RULE_CONDITION,Ruleが条件で適用される,1:N,RULE→CONDITION,rule_id,FACT,YES,NO,NO,NO,
CONSTRAINS,RULE_CONSTRAINT,DESIGN_PARAMETER,制約値が設計値を制約,1:N,CONSTRAINT→PARAM,rule_id,FACT,YES,NO,NO,NO,
LOOKS_UP,STANDARD_RULE,LOOKUP_TABLE,Ruleが表を参照,N:1,RULE→TABLE,rule_id,FACT,YES,NO,NO,NO,
CALCULATED_BY,DESIGN_PARAMETER,FORMULA,設計値が式で計算される,N:1,PARAM→FORMULA,rule_id,FACT/CROSS_CHECKED,YES,YES,NO,NO,
PRODUCES,FORMULA,CALCULATED_VALUE,式が計算値を生成,1:N,FORMULA→CALC,rule_id,FACT/CROSS_CHECKED,YES,YES,NO,NO,
ADOPTED_FROM,ADOPTED_VALUE,DESIGN_PARAMETER,採用値が設計値から選択,N:1,ADOPTED→PARAM,source_asset_id,CROSS_CHECKED,YES,NO,NO,NO,
DERIVED_FROM,ADOPTED_VALUE,DESIGN_PARAMETER,採用値が設計値から派生,N:1,ADOPTED→PARAM,source_asset_id,CROSS_CHECKED,YES,YES,NO,NO,
NORMALIZES_TO,INPUT_VALUE,DESIGN_PARAMETER,入力値が正規化されて設計値へ,N:1,INPUT→PARAM,source_asset_id,CROSS_CHECKED,YES,NO,NO,NO,
REPRESENTED_IN,ALIGNMENT,DRAWING_VIEW,線形が図面ビューで表現,N:1,ALIGN→DWG_VIEW,source_asset_id,CROSS_CHECKED,NO,NO,YES,NO,
DRAWN_IN,DRAWING_VIEW,DRAWING,図面ビューが図面に含まれる,N:1,VIEW→DWG,source_asset_id,CROSS_CHECKED,NO,NO,YES,NO,
REPORTED_IN,CALCULATED_VALUE,REPORT_SECTION,計算値が報告書セクションに記載,N:1,CALC→RPT,source_asset_id,CROSS_CHECKED,NO,NO,NO,YES,
VALIDATED_BY,DESIGN_PARAMETER,VALIDATION,設計値がValidationで検証,N:1,PARAM→VAL,rule_id,FACT/CROSS_CHECKED,YES,YES,NO,NO,
CONFLICTS_WITH,ADOPTED_VALUE,STANDARD_RULE,採用値がRuleと矛盾,1:1,ADOPTED↔RULE,source_asset_id,CONFLICT,YES,NO,NO,NO,DISCREPANCY_LEDGER参照
MAPS_TO,LINER_MODULE,ALIGNMENT,LINER Moduleが線形を処理,N:M,MODULE↔ALIGN,source_asset_id,FACT,NO,YES,NO,NO,
FEEDS,ALIGNMENT,ROAD_BRIDGE_INTERFACE,線形がInterfaceへ渡される,1:N,ALIGN→RBI,source_asset_id,CROSS_CHECKED,NO,YES,YES,YES,
GENERATES,GEOMETRY_ENGINE,CALCULATED_VALUE,Geometry Engineが計算値を生成,1:N,ENGINE→CALC,-,CANDIDATE,NO,YES,NO,NO,
LOCATED_AT,STATION,COORDINATE,測点が座標に位置,1:1,STA→XY,source_asset_id,CROSS_CHECKED,NO,YES,NO,NO,
BELONGS_TO,ALIGNMENT_ELEMENT,ALIGNMENT,要素が線形に所属,N:1,ELEM→ALIGN,source_asset_id,FACT,NO,YES,NO,NO,
OFFSETS_FROM,WIDTH,ALIGNMENT,幅員が線形からオフセット,N:1,WIDTH→ALIGN,source_asset_id,CROSS_CHECKED,NO,YES,YES,NO,
CONTROLS,STANDARD_RULE,WARNING,Ruleが警告を制御,1:N,RULE→WARN,rule_id,FACT,YES,NO,NO,NO,
DEPENDS_ON,DESIGN_PARAMETER,DESIGN_PARAMETER,設計値が他の設計値に依存,N:M,PARAM→PARAM,rule_id,FACT/CROSS_CHECKED,YES,YES,NO,NO,設計速度→曲線半径等
TRACEABLE_TO,KNOWLEDGE_TRACE,KNOWLEDGE_TRACE,Traceが別のTraceへ接続,N:M,TRACE→TRACE,-,CROSS_CHECKED,YES,YES,YES,YES,
CROSS_CHECKED_BY,ADOPTED_VALUE,STANDARD_RULE,採用値がRuleでCrossCheck,1:1,ADOPTED→RULE,"source_asset_id,rule_id",CROSS_CHECKED,YES,NO,NO,NO,
APOLLO_MAPS_TO,APOLLO_CANDIDATE,GIRDER_LINE,Apollo Candidateが主桁にマップ,N:1,CAND→GIRDER,source_record_ids,CANDIDATE,NO,NO,YES,YES,
ROAD_TO_BRIDGE,ROAD_BRIDGE_INTERFACE,PIER,Interfaceが橋脚生成,1:N,RBI→PIER,source_asset_id,CROSS_CHECKED,NO,YES,YES,YES,
