return_id,feature_id,requirement_id,return_reason,apollo_manual_id,pdf_page,section,screen_name,manual_evidence,software_behavior,external_standard_needed,resolution_status,resolved_class,new_question,design_freeze_blocking,grok_review_status,notes
RET-001,F4-P1-007,NONE,RETURN_TO_APOLLO,MAN-021,27,4-2-1,NONE,従来単位系とＳＩ単位系は、設計条件オプションにて選択します。,設計条件オプションにて選択,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED_WITH_MIMO,backlog=BL-APOLLO-H5A-0001; handoff=H5A-0001; linked via stage5a handoff; MIMO-STAGE5-RETURN-001
RET-002,F4-P1-008,NONE,RETURN_TO_APOLLO,MAN-021,27,4-2-1,NONE,単位系を切り替えることによる、荷重などの入力データの自動変換機能はありません。,単位系を切り替えることによる荷重などの入力データの自動変換機能はありません,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED_WITH_MIMO,backlog=BL-APOLLO-H5A-0003; handoff=H5A-0003; linked via stage5a handoff; MIMO-STAGE5-RETURN-001
RET-003,F4-P1-009,NONE,RETURN_TO_APOLLO,MAN-021,27,4-2-1,NONE,自動設計時には「ハンチ計算」にて指定すれば、他プログラムは全て、選択された単位系となります。,自動設計時には「ハンチ計算」にて指定すれば他プログラムは全て選択された単位系となります,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED_WITH_MIMO,backlog=BL-APOLLO-H5A-0005; handoff=H5A-0005; linked via stage5a handoff; MIMO-STAGE5-RETURN-001
RET-004,F4-P1-010,NONE,RETURN_TO_APOLLO,MAN-021,27,4-2-1,NONE,単体プログラムとして使用する場合は、各プログラムの設計条件で選択します。,単体プログラムとして使用する場合は各プログラムの設計条件で選択します,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED_WITH_MIMO,backlog=BL-APOLLO-H5A-0007; handoff=H5A-0007; linked via stage5a handoff; MIMO-STAGE5-RETURN-001
RET-005,F4-P1-011,NONE,RETURN_TO_APOLLO,MAN-021,27,4-2-1,NONE,単体プログラムの荷重などのデフォルト値は、単位系によらずＳＩ単位系の初期値です。,単体プログラムの荷重などのデフォルト値は単位系によらずＳＩ単位系の初期値です,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED_WITH_MIMO,backlog=BL-APOLLO-H5A-0009; handoff=H5A-0009; linked via stage5a handoff; MIMO-STAGE5-RETURN-001
RET-006,F4-P1-012,NONE,RETURN_TO_APOLLO,MAN-021,22,適用範囲表,NONE,「RC鈑桁：15」,上限15本,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED,backlog=BL-APOLLO-H5A-0011; handoff=H5A-0011; linked via stage5a handoff
RET-007,F4-P1-012,NONE,RETURN_TO_APOLLO,MAN-021,22,適用範囲表,NONE,「RC鈑桁：15」,上限15本,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED,backlog=BL-APOLLO-H5A-0012; handoff=H5A-0012; linked via stage5a handoff
RET-008,F4-P1-013,NONE,RETURN_TO_APOLLO,MAN-021,22,適用範囲表,NONE,「鋼床版鈑桁：10」,上限10本,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED,backlog=BL-APOLLO-H5A-0013; handoff=H5A-0013; linked via stage5a handoff
RET-009,F4-P1-013,NONE,RETURN_TO_APOLLO,MAN-021,22,適用範囲表,NONE,「鋼床版鈑桁：10」,上限10本,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED,backlog=BL-APOLLO-H5A-0014; handoff=H5A-0014; linked via stage5a handoff
RET-010,F4-P1-014,NONE,RETURN_TO_APOLLO,MAN-021,22,適用範囲表,NONE,「横断線数 120」,上限120,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED,backlog=BL-APOLLO-H5A-0015; handoff=H5A-0015; linked via stage5a handoff
RET-011,F4-P1-014,NONE,RETURN_TO_APOLLO,MAN-021,22,適用範囲表,NONE,「横断線数 120」,上限120,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED,backlog=BL-APOLLO-H5A-0016; handoff=H5A-0016; linked via stage5a handoff
RET-012,F4-P1-015,NONE,RETURN_TO_APOLLO,MAN-021,22,適用範囲表,NONE,「RC鈑桁：500」,上限500,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED,backlog=BL-APOLLO-H5A-0017; handoff=H5A-0017; linked via stage5a handoff
RET-013,F4-P1-015,NONE,RETURN_TO_APOLLO,MAN-021,22,適用範囲表,NONE,「RC鈑桁：500」,上限500,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED,backlog=BL-APOLLO-H5A-0018; handoff=H5A-0018; linked via stage5a handoff
RET-014,F4-P1-020,NONE,RETURN_TO_APOLLO,MAN-021,27,NONE,NONE,「ヘルプ文書の中の単位系は全てSI単位系です」,SI単位系固定,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED,backlog=BL-APOLLO-H5A-0019; handoff=H5A-0019; linked via stage5a handoff
RET-015,F4-P1-020,NONE,RETURN_TO_APOLLO,MAN-021,27,NONE,NONE,「ヘルプ文書の中の単位系は全てSI単位系です」,SI単位系固定,NO,RESOLVED_SOFTWARE_SPECIFIC,SOFTWARE_SPECIFIC,NONE,NO,REVIEWED,backlog=BL-APOLLO-H5A-0020; handoff=H5A-0020; linked via stage5a handoff
