issue_id,severity,category,description,evidence,owner,unlock_condition,status,blocks_implementation
ISS-S1-001,MEDIUM,interpretation,PACKAGE_INFO.md and README state Status DRAFT (Grok pre-acceptance) while reports/logs state PASSED/ACCEPTED verdicts,PACKAGE_INFO.md L3; README.md L110-112; logs/final_verification.md L21-27; reports/handoff_review.md L71-78,supervisor,Supervisor confirms DRAFT is build-lifecycle label only OR schedules immutable package relabel outside Step 1,OPEN,no
ISS-S1-002,LOW,historical_report,validation/package_validation_report.md records files_hashed=122 manifest_rows=124 vs current 126 files and 126 manifest rows,validation/package_validation_report.md L3-4; CHK-001 CHK-007,step1_planner,Use current tree counts as authoritative; treat report as historical build artifact,OPEN,no
ISS-S1-003,LOW,historical_report,logs/final_verification.md ZIP entries=125 vs 126 files in GitHub tree,logs/final_verification.md L8; CHK-001,step1_planner,Classify as prior ZIP build delta; re-verify on future ZIP if distributed,OPEN,no
ISS-S1-004,LOW,historical_report,reports/stage5_handoff_acceptance_report.md references 137-file immutable build and 135 content OK vs 126-file GitHub intake,reports/stage5_handoff_acceptance_report.md L12-13; CHK-001,step1_planner,Treat as upstream immutable archive metadata not GitHub tree count,OPEN,no
ISS-S1-005,MEDIUM,stale_reference,docs/08_open_items_and_blockers.md cites stage5_* CSV filenames that differ from canonical package paths,docs/08_open_items_and_blockers.md L7-10 L57; canonical_file_mapping.csv,step1_planner,Use canonical_file_mapping.csv in Step 1 docs; do not edit handoff package,OPEN,no
ISS-S1-006,MEDIUM,path_alias,ready_requirements.csv evidence_image column uses stage5b/evidence/ paths; evidence/index.csv uses evidence/images/,standards/ready_requirements.csv; evidence/index.csv; CHK-021,step1_planner,Resolve via basename mapping in canonical_file_mapping.csv for traceability tooling,OPEN,no
ISS-S1-007,HIGH,boundary_unknown,Analyzer input/output physical file format remains UNKNOWN across feature catalog and I/O candidate CSVs,features/feature_data_flow.md; docs/05_data_flow_and_interfaces.md L42-43; analysis-input/input_output_candidates.csv IO-CAND-0003 IO-CAND-0004; reports/handoff_review.md L64,frame_team + external_research,Physical format confirmed via APOLLO实机 or primary manual extraction,OPEN,yes
ISS-S1-008,HIGH,standard_selection,Target Standard NOT_SELECTED for all READY rows; numeric freeze prohibited,PACKAGE_INFO.md L17; standards/ready_requirements.csv target_standard_status column; docs/11_source_and_license_notes.md L37-43,supervisor,Explicit Target Standard selection decision recorded in Step 1 governance,OPEN,yes
ISS-S1-009,HIGH,source_gap,34 JIS SOURCE GAP rows; primary JIS originals not bundled; design-freeze blocking per package,standards/jis_source_gaps.csv; docs/08_open_items_and_blockers.md L25-32; docs/11_source_and_license_notes.md L31-35,external_jis_research,Primary JIS sources acquired and cross-checked for applicable gaps,OPEN,yes
ISS-S1-010,MEDIUM,license,Evidence PNGs are internal verification extracts; redistribution not auto-approved; 69 unique READY-linked images,docs/10_evidence_usage_guide.md; docs/11_source_and_license_notes.md; evidence/index.csv license_note column,receiving_org,Receiving organization confirms internal use and redistribution rights per contract/legal,OPEN,yes
