rule_candidate_id,toc_id,title,possible_inputs,possible_outputs,possible_constraints,software_module_candidate,requires_body_review,priority,notes
RULE-01,T057,road_class（道路区分）,道路法上の道路種類・種級候補；計画交通量；都市/地方区分；地形,道路種級区分（第1種〜第4種・第1級〜第5級）,種級決定表・計画交通量区分表・地域区分条件,module:road-class (rule-engine/input),YES,A,第1章道路区分（Ⅲ-1-1）を根拠に。実案件の路線種別と照合可能。
RULE-02,T066,design_speed（設計速度）,道路種級区分；地形；設計区間,設計速度（km/h）,種級×地形→設計速度標準値表・設計区間内均一,module:design-speed (rule-engine/input),YES,A,全線形基準の親パラメータ。Ⅲ-1-3設計速度、1-4設計区間を根拠に。
RULE-03,T087,lane_width（車線幅員・車線構成）,道路種級；設計速度；車線数；大型車混入率,車線幅員・車線数・付加追越車線の要否,種級別車線幅員表・車線数決定条件,module:cross-section (lane-width),YES,A,Ⅲ-2-2車道・車線を根拠に。LINER CrossSectionTemplateへ直結。
RULE-04,T102,shoulder_width（路肩幅員）,道路種級；設計速度,路肩幅員,種級別路肩幅員表・省略/縮小条件,module:cross-section (shoulder),YES,A,Ⅲ-2-5路肩を根拠に。
RULE-05,T091,median_width（中央帯幅員）,道路種級；設計速度,中央帯幅員・構成,種級別中央帯幅員表・開口部条件,module:cross-section (median),YES,A,Ⅲ-2-3中央帯を根拠に。
RULE-06,T157,minimum_curve_radius（最小曲線半径）,設計速度；最大片勾配；横滑り摩擦係数,最小曲線半径（m）・望ましい値,設計速度×片勾配→R表・緩和条件,module:alignment/horizontal (radius),YES,A,Ⅲ-3-3曲線半径を根拠に。実案件R=400/500/1900と照合可能。
RULE-07,T161,curve_length（最小曲線長）,設計速度；曲線半径,最小曲線長（m）,設計速度別最小曲線長,module:alignment/horizontal (curve-length),YES,A,Ⅲ-3-4曲線長を根拠に。
RULE-08,T164,superelevation（片勾配）,設計速度；曲線半径；道路種級,片勾配（%）・打ち切り最小R,最大片勾配・R×片勾配表,module:alignment/superelevation,YES,A,Ⅲ-3-5片勾配・3-8すりつけを根拠に。実案件のランプ・本線片勾配と照合可能。
RULE-09,T169,widening（曲線部拡幅）,曲線半径；設計車両；車線数；設計速度,曲線部拡幅量（m）,設計車両別拡幅算定式,module:alignment/widening,YES,A,Ⅲ-3-6曲線部の拡幅を根拠に。
RULE-10,T174,clothoid_transition（緩和区間・クロソイド）,設計速度；曲線半径；すりつけ,緩和曲線長・クロソイドパラメータA,緩和走行時間・省略条件,module:alignment/clothoid,YES,A,Ⅲ-3-7緩和区間を根拠に。実案件A=450等と照合可能。
