toc_id,parent_id,level,chapter_no,section_no,article_no,title,page,source_text,hierarchy_confidence,software_category,liner_relevance,rule_engine_candidate,project_mapping_candidate,body_research_priority,notes
T001,,1,,,第1条〜第42条+,道路構造令（昭和45年10月29日政令第320号）,1-43,道路構造（昭和45年10月29日政令第320号）,HIGH,STRUCTURAL_REQUIREMENT;ADMINISTRATIVE,P0_DIRECT_CORE,RULE-01;RULE-02;RULE-03;RULE-04;RULE-05;RULE-06;RULE-07;RULE-08;RULE-09;RULE-10;RULE-11;RULE-12;RULE-13;RULE-14;RULE-15;RULE-16;RULE-17;RULE-18;RULE-19;RULE-20;RULE-21;RULE-22;RULE-23,YES,A,法令本体。条文ごとに解説（Ⅰ〜Ⅲ編）が対応。条文中に（P48）（P51）等の解説ページ参照あり。最終条文番号は本文フェーズで確定。
T002,,1,,,,道路構造令施行規則（昭和46年3月31日建設省令第7号）,44,道路構造合施行规则 44,HIGH,ADMINISTRATIVE;REFERENCE_ONLY,P3_REFERENCE,NO,NO,C,省令。技術的基準の詳細を規定。TOCには44のみ記載。
T003,,1,,,,Ⅰ 総説（仮称。正確な編名は本文確認要）,47-59,I则,MEDIUM,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,目次の編見出し。OCRでは「Ⅰ 則」と読め、正確な題名は本文要確認。HIERARCHY_UNCERTAIN。
T004,T003,2,1,1,,本書の目的,47,1-1本書の目的,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T005,T003,2,1,2,,道路構造令の趣旨,48,1-2道路構造合の趣旨,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T006,T005,3,1,2,1,道路構造令の目的,48,1-2-1道路構造合の目的,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T007,T005,3,1,2,2,道路構造令の適用範囲,49,1-2-2道路造合の適用用,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T008,T005,3,1,2,3,一般的技術的基準の意味,50,1-2-3一般的技術的基の意味,HIGH,ADMINISTRATIVE;EXCEPTION_RULE,P3_REFERENCE,NO,NO,C,
T009,T005,3,1,2,4,道路構造令の地方道への適用,50,1-2-4道路構造合の地方道適用,HIGH,ADMINISTRATIVE,P3_REFERENCE,NO,NO,C,
T010,T005,3,1,2,5,地方自治体の道路構造基準,51,1-25地方自治体道路構造基,HIGH,ADMINISTRATIVE;EXCEPTION_RULE,P3_REFERENCE,NO,NO,C,
T011,T003,2,1,3,,用語の定義,51,1-3用語定義,HIGH,ADMINISTRATIVE;STRUCTURAL_REQUIREMENT,P1_DIRECT_SUPPORT,RULE-01,YES,B,LINERのデータモデル語彙・コード化に直結。道路構造令の定義語彙を抽出対象に。
