quantity_key,case_id,quantity_id,unit,absolute_tolerance,relative_tolerance,zero_threshold,comparison_rule,freeze_justification
AG-ASYM-RC|M_AT_LOAD,AG-ASYM-RC,M_AT_LOAD,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-ASYM-RC|N_LEFT_FY,AG-ASYM-RC,N_LEFT_FY,kN,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-ASYM-RC|N_RIGHT_FY,AG-ASYM-RC,N_RIGHT_FY,kN,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-AXIAL|N1_FX,AG-AXIAL,N1_FX,kN,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-AXIAL|N2_UX,AG-AXIAL,N2_UX,m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-CANT-P|N1_FY,AG-CANT-P,N1_FY,kN,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-CANT-P|N1_MZ,AG-CANT-P,N1_MZ,kN_m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN_m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-CANT-P|N2_RZ,AG-CANT-P,N2_RZ,rad,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 rad absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-CANT-P|N2_UY,AG-CANT-P,N2_UY,m,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 m absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
AG-LC-LIN|COMB_FY,AG-LC-LIN,COMB_FY,kN,1E-15,1E-12,1E-20,"abs(a-e) <= max(A, R*|e|)","EA-02 synthetic exact-arithmetic fixture; fixed-unit error budget 1E-15 kN absolute for Decimal/IEEE serialization; theory idealization exact (defined model, not physical error); relative 1E-12 away from zero per DS-07 default rule; frozen before comparison."
