blocker_id,source_document,affected_area,current_status,exact_missing_evidence,executable_now,external_dependency,required_tool,required_license,required_input,expected_output,acceptance_criteria,planned_stage,notes
AN-BLK-001,docs/apollo/design-standards/06_analyzer/analyzer_blocker_register.csv,Identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed product identity version build architecture module hosting and relationship among historical Analyzer SPACER STATICS and repository solver,REQUIRES_EXTERNAL_SOFTWARE,Installed Analyzer SPACER STATICS on authorized machine,Vendor-installed executable or service plus About or version command,Named valid entitlement if product requires it,No model required for product identity and minimal copied model only for module identity,Executable service and module metadata version output and installation manifest,Each product module process and service is uniquely distinguished and every claimed relationship or non-equivalence is supported,STAGE-02,safe_acquisition: Use authorized machine and redact personal or license secrets without altering identity fields; checksum: SHA-256 of executable and retained identity artifacts
BLK-S1-002,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-02 JIS identities and editions,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,All 34 historical gap identities editions citation relations and equivalence decisions,REQUIRES_PRIMARY_STANDARD_SOURCE,Licensed JIS primary sources,JIS source access PDF viewer and SHA-256 tool,Authorized JIS access,Per-row primary JIS packages JIS-001 through JIS-034,Per-row primary JIS packages and supervisor decisions linked to JIS-001 through JIS-034,Every applicable row has exact standard edition locator relation and decision,STAGE-01,34 blocked rows in jis_source_register.csv; SG-002
BLK-S1-004,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-04/DS-05 Numeric adoption,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Per-quantity source locators for loads factors equations and limits,REQUIRES_PRIMARY_STANDARD_SOURCE,Licensed R7 clauses and tables,Authorized standards source evidence register and checksum tools,Authorized R7 access,Verified R7 clause/table package for each engineering quantity,Verified R7 clause/table package and adoption decision for every engineering quantity,Every adopted engineering numeric has exact source locator unit applicability and decision,STAGE-01,Blocks DS-04 and DS-05; SG-004 SG-005 SG-006 SG-007 SG-008
BLK-S1-005,docs/apollo/design-standards/09_verification/unresolved_evidence_requirements.csv,DS-03 Material property adoption,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Resolved JIS product grade plus R7 reference chain for material values,REQUIRES_PRIMARY_STANDARD_SOURCE,Licensed JIS and R7 material references,Authorized JIS/R7 source evidence register and checksum tools,Authorized R7 and JIS access,MAT-DS03 blocked property row inventory from material_properties_register.csv,Per-property primary-source manifest for MAT-DS03 rows with edition locators units and SHA-256,Each in-scope property has source locator edition unit applicability and decision,STAGE-01,39 blocked property rows; SG-003
EXT-ID-001,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv,Historical APOLLO Analyzer external identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed product identity build architecture and relationship to repository solver and SPACER identities,REQUIRES_EXTERNAL_SOFTWARE,Vendor-installed executable or service on authorized machine,Vendor identity facility and SHA-256 tool,Named valid entitlement if required,No model required for identity capture,Executable or service metadata version output architecture publisher and installation manifest,Identity and relationship evidence uniquely distinguish this subsystem from every other candidate,STAGE-02,canonical_id: AN-ID-004; SPV-003; blocker AN-BLK-001; manual reference-only not machine evidence
EXT-ID-002,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv,SPACER product shell external identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Installed SPACER product identity build architecture modules and relationship to historical Analyzer,REQUIRES_EXTERNAL_SOFTWARE,Vendor-installed SPACER executable or service,Vendor identity facility and SHA-256 tool,Named valid SPACER entitlement,No model required for identity capture,Product and module executables services version output publisher architecture and installation manifest,Product shell and module identities are separately fixed and relationships are documented,STAGE-02,canonical_id: AN-ID-005; SPV-001; SPACER操作マニュアル.pdf SHA-256 e08681a290904c13c702ed864e0753d85e5c43201a5881c48766c0417aa7d012 reference-only
EXT-ID-003,docs/apollo/design-standards/06_analyzer/analyzer_identity_register.csv,SPACER STATICS module external identity,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,STATICS module identity invocation hosting process version and relationship to SPACER product shell,REQUIRES_EXTERNAL_SOFTWARE,Vendor-installed hosting executable or service,Vendor identity facility and SHA-256 tool,Named valid SPACER STATICS entitlement,Checksum-fixed minimal supported DAT model after identity capture,Hosting executable module metadata version output and permitted logs,STATICS is uniquely mapped to its host product process version and callable boundary,STAGE-02,canonical_id: AN-ID-006; SPV-002; PAR-BLK-001 dependency
GOLD-BLK-001,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-001 through GOLD-005,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Independent analytical derivations signed conventions checksum manifests per-quantity error bounds and approvals,EXECUTABLE_NOW,NONE,Independent calculation medium and SHA-256 tool,NOT_APPLICABLE,Checksum-fixed models for GOLD-001 through GOLD-005 from examples/verification/beam/*.json and checksum-fixed axial model,One immutable derivation package per case with model derivation workbook signed conventions and expected SHA-256 manifest,Every expected quantity follows from the fixed input with correct units signs ends and predeclared justified tolerance and two independent derivations agree for each expected quantity,STAGE-03,owner: Golden Custodian; acquisition: Derive without invoking Apollo output then perform independent dimensional equilibrium and assumption review; closure: D-005 combined bar
GOLD-BLK-002,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,All numeric Goldens,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Per-quantity absolute relative zero threshold internal/display precision rounding and unit-conversion justification,EXECUTABLE_NOW,NONE,Independent calculation and comparison specification,NOT_APPLICABLE,Catalog quantity list from golden_case_catalog.csv for all numeric Goldens,Approved tolerance worksheet linked to each catalog quantity with per-quantity absolute relative zero threshold precision rounding and unit-conversion facets,All tolerance facets are nonblank justified dimensionally and frozen before first comparison,STAGE-03,owner: Golden Custodian; acquisition: Establish error budget before comparison and independently review without observing mismatch
GOLD-BLK-003,docs/apollo/design-standards/07_golden/golden_blocker_register.csv,GOLD-006 and GOLD-010,BLOCKED_WITH_EXACT_EVIDENCE_REQUIREMENT,Fixed reference product module version build checksums native inputs outputs settings conventions mappings and three repeat runs,REQUIRES_EXTERNAL_SOFTWARE,AN-BLK-001,Selected reference software plus checksum and comparison tools,Named valid entitlement,Checksum-fixed native and repository models for GOLD-006 and GOLD-010,Licensed immutable evidence bundle per case with executable input output SHA-256 manifests and three isolated run records,Three runs reproduce under the approved policy and every value is traceable to fixed native output,STAGE-03,owner: Reference Software Owner; acquisition: Follow DS-06 safe machine-probe procedure and retain three isolated run bundles
