case_id,quantity_id,formula_expression,input_parameters,expected_fraction,expected_value,unit,sign_convention,model_assumptions,derivation_checksum
AG-ASYM-RC,M_AT_LOAD,P*a*(L-a)/L,"{""L"": ""6/1"", ""P"": ""12/1"", ""a"": ""2/1""}",16/1,16,kN_m,Downward load -P; reactions positive upward,Rigid-body static equilibrium of simply-supported beam; theory idealization is the defined model (no separate physical-model error budget).,cad0c570a95d01cc2bd65738e0d91862e6296e14745948e96188535cfc4f8196
AG-ASYM-RC,N_LEFT_FY,P*(L-a)/L,"{""L"": ""6/1"", ""P"": ""12/1"", ""a"": ""2/1""}",8/1,8,kN,Downward load -P; reactions positive upward,Rigid-body static equilibrium of simply-supported beam; theory idealization is the defined model (no separate physical-model error budget).,aa32cbd8dd7269e1fe452759f3b183e46e0db042b7be02a85218b1014f5d159d
AG-ASYM-RC,N_RIGHT_FY,P*a/L,"{""L"": ""6/1"", ""P"": ""12/1"", ""a"": ""2/1""}",4/1,4,kN,Downward load -P; reactions positive upward,Rigid-body static equilibrium of simply-supported beam; theory idealization is the defined model (no separate physical-model error budget).,4f9f51bda3eca5ddc33fc7c3ef7d6a8e6044f46caf9f9122851ab49477077712
AG-AXIAL,N1_FX,-F,"{""F"": ""50/1""}",-50/1,-50,kN,Positive axial force is tension; elongation positive in +X; fixed-end reaction opposes applied end force,Uniform prismatic bar linear elastic axial member; theory idealization is the defined model (no separate physical-model error budget).,042a595a411f77c085f5f965f1927d7cc00a9d413ca8faab3a95ccb611ce56b3
AG-AXIAL,N2_UX,F*L/(E*A),"{""A"": ""1/50"", ""E"": ""205000000/1"", ""F"": ""50/1"", ""L"": ""4/1""}",1/20500,0.00004878048780487804878048780487804878048780487804878,m,Positive axial force is tension; elongation positive in +X; fixed-end reaction opposes applied end force,Uniform prismatic bar linear elastic axial member; theory idealization is the defined model (no separate physical-model error budget).,aef4bbd5885944d8592aff2c227a3b9412b0d693f84ccd9dedf7003dc259cae0
AG-CANT-P,N1_FY,P,"{""P"": ""10/1""}",10/1,10,kN,Positive load acts in +Y; downward load is -P; positive reaction opposes load,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,584595dcaaaca0329434dadd51a81fcec3ca3f698ba6a0d171a4adc7752c6aaa
AG-CANT-P,N1_MZ,P*L,"{""L"": ""4/1"", ""P"": ""10/1""}",40/1,40,kN_m,Positive load acts in +Y; downward load is -P; positive reaction opposes load,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,da22ee0b7a85ea525ff2d41eccb04525785de95cfa3748eaae3345895bcd2abb
AG-CANT-P,N2_RZ,-P*L^2/(2*E*I),"{""E"": ""205000000/1"", ""I"": ""1/10000"", ""L"": ""4/1"", ""P"": ""10/1""}",-4/1025,-0.0039024390243902439024390243902439024390243902439024,rad,Positive load acts in +Y; downward load is -P; positive reaction opposes load,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,74dd397d8c32f18405589f7fe5990dd77cdd02d2bda4a53b2120de320ca0d1b7
AG-CANT-P,N2_UY,-P*L^3/(3*E*I),"{""E"": ""205000000/1"", ""I"": ""1/10000"", ""L"": ""4/1"", ""P"": ""10/1""}",-32/3075,-0.010406504065040650406504065040650406504065040650407,m,Positive load acts in +Y; downward load is -P; positive reaction opposes load,Euler-Bernoulli prismatic linear elastic small-displacement beam; shear deformation excluded; theory idealization is the defined model (no separate physical-model error budget).,dde4c2470083f4598294bc07c029f5ea039340d015f26e3a559042fcf81f1f65
AG-LC-LIN,COMB_FY,f1*q1+f2*q2,"{""f1"": ""1/1"", ""f2"": ""3/5"", ""q1"": ""10/1"", ""q2"": ""5/1""}",13/1,13,kN,Positive reaction upward; combination is linear superposition,Synthetic EA-02 linear superposition fixture coefficient; not DS-04 adopted combination rule.,745cf479b95394bbdb59a48e81aa612532f175671d2ea588d0633735f37dbed6
