asset_id,title,document_type,road_relation,bridge_relation,liner_relation,spacer_relation,apollo_relation,rule_engine_relation,priority,confidence,reason
DOC-X0-0001,Apollo UIデザイン修正指示内容,REFERENCE,NONE,REFERENCE_ONLY,REFERENCE_ONLY,REFERENCE_ONLY,DIRECT,REFERENCE_ONLY,P3,HIGH,関与なし
DOC-X0-0002,README.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0003,final_report.txt,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0004,file_mapping.csv,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0005,integration_plan.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0006,source_manifest.csv,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0007,01_repository_curved_capability_inventory.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0008,02_required_source_categories.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0009,03_design_standard_requirements.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0010,04_alignment_geometry_requirements.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0011,05_structural_model_requirements.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0012,06_analysis_theory_requirements.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0013,07_load_support_requirements.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0014,08_design_check_requirements.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
DOC-X0-0015,09_calculation_example_requirements.md,RESEARCH_OUTPUT,FUTURE,DIRECT,FUTURE,FUTURE,DIRECT,SUPPORTING,P2,HIGH,将来実装・連携で利用
