screen,selector,text,visibility,layer,allowlisted,reason,screenshot
basics-empty,li,N. SVG/DXF/PDF,visible,L1,false,residual:SVG/DXF/PDF,evidence/jp3a/01-basics-empty.png
basics-empty,li,Q. STALE,visible,L1,false,residual:STALE,evidence/jp3a/01-basics-empty.png
basics-empty,li,"支点: A1, P1, P2, P3, P4, A2",visible,L1,false,residual:A1|P1|P2|P3|P4|A2,evidence/jp3a/01-basics-empty.png
basics-empty,"[data-testid=""apollo-topology-view""]",3D ビュー 節点 G0 / 入力モデルを表示中 表示: 3D GPU: ブラウザ WebGL: 利用可 節点 10 部材 9 支点 6 荷重 0 Apollo立体: 120,visible,L1,false,residual:G0,evidence/jp3a/01-basics-empty.png
basics-empty,p,節点 G0 / 入力モデルを表示中,visible,L1,false,residual:G0,evidence/jp3a/01-basics-empty.png
basics-empty,ol@aria-label,Apollo guided steps,attr,L1,false,residual:guided|steps,evidence/jp3a/01-basics-empty.png
basics-empty,"[data-testid=""apollo-report-formal-disabled""]@title",正式認可なし（NUMERIC_DESIGN_AUTHORIZATION=NOT_GRANTED）,attr,L1,false,residual:NUMERIC_DESIGN_AUTHORIZATION|NOT_GRANTED,evidence/jp3a/01-basics-empty.png
basics-empty,div@aria-label,3D model viewport,attr,L1,false,residual:model|viewport,evidence/jp3a/01-basics-empty.png
basics-empty,"[data-testid=""open-view-panel""]@aria-label",View パネルを開く,attr,L1,false,residual:View,evidence/jp3a/01-basics-empty.png
basics-sample,"[data-testid=""apollo-wf-recommended-action""]",primary action を実行してください。,visible,L1,false,residual:primary|action,evidence/jp3a/02-basics-sample.png
basics-sample,"[data-testid=""apollo-appurtenance-id-RIGHT_WALL_RAILING""]",ID: b7347c40…,visible,L1,false,residual:b7347c40,evidence/jp3a/02-basics-sample.png
basics-sample,"[data-testid=""apollo-haunch-girder-girder-0""]",主桁 1 有無 未入力 なし あり ID: b3fbede4… 形状 未選択 矩形 台形 始点測点 (m)終点測点 (m)全延長を設定上幅 (m)下幅 (m)高さ (m)材料参照（任意）,visible,L1,false,residual:b3fbede4,evidence/jp3a/02-basics-sample.png
basics-sample,"[data-testid=""apollo-haunch-id-girder-0""]",ID: b3fbede4…,visible,L1,false,residual:b3fbede4,evidence/jp3a/02-basics-sample.png
basics-sample,"[data-testid=""apollo-haunch-girder-girder-1""]",主桁 2 有無 未入力 なし あり ID: d3d32e81… 形状 未選択 矩形 台形 始点測点 (m)終点測点 (m)全延長を設定上幅 (m)下幅 (m)高さ (m)材料参照（任意）,visible,L1,false,residual:d3d32e81,evidence/jp3a/02-basics-sample.png
basics-sample,"[data-testid=""apollo-haunch-id-girder-1""]",ID: d3d32e81…,visible,L1,false,residual:d3d32e81,evidence/jp3a/02-basics-sample.png
basics-sample,"[data-testid=""apollo-haunch-girder-girder-2""]",主桁 3 有無 未入力 なし あり ID: c64b1c8f… 形状 未選択 矩形 台形 始点測点 (m)終点測点 (m)全延長を設定上幅 (m)下幅 (m)高さ (m)材料参照（任意）,visible,L1,false,residual:c64b1c8f,evidence/jp3a/02-basics-sample.png
basics-sample,"[data-testid=""apollo-haunch-id-girder-2""]",ID: c64b1c8f…,visible,L1,false,residual:c64b1c8f,evidence/jp3a/02-basics-sample.png
basics-sample,"[data-testid=""apollo-haunch-girder-girder-3""]",主桁 4 有無 未入力 なし あり ID: dadd7bfd… 形状 未選択 矩形 台形 始点測点 (m)終点測点 (m)全延長を設定上幅 (m)下幅 (m)高さ (m)材料参照（任意）,visible,L1,false,residual:dadd7bfd,evidence/jp3a/02-basics-sample.png
basics-sample,"[data-testid=""apollo-haunch-id-girder-3""]",ID: dadd7bfd…,visible,L1,false,residual:dadd7bfd,evidence/jp3a/02-basics-sample.png
basics-sample,"[data-testid=""apollo-topology-view""]",3D ビュー 節点 G0 / 入力モデルを表示中 表示: 3D GPU: ブラウザ WebGL: 利用可 節点 10 部材 9 支点 6 荷重 0 Apollo立体: 188,visible,L1,false,residual:G0,evidence/jp3a/02-basics-sample.png
reapply-dialog,"[data-testid=""apollo-sample-reapply-summary""]",現在のプロジェクト「Apollo NN Draft」とサンプル「動作確認用サンプル（単純桁）」に差分があります。 無言の上書きは行いません（開発確認用・未検証）。 技術情報を表示,visible,L1,false,residual:NN|Draft,evidence/jp3a/05-reapply-dialog.png
