interface_id,direction,domain_entity,field_name,data_type_candidate,unit,required_status,source_feature_id,source_requirement_id,source_evidence,known_constraint,unknown_constraint,owner_candidate,status,notes
IF-CAND-0001,APOLLO_TO_FRAME,UnitSystem,unit_system_selection,enum_candidate,NONE,CANDIDATE_REQUIRED,F4-P1-007,REQ-5C-0001,stage5b/evidence/DOC-RBS-I_pdfp0386_300dpi-R5B-PKG003-0002c-386.png,SI or gravity unit per design options,APOLLO internal unit propagation to frame model,frame_team,CANDIDATE,READY≠implemented; Target NOT_SELECTED
IF-CAND-0002,APOLLO_TO_FRAME,LoadModel,slab_design_load,scalar_or_table_candidate,UNKNOWN,CANDIDATE_REQUIRED,F4-P2-010,REQ-5C-0002,stage5b/evidence/DOC-RBS-I_pdfp0233_300dpi-R5B-PKG003-0075-233.png,Required when slab/floor system designed,Load distribution to members UNKNOWN,frame_team,CANDIDATE,READY≠implemented
IF-CAND-0003,APOLLO_TO_FRAME,LoadCase,live_load_road,scalar_or_table_candidate,UNKNOWN,CANDIDATE_REQUIRED,F4-P5-015,REQ-5C-0003,stage5b/evidence/DOC-RBS-I_pdfp0232_300dpi-R5B-PKG003-0236c-232.png,Road bridge live load setting,Exact mapping to analyzer load cases UNKNOWN,frame_team,CANDIDATE,Term 路面荷重 vs 活荷重 indexing
IF-CAND-0004,INTERNAL,Material,unit_weight_constants,table_candidate,UNKNOWN,CANDIDATE_OPTIONAL,F4-P1-051,REQ-5C-0013,stage5b/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0001.png,Standard section data referenced,Numeric values not auto-determined,frame_team,CANDIDATE,Location memo only per READY summary
IF-CAND-0005,FRAME_TO_APOLLO,AnalysisResult,section_forces,array_candidate,UNKNOWN,CANDIDATE_REQUIRED,F4-P3-008,REQ-5C-0021,stage5b/evidence/DOC-RBS-II_pdfp0117_300dpi-R5B-PKG004-0009.png,Section check consumes forces,3 vs 6 component format UNKNOWN,frame_team,CANDIDATE,Analyzer output format not confirmed
IF-CAND-0006,APOLLO_TO_FRAME,MemberModel,splice_configuration,struct_candidate,NONE,CANDIDATE_REQUIRED,F4-P3-010,REQ-5C-0022,stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0010.png,Splice calc execution flow,File/API boundary UNKNOWN,frame_team,CANDIDATE,Splice is APOLLO-side; frame may only supply forces
IF-CAND-0007,APOLLO_TO_FRAME,MemberModel,flange_bolt_layout,struct_candidate,NONE,CANDIDATE_OPTIONAL,F4-P3-011,REQ-5C-0024,stage5b/evidence/DOC-RBS-II_pdfp0303_300dpi-R5B-PKG004-0012.png,Bolt layout change method 1,Connection to analysis model UNKNOWN,frame_team,CANDIDATE,Design check likely APOLLO-side
IF-CAND-0008,UNKNOWN,AnalysisInput,analyzer_input_blob,binary_or_db_candidate,NONE,UNKNOWN,F4-P1-018,UNKNOWN,UNKNOWN,SuperDesigner creates analysis data,Physical format not in manuals,frame_team,NOT_CONFIRMED,See feature_data_flow.md UNKNOWN
IF-CAND-0009,FRAME_TO_APOLLO,AnalysisResult,reactions,array_candidate,UNKNOWN,CANDIDATE_REQUIRED,F4-P5-UNKNOWN,UNKNOWN,UNKNOWN,Support reactions needed for design,Support modeling rules partial,frame_team,CANDIDATE,No direct READY row; boundary placeholder
IF-CAND-0010,APOLLO_TO_FRAME,BridgeGeometry,alignment_reference,file_or_struct_candidate,NONE,CANDIDATE_REQUIRED,F4-P1-004,UNKNOWN,UNKNOWN,.alg alignment import exists,Schema of .alg not in package,frame_team,CANDIDATE,.alg not included in handoff
