row_id,sheet_id,machine_id,boom_length_m,working_radius_m,rated_capacity_t,unit,confidence,verification_status,status,notes
S141-C01,141,TADANO-ATF120N-5.1A,26.3,4.5,46.3,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C02,141,TADANO-ATF120N-5.1A,26.3,5.0,46.3,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C03,141,TADANO-ATF120N-5.1A,26.3,6.0,45.2,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C04,141,TADANO-ATF120N-5.1A,26.3,7.0,44.6,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C05,141,TADANO-ATF120N-5.1A,26.3,8.0,40.2,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C06,141,TADANO-ATF120N-5.1A,26.3,9.0,36.1,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C07,141,TADANO-ATF120N-5.1A,26.3,10.0,32.1,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C08,141,TADANO-ATF120N-5.1A,26.3,11.0,28.7,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C09,141,TADANO-ATF120N-5.1A,26.3,12.0,25.9,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C10,141,TADANO-ATF120N-5.1A,26.3,14.0,21.6,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C11,141,TADANO-ATF120N-5.1A,26.3,16.0,18.3,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C12,141,TADANO-ATF120N-5.1A,26.3,18.0,16.4,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C13,141,TADANO-ATF120N-5.1A,26.3,20.0,14.3,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C14,141,TADANO-ATF120N-5.1A,26.3,22.0,12.6,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C15,141,TADANO-ATF120N-5.1A,26.3,24.0,—,t,BLANK,CONFIRMED_BLANK,RESOLVED_WITH_OCR_ASSIST,no value/blank or dash
S141-C16,141,TADANO-ATF120N-5.1A,37.4,4.5,23.8,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C17,141,TADANO-ATF120N-5.1A,37.4,5.0,23.8,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C18,141,TADANO-ATF120N-5.1A,37.4,6.0,23.8,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C19,141,TADANO-ATF120N-5.1A,37.4,7.0,23.8,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C20,141,TADANO-ATF120N-5.1A,37.4,8.0,23.8,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C21,141,TADANO-ATF120N-5.1A,37.4,9.0,23.7,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C22,141,TADANO-ATF120N-5.1A,37.4,10.0,22.4,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C23,141,TADANO-ATF120N-5.1A,37.4,11.0,21.9,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C24,141,TADANO-ATF120N-5.1A,37.4,12.0,21.9,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C25,141,TADANO-ATF120N-5.1A,37.4,14.0,19.7,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C26,141,TADANO-ATF120N-5.1A,37.4,16.0,17.8,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C27,141,TADANO-ATF120N-5.1A,37.4,18.0,15.6,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C28,141,TADANO-ATF120N-5.1A,37.4,20.0,13.5,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C29,141,TADANO-ATF120N-5.1A,37.4,22.0,11.8,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
S141-C30,141,TADANO-ATF120N-5.1A,37.4,24.0,10.4,t,HIGH,AGREED,RESOLVED_WITH_OCR_ASSIST,
